zts1e	ÈŞ½Ä(C)
zts110e	¸ğÇè´ë ÀüÃ¼¿¡ °ø°İ ¹æ¾î ¼öÄ¡¸¦ ¿Ã·ÁÁØ´Ù.
zts111e	»ç±âÀÇ ¿ÜÄ§
zts112e	¸ğÇè´ë ÀüÃ¼¿¡ »ç±â ¼öÄ¡¸¦ ¿Ã·ÁÁØ´Ù.
zts113e	Â÷Â¡¾îÅÃ
zts114e	±â¿îÀ» ¸ğ¾Æ ÃàÀû½ÃÄ×´Ù°¡ ´ÙÀ½ °ø°İ¿¡ ÇÑ²¨¹ø¿¡ ½ñ¾Æº×´Â´Ù
zts115e	Æ÷È¹
zts116e	¿¡³ÊÁö º¼Æ®
zts117e	¸ğÇè°¡°¡ À¯ÀÏÇÏ°Ô ÀÍÈú ¼ö ÀÖ´Â ±âÃÊÀûÀÎ °ø°İ ¸¶¹ıÀÌ´Ù
zts118e	¿ïÆ®¶ó½´ÆÛ»ç±â½ºÅ³
zts119e	ÀÌ°Ç Á¤¸» ÁøÂ¥ °³½´ÆÛ »ç±â½ºÅ³ÀÌ´Ù
zts120e	¿µÀÚ»ç±â½ºÅ³2
zts121e	±âº»º£±â
zts122e	°Ë»çÀÇ ±âº» ±â¼ú·Î °ËÀ» ÈÖµÑ·¯ »ó´ë¹æÀ» º¥´Ù
zts123e	¼®±Ã½î±â
zts124e	¼®±ÃÀ» »ç¿ëÇÏ´Â ±âº» ±â¼úÀÌ´Ù
zts125e	ºĞ³ëÀÇÀÏ°İ
zts126e	»ó´ë¹æ¿¡°Ô °­·ÂÇÑ Å¸°İÀ» ÁØ´Ù. 2%È®·ü·Î ºĞ³ë»óÅÂ°¡ µÉ ¼ö ÀÖ´Ù
zts127e	Ä«¿îÆ®½½·¡½Ã
zts128e	ÀûÀÇ ÇãÁ¡À» ³ë·Á °ø°İÇÑ´Ù
zts129e	°Ë±â¹ß»ê
zts130e	°ËÀÇ ±â¿îÀ» ºĞÃâÇØ ¶³¾îÁø Àû°ú ÁÖº¯¿¡ ÇÇÇØ¸¦ ÀÔÈù´Ù.
zts131e	±âº»ÀûÀ¸·Î ºû¼Ó¼ºÀ» °¡Áö°í ÀÖ´Ù.
zts132e	Ä«¿îÆ®½ºÅÏ
zts133e	Ä®µîÀ¸·Î »ó´ë¸¦ °¡°İÇØ ±âÀı½ÃÅ²´Ù
zts134e	¾î½º¿şÀÌºê
zts135e	Á¡ÇÁÈÄ ¶¥À» ³»¸® Âï¾î »ı±â´Â ÆÄµ¿À¸·Î ÁÖº¯À» °ø°İÇÑ´Ù.
zts136e	±âº»ÀûÀ¸·Î ºÒ¼Ó¼ºÀ» °¡Áö°í ÀÖ´Ù.
zts137e	¸ô¾ÆÄ¡±â
zts138e	°ËÀ» Å©°Ô ÈÖµÑ·¯ ¾ÕÂÊÀÇ ÀûµéÀ» ÇÑ²¨¹ø¿¡ °ø°İÇÑ´Ù
zts139e	´õºí ¾îÅÃ
zts140e	°ËÀ» ºü¸£°Ô 2¹ø ÈÖµÑ·¯ ´ë»óÀ» °ø°İÇÑ´Ù
zts141e	´ÙÀÌ³ª¹Í ½´ÆÃ
zts142e	Æò¼Òº¸´Ù ºü¸£°Ô ¼®±ÃÀ» ¹ß»çÇÑ´Ù
zts143e	Å¸¿îÆ®½´ÆÃ
zts144e	´Ù¸¥»ç¶÷°ú ½Î¿ì´ø ÀûÀÇ °ü½ÉÀ» ÀÚ½Å¿¡°Ô µ¹¸®µµ·ÏÇÑ´Ù
zts145e	ÆÄ¿öÂ÷Â¡
zts146e	°­·ÂÇÑ ±â¿îÀ» ¸ğ¾Æ ÃàÀû½ÃÄ×´Ù°¡ ´ÙÀ½ °ø°İ¿¡ ÇÑ²¨¹ø¿¡ ½ñ¾Æº×´Â´Ù
zts147e	ÇÇÀÇ¸Í¼¼
zts148e	HP¸¦ ¾à°£ °¨¼Ò½ÃÅ°¸é¼­ ÀÏÁ¤½Ã°£µ¿¾È ¸ğÇè´ëÀÇ °ø°İ·ÂÀ» »ó½Â½ÃÅ²´Ù
zts149e	±â¼±Á¦¾Ğ
zts150e	ÁÖº¯ ÀûµéÀÇ »ç±â¸¦ ÀÏÁ¤½Ã°£µ¿¾È ¶³¾î¶ß¸°´Ù
zts151e	ÀÚ½Åº¸´Ù 3·¹º§ À§ÀÇ »ó´ë¿¡°Ô´Â µèÁö ¾Ê´Â´Ù
zts152e	´ë½¬¾îÅØ
zts153e	°ø°İ Å¸°ÙÀ» ÇâÇØ ºü¸£°Ô ´Ş·Áµé¾î °ø°İÇÑ´Ù.
zts154e	ÁöÇ÷
zts155e	3·¹º§ ÀÌÇÏ ÃâÇ÷À» ¸Ü°Ô ÇØÁØ´Ù.
zts156e	Áö¾Ğ¿ë ºØ´ë°¡ ÀÖ¾î¾ß ÇÑ´Ù.
zts157e	»õ·Î¿î½ºÅ³
zts158e	È°½î±â
zts159e	±Ã»çÀÇ ±âº» ±â¼ú·Î È°·Î »ó´ë¹æÀ» ½ğ´Ù
zts160e	´Ü°ËÂî¸£±â
zts161e	´Ü°ËÀ» »ç¿ëÇÏ´Â ±âº» ±â¼úÀÌ´Ù
zts162e	Á¤±³ÇÑ¼¦
zts163e	¸Å¿ì ³ôÀº ¸íÁß·ü·Î Ãß°¡ÀûÀÎ ¿ø°Å¸® ÇÇÇØ¸¦ ÀÔÈù´Ù.
zts164e	°­·ÄÇÑ¼¦
zts165e	¸Õ °Å¸®¿¡¼­ °­ÇÑ ÇÇÇØ¸¦ ÀÔÈù´Ù.
zts166e	ÇÇ¾î½Ì¼¦
zts167e	ÀûÀ» °üÅëÇÏ´Â °­·ÂÇÑ ¼¦À¸·Î ÇÑÁÙ³»ÀÇ Àûµé ¸ğµÎ¿¡°Ô ³ôÀº Ä¡¸í»óÀ» ÀÔÈù´Ù.
zts168e	´Ù¸®Á¶ÁØ
zts169e	´Ù¸®¸¦ °ø°İÇÏ¿© »ó´ëÀÇ ÀÌµ¿¼Óµµ¸¦ ´À¸®°Ô ¸¸µç´Ù.
zts170e	Á¡ÇÁ¼¦
zts171e	Á¡ÇÁÇÑ »óÅÂ¿¡¼­ °ø°İÇØ ¹Ù·Î ¾ÕÀÇ Àû¿¡°Ôµµ ÆĞ³ÎÆ¼ °¨¼Ò¾øÀÌ ÇÇÇØ¸¦ ÀÔÈù´Ù.
zts172e	¼Ó»ç
zts173e	Å¸°Ù¿¡ 3¹ø ¿¬¼Ó ºü¸£°Ô È°À» ½î¾Æ 3¿¬¹ß °ø°İÀ» ÇÑ´Ù.
zts174e	°øÁß³­»ç
zts175e	¿ø°Å¸® °î¼± ³­»ç·Î Å¸°Ù ÁÖÀ§1Ä­¿¡ È­»ìºñ¸¦ »Ñ¸°´Ù.
zts176e	´Ü¹ßÂî¸£±â
zts177e	º¸Á¶ ´Ü°Ë °ø°İ¿¡ Ãß°¡ Å¸°İÀ» ÁØ´Ù
zts178e	´Ü°Ë µ¶¹Ù¸£±â
zts179e	º¸Á¶ ´Ü°Ë¿¡ ±Ù·Â¾àÈ­µ¶À» ºÎ¿© Å¸°ÙÀÇ ±ÙÁ¢ °ø°İ·ÂÀ» ÀúÇÏ½ÃÅ²´Ù.
zts180e	¹Ù¸£±âÀü¿ë µ¶ÃÊ°¡ ÀÖ¾î¾ßÇÑ´Ù.
zts181e	ÅÍ´×Ä«¿îÆ®
zts182e	º¸Á¶ ´Ü°ËÀ¸·Î ÀÚ½Å ÁÖÀ§ ´ë»ó¿¡ ÀÌµ¿ºÒ°¡ ÇÇÇØ¸¦ ÀÔÈù´Ù.
zts183e	µ¦½ºÂ÷Â¡
zts184e	¿ø°Å¸® °ø°İ±â¿îÀ» ¸ğ¾Ò´Ù°¡ ´ÙÀ½ °ø°İ¿¡ Ãß°¡ÇØ¼­ »ç¿ëÇÑ´Ù
zts185e	ÇìÀÌ½ºÆ®
zts186e	ÀÏÁ¤½Ã°£µ¿¾È ÀÌµ¿¼Óµµ°¡ »¡¶óÁø´Ù
zts187e	¸ÅÀÇÀÇ½Ä
zts188e	¸ğÇè´ëÀÇ ¸íÁß·ü°ú °ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts189e	ÇØµ¶±â¼ú
zts190e	ÇØµ¶ ¾àÃÊ°¡ ÀÖ¾î¾ß ¹ßµ¿ÇÏ´Â ½ºÅ³·Î Å¸°Ù µ¿·áÀÇ µ¶À» Á¦°ÅÇØ ÁØ´Ù.
zts191e	È­»ìÃË µ¶¹Ù¸£±â
zts192e	ÀÏÁ¤½Ã°£µ¿¾È È­»ìÃË¿¡ µ¶À» ¹ß¶ó µ¶È­»ì·Î ¸¸µé¾î »ç¿ëÇÑ´Ù.
zts193e	¿¡³ÊÁöº¼Æ®
zts194e	ÁÖ¼ú»çÀÇ ±âº» °ø°İ¸¶¹ıÀÌ´Ù
zts195e	½ºÆç°Ç½î±â
zts196e	½ºÆç°ÇÀ» ÀÌ¿ëÇØ ¿ø°Å¸® °ø°İÀ» ÇÏ´Â ±âº»±â¼úÀÌ´Ù
zts197e	ÆÄÀÌ¾îº¼Æ®
zts198e	»ó´ë¿¡°Ô ºÒÀÇ ÅºÈ¯À» ³¯·Á ÇÇÇØ¸¦ ÀÔÈ÷´Â °ø°İ¸¶¹ıÀÌ´Ù
zts199e	¾ÆÀÌ½ºº¼Æ®
zts200e	»ó´ë¿¡°Ô ¾óÀ½ ÅºÈ¯À» ³¯·Á ÇÇÇØ¸¦ ÀÔÈ÷´Â °ø°İ¸¶¹ıÀÌ´Ù
zts201e	¸ÅÁ÷¹Ì»çÀÏ
zts202e	¿©·¯¹ßÀÇ ¸ÅÁ÷ ¹Ì»çÀÏÀ» ³¯·Á ÁÖÀ§¿¡ ÇÇÇØ¸¦ ÀÔÈù´Ù
zts203e	½ºÅæÅ¥ºò
zts204e	´ë»óÀ§¿¡ ³×¸ğ³­ µ¹À» »ı¼ºÇØ ÇÇÇØ¸¦ ÀÔÈ÷°í ±âÀı½ÃÅ²´Ù
zts205e	È­¿°±âµÕ
zts206e	ºÒÅ¸´Â ±âµÕÀ» ¸¸µé¾î ´ë»ó°ú ÁÖº¯ÀÇ Àûµé¿¡°Ô ÇÇÇØ¸¦ ÀÔÈù´Ù
zts207e	Åä³×ÀÌµµ
zts208e	ÀÚ±â ÁÖÀ§¿¡ ¹°ÀÇ ¼Ò¿ëµ¹ÀÌ¸¦ ÀÏÀ¸ÄÑ ÁÖº¯¿¡ ÇÇÇØ¸¦ ÀÔÈù´Ù
zts209e	ÆÄ¿ö¸ÅÁ÷Åº
zts210e	Á»´õ °­ÇÑ ¸ÅÁ÷ÅºÀ¸·Î ½ºÆç°ÇÀÇ À§·ÂÀ» ³ôÀÎ´Ù
zts211e	Æø¹ß¸ÅÁ÷Åº
zts212e	Æø¹ß·ÂÀÌ ÀÖ´Â ¸ÅÁ÷ÅºÀ» ½ºÆç°ÇÀ¸·Î ½î¾Æ ´ë»ó°ú ÁÖº¯¿¡ ÇÇÇØ¸¦ ÀÔÈù´Ù
zts213e	½ºÆçÂ÷Â¡
zts214e	¸¶¹ıÀÇ ±â¿îÀ» ÀúÀåÇØ ´ÙÀ½¹ø °ø°İ¶§ Ãß°¡½ÃÅ²´Ù
zts215e	³Ã±â½Çµå
zts216e	¿ø°Å¸® ÇÇÇØ¸¦ ÁÙÀÌ´Â ½Çµå¸¦ ÀÚ½Å¿¡°Ô ºÎ¿©ÇÑ´Ù
zts217e	Àç»ı¿À¶ó
zts218e	ÆÄÆ¼¿øÀÇ HP°¡ ÀÏÁ¤½Ã°£µ¿¾È Àç»ıµÈ´Ù
zts219e	ºûÀÇº¸È£
zts220e	ÆÄÆ¼¿ø¿¡°Ô ¸ğµç µ¥¹ÌÁö¸¦ °¨¼Ò½ÃÅ°´Â º¸È£¸·À» ¾º¿öÁØ´Ù
zts221e	¼ö¸é
zts222e	´ë»óÀ» ÀáÀç¿ö ÀÌµ¿°ú °ø°İÀ» ¸ØÃß°Ô ÇÑ´Ù. °ø°İ½Ã ±ú¾î³­´Ù.
zts223e	·¹µåµå·¹ÀÎ
zts224e	»ó´ëÀÇ MP¸¦ ÀÏÁ¤·® »¯¾î¿Â´Ù.
zts225e	ºí¶óÀÎµå
zts226e	¼ø°£ÀûÀ¸·Î Å¸°ÙÀÇ ´«À» ¸Ö°Ô ÇÏ¿© ¿ø°Å¸® °ø°İÀÌ ºÒ°¡´ÉÇØÁø´Ù.
zts227e	¼ø°£ÀÌµ¿
zts228e	ÀÚ±â¾ÕÀÇ ÀÏÁ¤°Å¸®·Î ¼ø°£ÀÌµ¿ÇÑ´Ù
zts229e	½ºÅÏ Ãß°¡
zts230e	°­ÇÑÀÏ°İ¿¡ ºÒ±â¿î°ú ½ºÅÏÀ» Ãß°¡½ÃÅ²´Ù.
zts231e	ÈÖµÎ¸£±â °­È­
zts232e	ÈÖµÎ¸£±â¿¡ °ø°İ·Â°ú ¸íÁßÀ» ³ô¿©ÁØ´Ù
zts233e	»õÃÑ½î±â °­È­
zts234e	»õÃÑ½î±â¿¡ °ø°İ·Â°ú »çÁ¤°Å¸®¸¦ ³ô¿©ÁØ´Ù
zts235e	°ø°İ·Â »ó½Â
zts236e	Á¶ÁØ »ç°İ¿¡ ¿ø°Å¸® °ø°İ·ÂÀ» ´õ Ãß°¡½ÃÅ²´Ù
zts237e	µ¹·ÁÄ¡±â¿¡ °ø°İ·ÂÀ» »ó½Â½ÃÅ²´Ù
zts238e	ÃâÇ÷ Ãß°¡
zts239e	³­Å¸½Ã ºÒ±â¿îÀ» Ãß°¡ÇÏ°í »ó´ë¹æ¿¡°Ô ¾àÇÑ ÃâÇ÷À» ÀÏÀ¸Å²´Ù.
zts240e	¸¶¹ı°ø°İ Ãß°¡
zts241e	¿¡³ÊÁö º¼Æ®ÀÇ ¸¶¹ı °ø°İ·ÂÀ» Áõ°¡½ÃÅ°°í ¹°±â¿îÀ» Ãß°¡ÇÑ´Ù
zts242e	±âº»º£±â °­È­
zts243e	±âº»º£±â¿¡ ±ÙÁ¢°ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts244e	±âº»º£±â 2Â÷°­È­
zts245e	»ó±Ş½Ä¹° º£±â Æ¯È­
zts246e	»ó±Ş½Ä¹°À» °ø°İÇÒ °æ¿ì ±ÙÁ¢°ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts247e	¼®±Ã½î±â °­È­
zts248e	¼®±Ã½î±â¿¡ ¿ø°Å¸® °ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts249e	¸¶¹° ½î±â Æ¯È­
zts250e	°­·ÄÇÑ ÇÇÇØ
zts251e	ºÒ±â¿î°ú ÇÔ²² ÀÏÁ¤È®·ü·Î Æò¼ÒÀÇ ¹è°¡ µÇ´Â ÇÇÇØ¸¦ ÀÔÈù´Ù.
zts252e	Ä¡¸íÅ¸¿Í °°ÀÌ ¹ß»ıÇÏ¸é ¾öÃ»³­ ÇÇÇØ¸¦ ÁØ´Ù
zts253e	ºĞ³ëÀÇ ÀÏ°İÀÌ ºÒ¼Ó¼ºÀ¸·Î ¹Ù²ï´Ù.
zts254e	ºĞ³ëÀÇ ÀÏ°İ °­È­
zts255e	ºĞ³ëÀÇ ÀÏ°İ¿¡ ±ÙÁ¢ °ø°İ·Â°ú ¸íÁßÀ» ³ô¿©ÁØ´Ù
zts256e	ºĞ³ëÀÇ ÀÏ°İ 2Â÷°­È­
zts257e	ºĞ³ëÀÇ ÀÏ°İ¿¡ ±ÙÁ¢ °ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts258e	Ä¡¸íÀû ³ë¸²
zts259e	Ä«¿îÆ® ½½·¡½ÃÀÇ Ä¡¸íÅ¸ È®·üÀ» ´õ ³ô¿©ÁØ´Ù
zts260e	ÄÚº¼Æ®ÀÇ ÇãÁ¡
zts261e	¹°±â¿îÀÌ Ãß°¡µÇ°í ÄÚº¼Æ®¸¸ÀÇ ºóÆ´À» ÁıÁß °ø·«ÇØ Ä¡¸í»óÀ» ÀÔÈù´Ù.
zts262e	Ä«¿îÆ® ½½·¡½Ã°¡ ¹°¼Ó¼ºÀ¸·Î ¹Ù²ï´Ù.
zts263e	°Ë±â °­È­
zts264e	°Ë±âÀÇ ±â¿îÀ» ´õ °­È­½ÃÄÑ ±ÙÁ¢ °ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts265e	»ç°Å¸® Áõ°¡
zts266e	°Ë±âÀÇ »çÁ¤°Å¸®¸¦ ´õ ´Ã·ÁÁØ´Ù
zts267e	Á¤È®ÇÑ °¡°İ
zts268e	Á¤È®ÇÑ ³ë¸²À¸·Î »ó´ë¸¦ ±âÀı½ÃÅ²´Ù
zts269e	¾î½º¿şÀÌºê °­È­
zts270e	¾î½º¿şÀÌºê¿¡ °ø°İ·ÂÀ» Ãß°¡½ÃÅ²´Ù
zts271e	¾î½º¿şÀÌºê ¼÷·Ã
zts272e	¸ô¾ÆÄ¡±â °­È­
zts273e	¸ô¾ÆÄ¡±â¿¡ ¹°±â¿îÀ» Ãß°¡½ÃÅ°°í ±âÀıÀ» ½ÃÅ²´Ù.
zts274e	¸ô¾ÆÄ¡±â°¡ ¹°¼Ó¼ºÀ¸·Î ¹Ù²ï´Ù.
zts275e	»ó´ë °ø°İµî±Ş¾àÈ­
zts276e	´õºí¾îÅÃ½Ã ÀÏÁ¤ ½Ã°£µ¿¾È »ó´ë¹æÀÇ °ø°İµî±ŞÀ» ¶³¾î¶ß¸°´Ù
zts277e	´õºí¾îÅÃ °­È­
zts278e	´õºí¾îÅÃ¿¡ °ø°İ·ÂÀ» Ãß°¡½ÃÅ²´Ù
zts279e	´ÙÀÌ³ª¹Í ½´ÆÃ °­È­
zts280e	´ÙÀÌ³ª¹Í ½´ÆÃ¿¡ °ø°İ·ÂÀ» Ãß°¡½ÃÅ²´Ù
zts281e	Àı´ë ¸íÁß
zts282e	´ÙÀÌ³ª¹Í ½´ÆÃ »ç¿ë½Ã ¹«Á¶°Ç ¸íÁßÇÑ´Ù
zts283e	±â¿î Ãß°¡
zts284e	ÆÄ¿öÂ÷Â¡¿¡ ÀúÀåµÇ´Â °ø°İ·ÂÀ» Áõ°¡½ÃÅ²´Ù
zts285e	ÇÇÀÇ¸Í¼¼ °­È­
zts286e	ÇÇÀÇ ¸Í¼¼½Ã Áõ°¡ÇÏ´Â °ø°İ·ÂÀÌ Ãß°¡µÈ´Ù
zts287e	´ë½¬°Å¸® Áõ°¡
zts288e	´ë½¬ÀÇ °Å¸®°¡ Áõ°¡ÇÑ´Ù
zts289e	´ç°Ü¿À±â
zts290e	Å¸¿îÆ® ½´ÆÃ½Ã »ó´ë¹æÀ» ²ø¾î´ç±ä´Ù.
zts291e	È°½î±â °­È­
zts292e	È°½î±â¿¡ ¿ø°Å¸®°ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts293e	È°½î±â 2Â÷ °­È­
zts294e	»ó±Ş½Ä¹° ½î±â Æ¯È­
zts295e	»ó±Ş½Ä¹°À» °ø°İÇÒ °æ¿ì °ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts296e	´Ü°Ë Âî¸£±â °­È­
zts297e	´Ü°Ë Âî¸£±â¿¡ °ø°İ·ÂÀ» ³ô¿©ÁØ´Ù
zts298e	±Ş¼Ò Âî¸£±â
zts299e	´Ü°Ë Âî¸£±â¿¡ Ä¡¸íÈ®·üÀ» ³ô¿©ÁØ´Ù
zts300e	Á¤±³ÇÑ ¼¦ °­È­
zts301e	Á¤±³ÇÑ ¼¦¿¡ ¹°±â¿îÀ» Ãß°¡ÇÏ°í °ø°İ·ÂÀ» ³ô¿©ÁØ´Ù.
zts302e	Á¤±³ÇÑ ¼¦ÀÇ ¼Ó¼ºÀÌ ¹°¼Ó¼ºÀ¸·Î ¹Ù²ï´Ù.
