zts1e	초보모험가 학습코스
zts191e	슈퍼꼬닭에게서 깃털을 모아주세요
zts192e	파자마 요정과 대화하기
zts193e	깃털을 다 모았습니다. 다시 파자마 요정과 대화하세요
zts194e	파자마에게 침대를!
zts195e	질낮은 나무 40개를 모아주세요
zts196e	파자마에게 메트를!
zts197e	푹신한 슬링을 잡아서 라텍스 젤리를 모아주세요
zts198e	파자마요정과 대화하세요
zts199e	메트를 만들었습니다. 파자마와 대화하세요
zts200e	파자마 요정이 전해준 시공의 돌을 클리어하라!
zts201e	과연 어떤 모험이 있는 것일까요?
zts202e	괘씸한 파자마와 대화하세요!
zts203e	파자마에게 완전 당했습니다! 용서할수가 없군요!
zts204e	다크 스탈린의 심장을 찾아라!
zts205e	시공의 돌에 들어가 다크스탈린의 심장을 찾으세요
zts206e	영혼석으로 되돌아가라
zts207e	심장을 찾았습니다. 영혼석으로 돌아가 대화하세요
zts208e	다크스탈린의 뼈를 찾아라!
zts209e	시공의 돌에 들어가 다크스탈린의 뼈를 찾으세요
zts210e	영혼석으로 돌아가라
zts211e	뼈대신 이상한 검을 찾았네요. 돌아가서 대화해보세요
zts212e	다크 스탈린을 쓰러트려라!
zts213e	오래된 원한의 마지막장입니다! 시공으로 들어가세요!
zts214e	영혼석과 대화하기
zts215e	다크스탈린을 쓰러트렸습니다. 돌아가 대화하세요
zts216e	백합을 모아주세요
zts217e	백합 100송이를 모아주세요. 비슷한 레벨대의 몬스터를 잡아보세요
zts218e	백합을 다 모았습니다. 영혼석으로 돌아가세요
zts219e	홀리메이지가 기뻐하겠네요.
zts220e	어쌔신을 뒤쫓아라!
zts221e	어쌔신 뒤를 쫓아 시공에 들어가세요
zts222e	블레이드를 구하라!
zts223e	영혼석을 통해 시공에 들어가 블레이드를 구하세요
zts224e	영혼석으로 돌아가세요
zts225e	블레이드를 구했습니다. 돌아가세요.
zts226e	오해와 진실
zts227e	시공에 들어가세요
zts228e	블레이드에게 진실을 말해 주세요.
zts229e	노스몰 개업기념 이벤트!
zts230e	같은레벨 이상 몬스터를 잡아서 풍선을 모아주세요
zts231e	연구소의 비밀
zts232e	[연구소탐사1] 히든시공을 통해 숨겨진 재료를 찾아라
zts233e	[연구소탐사2] 히든시공을 통해 숨겨진 재료를 찾아라
zts234e	[연구소탐사3] 히든시공을 통해 숨겨진 재료를 찾아라
zts235e	3층 라달의 유서옆에서 수호자가 나타날때까지 기다리세요
zts236e	불행한 라달에게 안식을!
zts238e	초보 모험가의 모험준비
zts240e	포획스킬을 이용해서 꼬닭을 펫으로 만들자
zts241e	꼬닭과 함께 약한 옐로우 씨드플을 사냥하자
zts242e	셀빅 비기너를 만나서 교육과 스킬에 대해 알아보자
zts244e	연금술협회에 들러보자
zts245e	장비상점에 들러보자
zts246e	식료품을 사러 마트에 가자
zts247e	시공의 돌 모험
zts248e	마을 위쪽의 시공의 돌로 이동하세요
zts249e	샘 대신 북부평원 순찰을 나가자
zts250e	전염병 방역
zts251e	무서운 전염병을 퍼트리는 원인을 제거하라
zts252e	무서운전염병의 원인을 제거하라
zts253e	무서운 전염병의 근원을 제거하라
zts254e	강력한 언데드
zts255e	언데드를 퇴치하라!
zts256e	수비대 청년 샘에게 결과를 보고하자
zts257e	수비대 아저씨의 부탁을 들어주자
zts258e	수비대 아저씨 짐에게 결과를 보고하자
zts260e	화살표를 따라가서 원인을 조사해보자
zts261e	무언가 심상치 않은 일이 벌어지려는것 같다. 에릴과 얘기해보자.
zts262e	생산도구를 이용해서 세공된 금목걸이를 만들어라
zts263e	셀로인을 만나 액세서리에 대해서 배우자
zts264e	셀빅에게 도시락을 갖다주자.
zts265e	라울의 부탁이 무엇인지 알아보자
zts267e	라울과 이야기하자
zts268e	다급하게 부르는 벨로치카를 만나보자
zts269e	벨로치카가 원하는 재료를 구해다 주자.
zts270e	모든 재료를 구했다. 벨로치카에게 가져다 주자.
zts271e	밀라노에 드리워진 불길한 그림자
zts272e	북부평원으로 가서 마물들을 막아라
zts273e	북부평원의 위험한 동식물을 없애주세요
zts274e	이제 정리가 된것같다. 노스캠프로 가자.
zts275e	필요한 준비를 마친후 다시 에릴과 대화하자
zts276e	에릴이 부탁한 물건을 구하자
zts277e	서부광산지역의 마물을 소탕하자
zts278e	광산의 코볼트들
zts281e	망치를 모두 모았다. 머독과 다시 대화하자.
zts282e	빌스미스에게 망치를 가져다 주자
zts283e	노스캠프에 들르자
zts284e	머독에게 다음 임무에 대해서 듣자.
zts285e	광산에 들어가 코볼트 가면을 쓰고 코볼트의 대화를 엿들어라
zts286e	광부들이 지시한 지역을 조사하자
zts287e	잠깐 마을로 되돌아가 에릴에게 보고하자.
zts288e	모험가 신발 1켤레를 구해서 라울에게 가져다주자
zts289e	1번광산에서 라울의 삼촌을 구하라
zts290e	코볼트가면을 쓰고 코볼트들의 행태를 조사하자
zts291e	코볼트 총파업!
zts292e	머독에게 코볼트 파업에 대해서 알려주자
zts293e	코볼트들을 진압하라!
zts294e	머독씨와 다시 상의해보자
zts295e	시위현장으로 진입해 정황을 알아보자
zts296e	코볼트의 요구에 대해서 에릴과 대화하자
zts297e	로펠로경의 응답을 기다리면서……
zts298e	어떤 응답이 왔는지 들어보자
zts299e	새로운 인연
zts301e	서부 광산지역에서 들리는 이상한 소리를 조사하자
zts302e	주변을 탐색해보자
zts303e	빌에게서 수비대원들의 무기를 받자.
zts304e	수비대원들이 출동한 장소로 가자.
zts305e	셀빅에게 검은석판의 내용을 들어보자.
zts307e	조금씩 뒤로 물러나면서 마물들을 처치하자
zts308e	레인과 합류해 마물들을 처치하자.
zts309e	관리인에게 경과를 알려주자.
zts310e	2번광산 안에 있는 코볼트들을 처치하라.
zts311e	관리인에게 경과를 알려주자
zts312e	크리스포 아저씨를 구해라!
zts313e	수비대와 합류해 코볼트들의 주동 세력을 무찌르자!
zts314e	강력한 적
zts316e	벨로치카에게 페어리에 대해서 듣자.
zts317e	어중이와 대화하자.
zts319e	마물이 계속 등장하는 원인을 파악하자.
zts320e	마왕다크에 대해서 노스캠프에 이야기하자
zts321e	친위대에게 소식을 전하자.
zts322e	수상한 친위대
zts323e	아침의 평원에 있는 친위대장을 찾아라
zts324e	친위대장에게 식사를 제공하자
zts325e	대장님이 식사하시는 동안 주변을 경호하자
zts326e	대장이 잃어버린 담뱃갑을 찾아라
zts328e	친위대에게 케빈에 대해서 물어보자
zts329e	셀빅에게 물어보자
zts331e	모건이 원하는 물건을 가져다 주자
zts332e	모건이 원하는 동물을 포획하자
zts333e	모건에게 집합장소에 대한 얘기를 듣자
zts334e	친위대의 집합장소에 가보자.
zts335e	라이벌
zts337e	추적향수에 대해 라울에게 물어보자
zts338e	북부평원의 향기로운 풀로부터 풀잎을 얻자
zts340e	약재만드라로부터 만드라꽃잎을 구하라
zts341e	라울에게 추적향수제조를 부탁하자
zts342e	모건에게 추적향수를 전달하자
zts345e	케빈의 뒤를 추적하자
zts346e	제리코의 부름에 응하자
zts347e	주변의 몬스터를 처치하자
zts348e	수비대들의 위치를 추적하자.
zts349e	제리코에게 트레이닝을 받자
zts350e	제리코에게 근성을 보여주자!
zts351e	첫번째 관문을 통과하자
zts352e	수행결과를 제리코에게 보고하자
zts353e	케빈과의 도전장소로 이동하자
zts354e	케빈과의 대결 결과를 제리코에게 알려주자
zts355e	잿빛 폭풍!
zts356e	노스캠프로 돌아가자
zts357e	아침의 평원에서 밀을 구하자
zts358e	물약 제조에 필요한 만드라고라를 구하라
zts359e	머독에게서 철을 얻어와라
zts360e	광산내에서 철광석을 구해라
zts362e	에릴에게 경과를 보고하자
zts363e	아침의 평원에 선발대로 나가자
zts364e	코볼트와의 전투에 참여하자
zts365e	노스캠프에 현재의 상황을 전달하자
zts366e	신전입구의 수비대 기지에 상황을 전달하자
zts367e	코볼트 병사들과 싸워라!
zts368e	수비대 기지에 임무 완료를 보고하라
zts370e	전란의 소용돌이
zts372e	친위대의 행방을 찾아라
zts373e	통나무를 제거하라
zts374e	친위대원들이 모인 장소로 이동하자
zts375e	베이먼에게 문서를 전달하자
zts376e	조그만 붉은빛 석판에 마법가루를 뿌리자
zts377e	코아렌이 다시 공격을 시작했다! 그의 공격을 막아내자.
zts378e	수비대 캠프로 가자
zts379e	베이먼의 불가능한 요구
zts380e	모건의 요구
zts381e	서부광산지역으로 가보자
zts383e	다시 서부광산지역으로 가자
zts384e	베이먼에게 상황을 보고하자
zts385e	아군과 적
zts386e	전투가 발발했다! 전투에 참여하라
zts388e	모건에게 인장이 왔는지 알아보자
zts389e	베이먼에게 검을 전해주자
zts390e	친위대에게도 데몬에 대한 소식을 전하자
zts391e	친위대의 공격루트를 확보하라
zts392e	수비대 캠프로 돌아가라
zts393e	노스캠프로 돌아가라
zts395e	크레센도경에게 줄 뇌물을 구하자
zts396e	빛나는 핏빛 루비를 구하라
zts399e	적진 깊숙히 침투해 정보를 얻어내자
zts400e	얻어낸 정보를 노스캠프에 전달하라
zts401e	정보를 수비대 캠프에도 전달하라.
zts402e	적진 깊숙히 침투해 적들을 처단하라
zts403e	수비대 캠프에 보고하라
zts404e	분열과 배신
zts405e	코아렌의 뒤를 추격하라!
zts406e	나무뿌리 통로를 이용해 코아렌이 있는곳까지 이동하라
zts408e	덜자란 댄더피프를 사냥하자
zts409e	덴더피프 사냥을 하자
zts410e	두번째 펫 순한백양을 얻자
zts411e	북부평원에서 붉은열매를 모으자
zts412e	광산입구 앞의 머독을 만나보자
zts413e	시공의 돌에 출입해 나무망치를 구하자
zts414e	코볼트 광부들에게서 광석을 얻자
zts415e	코볼트 광부들에게서 곡괭이를 얻자
zts416e	수비대와 함께 마물들의 침공을 막으세요.
zts417e	아침의 평원을 조사하자.
zts418e	케빈을 만나러 가자
zts419e	빌스미스에게 물어보자
zts420e	신전입구로가서 킁킁이 벌레를 채집하자
zts421e	화살표를 따라가자
zts422e	셀빅과 대화하자
zts423e	에릴과 대화하자
zts424e	모은 재료와 논문을 가지고 라울과 상의하자
zts425e	모건에게 루비를 전달하자
zts426e	두번째 관문을 통과하자
zts427e	세번째 관문을 통과하자
zts428e	북부광산에서 전투가 시작되었다! 어서 합류하자!
zts429e	담배갑을 전해주자
zts430e	빈병을 가지고 서부광산지역에 있는 우물가로 가자
zts431e	폐광 지하의 붉은진흙골렘을 처치하자
zts432e	모건에게 방법을 물어보자
zts433e	37레벨 시공에서 작은 핏빛 루비를 구하라
zts434e	북부평원에서 화살표를 따라가자
zts435e	수비대 아저씨 짐과 대화
zts436e	빌스미스와 이야기하자
zts437e	벨로치카와 이야기하자
zts438e	코아렌을 따라 잡아라.
zts439e	켄코 대원들과 싸우면서 실마리를 얻어라
zts440e	특별한 물건이 있는지 라울에게 물어보자
zts441e	다시 새로운 실마리를 얻어보자
zts442e	라울에게 검은석판 해독을 부탁하자
zts443e	지옥개가 출몰하는 장소로 이동하자
zts444e	지옥개의 목걸이를 얻자
zts445e	폐광 지하에 있는 입벌리고 있는 동상을 찾아라
zts446e	데몬의 하수인과 대화하라
zts447e	푸른 두더지의 수염을 얻어라
zts448e	코아렌과 켄코가 만나는 장소로 들어가자
zts449e	신비의 보물을 찾아서
zts450e	라울에게 마법재료를 가져다 주자
zts451e	새로운 보물을 찾아서
zts452e	벨로치카에게 요리재료를 가져다 주자
zts453e	어중이에게 보물에 대한 정보를 듣자
zts458e	어중이에게 슈퍼세트를 가져다 주자
zts460e	에릴에게 보물을 가져다 주자
zts461e	신전1층의 밀페된방으로 이동하라
zts462e	붙잡힌 첩보대원을 구하라
zts463e	새로운 동맹
zts465e	첩보대원들에게 일어난일을 보고하자
zts466e	켄코 부대원들을 잡아 샘플을 얻자
zts468e	코아렌 부대를 구해라!
zts469e	라울에게 조언을 구하라
zts470e	흡수깔대기로 켄코부대의 기운을 흡수해서 허상 구슬을 구해라
zts471e	신전옆 오솔길의 버려진 마법사의 탑으로 가라
zts472e	라울에게 물건을 전해주자
zts473e	관문을 통해 정예부대 진지로 잠입하자
zts477e	첩보대원에게 보고하라
zts478e	페르논의 나무
zts479e	켄코 은신처에 잠입하라
zts482e	라울에게 사악한 서클에 대해 물어보자
zts483e	신전1층에서 붉은 나뭇가지를 얻어라
zts485e	동쪽 소용돌이 통로로 이동하라
zts487e	첫번째 지맥을 끊어라
zts489e	두번째 지맥을 끊어라
zts491e	세번째 지맥을 끊어라
zts493e	네번째 지맥을 끊어라
zts494e	신전 최상층으로 이동하라
zts495e	속박된 영혼과 싸워라
zts497e	페르논의 심장으로 돌격하자!
zts498e	페르논의 뿌리로 돌격하자!
zts499e	폐광내에서 푸른 두더지를 찾아라
zts500e	아래쪽길에서 코아렌의 흔적을 찾아라
zts502e	페르논신전 B1층에서 보물을 찾아보자!
zts503e	두번째 보물을 찾아라
zts504e	세번째 보물을 찾아라
zts505e	네번째 보물을 찾아라
zts506e	첩보대원에게 샘플을 전해주자
zts507e	서부광산지역 데굴데굴절벽 우물가로 이동하라
zts508e	신전B1층의 지역을 조사해보자
zts509e	신전B1층의 북쪽 비상통로로 가라
zts510e	신전B1층의 동쪽 비상통로로 가라
zts511e	신전B1층의 서쪽 비상통로로 가라
zts512e	마법사의 탑 8층의 성스러운 제단으로 가라
zts513e	신전B2층으로 이동해 킁을 뒤따라가자
zts514e	킁에게 페르논의 봉인에 대한 이야기를 듣자
zts515e	마물을 처치하라!
zts516e	첩보대원에게 가자
zts517e	신전 B2층의 구불구불한 통로로 가자
zts518e	신전 2,3층에서 빛속성 호박을 얻어라
zts519e	신전 4,5층에서 어둠속성 호박을 얻어라
zts520e	신전 6,7층에서 물속성 호박을 얻어라
zts521e	신전 8,9층에서 불속성 호박을 얻어라
zts522e	셀빅에게서 예전에 주었던 보물을 돌려받자
zts523e	자자마루 퀘스트
zts524e	이상한 돌덩이에 대해 물어보자
zts525e	빌 스미스에게 거대한 쇠망치 제작을 의뢰하자
zts526e	빌스미스에게 재료 전달
zts527e	거대한 쇠망치를 코볼트 인부에게 건내주자
zts528e	코볼트 인부를 도와 운석파편을 부수자
zts529e	운석 주변에 몰려든 난폭해진 몬스터를 처치하자
zts530e	시둘러 비석을 확인해 보자
zts531e	영상과 연관된 돌을 살펴보자
zts532e	꼬깔 모양의 돌을 살펴보자
zts533e	나마주를 추적하자
zts534e	라울에게 정령의 정수에 대해 물어보자
zts535e	벨로치카에게 요정의 인분을 구하러 가자
zts536e	벨로치카에게 요리에 쓸 향신료를 가져다주자
zts537e	라울에게 요정의 인분을 가져다주자
zts538e	셀빅에게 돌아가자
zts539e	사쿠라공주의 머리장식을 찾아라
zts540e	사쿠라공주의 봉인을 풀어라
zts541e	셀로인의 부름에 응하자
zts542e	영혼의 결정을 구하자
zts543e	셀로인에게 영혼의결정을 가져다주자
zts544e	셀로인의 부름에 응하자.
zts545e	빌스미스에게 재료를 전달하자
zts546e	영혼의 결정을 다 모았습니다. 셀로인에게 돌아가세요.
zts547e	서둘러 비석을 확인해 보자
zts601e	다음 몬스터를 잡아주세요
zts602e	노스캠프 크렘산지 지점 추진!
zts603e	코아렌 마을 수장과 대화하자
zts604e	크램산지 봉우리에서 산사나무 열매즙을 얻어 왼쪽 석상에 뿌려라
zts605e	크램산지 봉우리에서 산사나무 열매즙을 얻어 오른쪽 석상에 뿌려라
zts606e	부서진 석상에 대해서 물어보자
zts607e	석상을 만들기 위한 찰흙을 모아라
zts608e	석상을 만들자
zts609e	만들어진 석상을 가져다 놓자
zts610e	진행 상황을 보고하자
zts611e	노스캠프 설립 수락 소식을 전하자
zts612e	부서진 초소를 고쳐라
zts613e	주변에 잔디를 심어라
zts614e	울퉁불퉁한 땅을 다듬어라
zts615e	보물지도를 전해주자
zts616e	보물지도의 위치로 가서 보물을 찾자
zts617e	보물을 전해주자
zts618e	휘리리콜린에게 가보자
zts619e	수직동굴에 드라이어드를 찾으러 가자
zts620e	드라이어드의 위치에 대해 물어보자
zts621e	드라이어드를 소탕하라
zts622e	캐트시에 대해 보고하자
zts623e	캐트시를 찾아보자
zts624e	마물의 공격에서 벗어나자
zts625e	캐트시의 위치에 대해서 물어보자
zts626e	캐트시의 이동경로를 찾아가자
zts627e	코볼트와 캐트시
zts628e	정보 전달자를 만나러 가자
zts629e	정보 전달자를 만나자
zts630e	으슥한 동굴 근처의 마물을 처치하자
zts631e	데몬하수인에게 보고하자
zts632e	데몬하수인이 요구한 모자 제작 방법을 물어보자
zts633e	반짝이는 바위에서 가루를 얻자
zts634e	반짝이는 돌가루를 가져다주자
zts635e	산드라에게 재료를 가져다주자
zts636e	정보를 얻으러 가자
zts637e	캐트시가 출현하는 장소로 찾아가자
zts638e	단서를 보여주고 정보를 얻자
zts639e	크램산지 봉우리의 노을진 절벽끝으로 가자
zts640e	붉은마스크 제작을 요청하자
zts641e	안개계곡에서 샤를롯을 찾아보자
zts642e	안개계곡의 마물을 처치하자
zts643e	샤를롯을 찾아보자
zts644e	샤를롯의 위치를 물어보자
zts645e	지하감옥의 위치를 물어보자
zts646e	혼령의 동굴에서 맹수의 이빨을 구하자
zts647e	맹수의 이빨을 가져다주자
zts648e	지하감옥에서 샤를롯을 구해내자
zts649e	켄코의 부활
zts650e	부탁한 보물을 찾아오자
zts651e	진귀한 항아리를 가져다주자
zts652e	세닐을 만나러가자
zts653e	해결방법을 물어보자
zts654e	세닐을 찾아 코아렌의 뜻을 전하자
zts655e	노스캠프 크램산지 지부로 돌아가자
zts656e	코볼트 주술사를 찾아가자
zts657e	켄코의 행적을 물어보자
zts658e	산지동굴6에서 켄코의 첩자를 찾아라
zts659e	산지동굴6맵에서 켄코의 첩자를 찾아라
zts660e	편지조각들을 보여주자
zts661e	켄코의 작전을 사전 봉쇄하자
zts662e	켄코의 최후
zts663e	페르논 신전입구로가서 킁킁이 벌레를 채집하자
zts664e	샤를롯의 향수에 대해 알아보자
zts665e	냄새를 따라 쉐인라던전 B1층으로 이동하자
zts666e	주위의 마물을 처치하자
zts667e	다다른 곳에서 샤를롯을 찾아보자
zts668e	프린세스 페트리시아와 흩어져 샤를롯의 흔적을 찾아보자
zts669e	수상한 벽화를 찾아보자
zts670e	비밀공간을 살펴보자
zts671e	흥분한 장미나무 기사단원을 진정시키자
zts672e	장미나무 기사단원이 알려준 장소를 살펴보자
zts673e	흔적을 따라 켄코의 뒤를 따라가자
zts674e	숨겨진 제단의 결계를 찾아보자
zts675e	인두고문관에게 망치를 빼앗자
zts676e	절규하는 석상을 파괴하자
zts677e	결계, 고통의 미궁을 파괴하자
zts678e	블랙다이아를 구하자
zts679e	열쇠 수리를 부탁하자
zts680e	숨겨진 제단으로 가자
zts681e	샤를롯을 구하고 페르논의 봉인을 막자
zts682e	킁킁이용 작은망을 구하자
zts683e	특정위치로 이동하라
zts685e	도전! 시공의 돌 스코어!
zts687e	해당점수 이상으로 시공의 돌을 완료하라! (기록도전모드로 해야함)
zts688e	패스톤 연구소를 조사하자.
zts689e	노스캠프 크렘지점의 산드라를 만나보자.
zts690e	코아렌의 촌장을 만나보자.
zts691e	산드라를 만나보자.
zts692e	연구소로 이동하라.
zts693e	76레벨 시공의 돌을 완료하세요.
zts694e	연구소에서 있었던 일을 산드라에게 설명하자.
zts695e	알렉스 리프에게 호위를 부탁하자.
zts696e	67레벨 시공의 돌을 완료하라.
zts697e	라달의 유서를 찾자.
zts698e	산드라에게 연구소에 대해 조사한 것에 대해 보고하자.
zts699e	모두가 이상해졌어.
zts700e	악세사리에 대해 잘 알고 있는 사람을 찾자.
zts701e	라달의 반지에 대해서 알기 위해 캐트시들의 행방을 찾자.
zts702e	캐트시의 행방을 찾자.
zts703e	황혼의 진주에 대해 알고 있는 사람을 찾자.
