zts1e	새로운아이템
zts74e	민첩의 활을 강화한 활이다.[n]가벼워 명중률은 좋으나 파워가 약했던 것을 보완했다.[n]명중률증가와 파워 상승 효과를 가지고 있다.[n][n]
zts75e	참나무보우
zts76e	참나무를 판을 이중으로 붙여 견고하게 만들었다.[n]탄성이 강한 것이 특징[n][n]
zts77e	바람의활
zts78e	바람을 연구한 고대의 궁사가 만든 활로 바람을 타고[n]더욱 강한 공격을 하는 것이 특징.[n][n]
zts79e	뿔장식숏보우
zts80e	소의 뿔로 활대를 장식한 활이다.[n]궁사들이 소장하고 싶어한다.[n][n]
zts81e	레더그립보우
zts82e	바람의 활에 그립감을 높이기 위해 소가죽으로[n]손잡이를 만들어준 활로 치명타 데미지가 높다.[n][n]
zts83e	헌팅보우
zts84e	전형적인 헌팅보우로 내구력이 뛰어나[n]거친 지형의 사냥의 사냥에 많이 쓰인다.[n][n]
zts85e	용맹의활
zts86e	위험을 두려워 하지 않는 궁사의 활.[n]불기운과 함께 데미지를 증폭시켜준다.[n][n]
zts87e	롱보우
zts88e	활대가 긴 것이 특징이다.[n][n]
zts89e	청동보우
zts90e	용맹의 활에 청동을 세공하여 부분부분 입혀[n]어느정도 방패 역할을 한다.[n]용맹의 활에 기본 능력에다가 방어력이 높아진다.[n][n]
zts91e	정령의활
zts92e	정령이 깃든 활로 모든 속성 기운이 증가한다.[n][n]
zts93e	초급주술사의오브
zts94e	주술사에게 기본으로 지급되는 오브[n]모험가는 착용할수 없다[n][n]
zts95e	붉은구슬오브
zts96e	붉은 구슬이 박혀있다.[n][n]
zts97e	정신의오브
zts98e	푸른 구슬이 장식되어있다.[n]구슬의 신비한 힘이 마법의 힘을 높여준다[n][n]
zts99e	루비장식오브
zts100e	커다란 루비로 장식된 오브[n][n]
zts101e	마력의오브
zts102e	정신의 오브에 박힌 푸른 구슬을 신비한 가루로 코팅한 오브이다.[n][n]
zts103e	푸른구슬오브
zts104e	푸른 구슬이 장식된 오브[n][n]
zts105e	빛의오브
zts106e	신비한 빛이 새어나오는 오브로 생명력 재생 능력이 높아진다.[n][n]
zts107e	오팔장식오브
zts108e	오팔 보석이 박혀 있는 오브[n][n]
zts109e	마나의오브
zts110e	빛의 오브에 박혀있는 신비한 구슬에 성질을 변화시켜[n]만든 오브이다. 마나 재생 능력이 높아진다.[n][n]
zts111e	산호장식오브
zts112e	산호를 세공하여 장식한 오브이다.[n][n]
zts113e	영광의오브
zts114e	이 오브를 가진 자 영광이 함께 하리라.[n]사기에 영향을 받지 않는다.[n][n]
zts115e	크리스탈오브
zts116e	고급 크리스탈로 장식한 오브[n][n]
zts117e	지력의오브
zts118e	영광의 오브에 신비한 가루로 정화시킨 오브.[n][n]
zts119e	어둠의오브
zts120e	어둠의 기운이 가득하다.[n][n]
zts121e	가죽장갑
zts122e	착용감이 좋고 활시위등을 당길때 좋다[n]원거리공격력이 높아진다[n][n]
zts123e	까끌까끌 장갑
zts124e	바닥이 까끌까끌해 무기가 손에서 미끌어지지 않는다[n]근접공격력이 높아진다[n][n]
zts125e	모험가 신발
zts126e	모험가들이 신는 신발[n][n]
zts127e	뒤꿈치 강화신발
zts128e	발 뒤꿈치에 밑창을 좋은것으로 덧댄 신발[n][n]
zts129e	가죽신발
zts130e	가죽으로 만든 괜찮은 신발[n][n]
zts131e	슬라이딩 슈즈
zts132e	밑창 재질이 우수해 원할때 빠르게 미끌어질수 있다[n]본래는 댄스용이라는 말도 있긴 하다[n][n]
zts133e	고참 모험가의 검
zts134e	노련한 모험가들이 사용하는 검[n][n]
zts135e	최강 새총
zts136e	새총중 가장 강력한 새총중의 새총이다[n][n]
zts137e	초급검사의석궁
zts138e	기본적인 검사의 보조무기인 석궁[n][n]
zts139e	참나무석궁
zts140e	참나무 재질로 만든 작은 석궁이다.[n][n]
zts141e	가늠쇠석궁
zts142e	가늠쇠가 달려 명중률이 좋다.[n][n]
zts143e	얇은 손장갑
zts144e	얇아서 크게 효과가 없다[n][n]
zts145e	고무판 손장갑
zts146e	바닥에 고무판이 깔려 짐짝 나를때 편하다[n][n]
zts147e	강철석궁
zts148e	강철로 만들어 무거운 단점이 있지만 공격력이 좋다.[n][n]
zts149e	대가의석궁
zts150e	석궁 장인의 명품 석궁이다. 밸런스가 좋다[n][n]
zts151e	크로스보우
zts152e	전형적인 크로스보우로 그립감이 좋다.[n][n]
zts153e	무소뿔석궁
zts154e	무소뿔로 만든 석궁으로 내구력이 좋고 가벼워 재장전이 빠르다.[n][n]
zts155e	용맹의크로스보우
zts156e	용사의 기운이 깃들어 사기를 높여준다..[n][n]
zts157e	초급궁사의더크
zts158e	궁사의 기본 보조무기[n][n]
zts159e	더크
zts160e	안정적인 데미지의 더크이다.[n][n]
zts161e	시련의더크
zts162e	궁지에 몰렸을때 그 위력이 더 강해진다는 소문이 있다.[n]크리티컬 확률 상승[n][n]
zts163e	세공더크
zts164e	더크에 신비한 보석을 세공해 넣은 고급 더크로 모든 공격력을 높여주는 신비한 능력이 있다.[n][n]
zts165e	대가의더크
zts166e	더크의 장인에 의해 만들어진 고급 더크로 밸런스가 좋다.[n][n]
zts167e	대거
zts168e	전형적인 대거로 기본에 충실하다.[n][n]
zts169e	루비장식대거
zts170e	루비장식을 한 대거로 자부심을 느끼기에 충분하다.[n][n]
zts171e	정령의대거
zts172e	정령의 힘이 깃든 대거이다. 4대기운이 내포되어 있다.[n][n]
zts173e	초급주술사의스펠건
zts174e	주술사의 기본 스펠건[n][n]
zts175e	작은스펠건
zts176e	볼품없는 작은 스펠건으로 위력이 좋지 않다.[n][n]
zts177e	매직스펠건
zts178e	마력을 효과적으로 변환하여 성능이 좋은 편이다.[n][n]
zts179e	황금장식스펠건
zts180e	황금은 마력을 높이는 재질로 성능의 향상을 준다.[n]마법공격력을 높여준다[n][n]
zts181e	대가의스펠건
zts182e	스펠건의 장인이 만든 안정성 높은 스펠건이다.[n]치명타가 발생한다.[n][n]
zts183e	황동스펠건
zts184e	황동으로 총구를 만든 스펠건이다. 내구력이 강한편이다.[n]무겁다는 단점이 있다.[n][n]
zts185e	룬문양스펠건
zts186e	룬문양을 새긴 스펠건으로 마력의 상승에 효과를 가졌다.[n][n]
zts187e	어둠의스펠건
zts188e	공격적인 성향을 가진 스펠건으로 그 위력은 굉장하다.[n][n]
zts189e	초급검사의아머
zts190e	검사에게 지급되는 기본 의상[n][n]
zts191e	패디드아머
zts192e	두꺼운 천을 잇대어 만든 갑옷 방어력을 크게 기대하기 어렵다.[n][n]
zts193e	퀼팅아머
zts194e	두꺼운 천에 솜을 넣어 누빈 갑옷. 가볍고 보온이 잘된다.[n][n]
zts195e	레더아머
zts196e	무두질한 가죽으로 만든 일반적인 갑옷[n][n]
zts197e	체력의아머
zts198e	입은이에서 기운을 높여주는 갑옷이다[n]체력을 증가시켜준다[n][n]
zts199e	스터드레더아머
zts200e	가죽에 쇠 징을 박은 아머이다. 방어효과는 그리 크지 않다.[n][n]
zts201e	강화가죽갑옷
zts202e	무두질한 갑옷을 이중으로 합치고 기름을 먹였다.[n]방어력이 좋고 가볍다.[n][n]
zts203e	스케일아머
zts204e	금속비늘을 촘촘히 엮은 갑옷[n][n]
zts205e	사기의아머
zts206e	착용시 사기에 영향을 받지 않게 된다.[n][n]
zts207e	플레이트아머
zts208e	가죽갑옷 속에 철판을 넣어 붙인 갑옷[n][n]
zts209e	황금리벳아머
zts210e	황금 리벳으로 장식하여 화려하다.[n]갑옷이 무겁다는 단점이 있다.[n]마법방어가 특히 강하다.[n][n]
zts211e	브리건딘
zts212e	플레이트 아머보다 철판을 촘촘히 배열한 갑옷[n][n]
zts213e	용맹의아머
zts214e	착용자의 공격력을 높여준다.[n][n]
zts215e	초급궁사의튜닉
zts216e	궁사에게 지급되는 기본 의상[n][n]
zts217e	램스킨튜닉
zts218e	어린양의 가죽으로 만든 튜닉[n][n]
zts219e	베로아튜닉
zts220e	가죽에 거친 기모를 낸 가공을 한 튜닉. 착용감이 조금 낫다[n]모든 무기의 치명타 확률이 약간씩 증가한다[n][n]
zts221e	고트튜닉
zts222e	산양의 가죽으로 만든 튜닉.[n][n]
zts223e	회피의튜닉
zts224e	마치 아무것도 걸치지 않은것처럼 가볍고 착용감이 좋다.[n]근접공격에 대한 회피가 추가된다[n][n]
zts225e	카프스킨튜닉
zts226e	송아지의 가죽으로 만든 튜닉[n][n]
zts227e	스웨드튜닉
zts228e	가죽에 부드러운 기모를 낸 튜닉으로[n]보온효과가 좋고 착용감이 뛰어나다[n]HP와 MP의 회복량이 증가한다[n][n]
zts229e	카우레더튜닉
zts230e	소가죽으로 만든 튜닉[n][n]
zts231e	시야의튜닉
zts232e	시야가 넓어져 원거리 공격력을 높여준다.[n][n]
zts233e	페커리튜닉
zts234e	맷돼지의 가죽으로 만든 튜닉[n][n]
zts235e	누바크튜닉
zts236e	소가죽에 스웨드보다 더 부드럽게 기모를 낸 튜닉.[n]근접공격에 매우 강하다.[n][n]
zts237e	토스카나튜닉
zts238e	부드러운 양털이 그대로 달린 튜닉이다.[n][n]
zts239e	정령의튜닉
zts240e	정령의 보호로 강력한 방어를 자랑한다.[n][n]
zts241e	초급주술사의로브
zts242e	주술사에게 지급되는 로브[n][n]
zts243e	코튼로브
zts244e	면으로 만든 로브[n][n]
zts245e	매직코튼로브
zts246e	마법이 깃든 코튼로브이다. 생명력 회복력이 증가한다.[n][n]
zts247e	리넨로브
zts248e	아마 섬유로 짠 얇은 천옷. 원거리 블록기능이 있다.[n][n]
zts249e	회복의로브
zts250e	정신을 맑게해주는 기운이 깃들어 있다[n]MP회복량이 증가하며 근접블록기능이 있다.[n][n]
zts251e	트위드로브
zts252e	굵은 양모를 사용하여 만든 로브.[n]근접방어가 좋으며 불저항이 있다.[n][n]
zts253e	강화리넨로브
zts254e	내구성이 부족한 리넨에 코튼을 섞은[n]로브로 내구성이 좋아졌다.[n]근접공격을 흡수한다.[n][n]
zts255e	모슬린로브
zts256e	가볍고 보온성이 좋으며 탄력이 있는 로브[n][n]
zts257e	엘리멘탈로브
zts258e	모든 속성저항을 높여준다.[n][n]
zts259e	실크로브
zts260e	비단으로 만든 명품 로브[n][n]
zts261e	타탄무늬로브
zts262e	특이한 문양을 새겨 마법 효과가 증폭되는 기분이다.[n][n]
zts263e	헤링본로브
zts264e	고급스런 무늬가 있는 트위드로 지적으로 보인다.[n][n]
zts265e	어둠의로브
zts266e	자신을 공격한자에게 저주를 내린다.[n][n]
zts267e	말년 모험가의 망토
zts268e	모험가들이 말년에 입는다고 하는 옷이다[n][n]
zts269e	영자용코볼트가면
zts270e	그라디우스
zts271e	검투사들이 사용하는 짧은 검으로 치명타가 좋고 사기가 증가한다[n][n]
zts272e	왈룬소드
zts273e	안정적인 데미지를 가지고 있다.[n][n]
zts274e	바이킹소드
zts275e	거친 전사들의 검. 어둠의 기운이 깃들이 있다.[n][n]
zts276e	커틀러스
zts277e	이검을 손에 쥔 자는 사기가 치솟는것을 느끼게 된다.[n][n]
zts278e	카츠발게르
zts279e	치명타 외에 데미지 증폭이 있는 강력한 검이다.[n][n]
zts280e	나이트소드
zts281e	용감한 기사들의 검으로 빛기운이 증가한다.[n][n]
zts282e	슬레이어
zts283e	강력한 일격을 자랑하는 검으로 무시무시한 파워를 지니고 있다.[n][n]
zts284e	얇은활
zts285e	얇지만 치명적인 피해를 입힐 수 있다.[n][n]
zts286e	에지보우
zts287e	불기운이 깃든 활이다.[n][n]
zts288e	합성보우
zts289e	견고하게 제작되어 대단히 안정적이고 치명적이다.[n][n]
zts290e	더블보우
zts291e	데미지의 편차는 크지만 빛기운이 있어 든든한 활이다.[n][n]
zts292e	와일드 보우
zts293e	어둠의 기운과 함께 두려움을 모르는 사기가 솟는다.[n][n]
zts294e	라지 보우
zts295e	강력한 데미지를 가진 대신 치명데미지는 약한 편이다.[n][n]
zts296e	시즈 보우
zts297e	강력한 파워와 치명데미지를 자랑하는 활이다.[n][n]
zts298e	생명의 오브
zts299e	사용자에게 생명의 기운을 불어넣어주는[n]신비한 힘을 가지고 있다.[n][n]
zts300e	화염 오브
zts301e	높은 불기운을 포함하고 있지만 물기운은 저하된다.[n][n]
zts302e	얼음 오브
zts303e	물의 기운을 응집시켜놓은 오브다.[n][n]
zts304e	룬 오브
zts305e	오브에 깃든 마법기운으로 데미지를 증폭시킨다.[n][n]
zts306e	스펠 오브
zts307e	두가지 기운이 깃들어 있으며 시전자의 마나 소모도 줄여준다.[n][n]
zts308e	홀리 오브
zts309e	성스러운 힘으로 보호받는다.[n][n]
zts310e	영혼의 오브
zts311e	오브에 깃든 강한 영혼의 힘이 시전자를 보호한다.[n][n]
zts312e	전투용 석궁
zts313e	전투전용으로 만들어져 성능이 좋다.[n][n]
zts314e	시즈 크로스보우
zts315e	불기운을 지니고 있으며 높은 공격력을 가지고 있다.[n][n]
zts316e	하이랜더 더크
zts317e	치명확률이 높아 위험한 단검이다.[n][n]
zts318e	파냐드 대거
zts319e	어둠의 기운이 깃들어있다.[n][n]
zts320e	노멀 스펠건
zts321e	최대공격력이 높은 총이다.[n][n]
zts322e	청동 스펠건
zts323e	물기운이 추가된 스펠건이다.[n][n]
zts324e	경비용 아머
zts325e	경비대원들의 갑옷으로 튼튼하다.[n][n]
zts326e	하드 레더아머
zts327e	전체적으로 방어력이 좋으며 불저항도 포함되어 있다.[n][n]
zts328e	승리자의 갑옷
zts329e	원거리 흡수 능력이 있다.[n][n]
zts330e	수호의 갑옷
zts331e	빛의 수호로 근접에 대한 피해가 감소한다.[n][n]
zts332e	나이트 아머
zts333e	기사들의 갑옷으로 회피와 블록이 높다.[n][n]
zts334e	스톤 아머
zts335e	흡수와 블록능력을 모두 지닌 특이한 갑옷이다.[n][n]
zts336e	플레쉬 튜닉
zts337e	원거리와 마법방어가 좀더 강화되었다.[n][n]
zts338e	자연의 튜닉
zts339e	자연의 기운이 깃들어 있어 HP와MP가 증가한다.[n][n]
zts340e	샤크스킨 튜닉
zts341e	근접과 마법공격을 블록한다.[n][n]
zts342e	브레스 튜닉
zts343e	망자의 숨결이 깃들어 있다.[n][n]
zts344e	윈드 튜닉
zts345e	모든 공격을 블록하는 능력을 가지고 있다.[n][n]
zts346e	드라이어드 튜닉
zts347e	모든 속성 기운과 저항을 가지고 있으며[n]마나소비량도 줄어든다.[n][n]
zts348e	입문자 로브
zts349e	근접과 원거리방어가 좀더 강화된 옷이다.[n][n]
zts350e	부드러운 로브
zts351e	원거리 블록기능이 있는 로브다.[n][n]
zts352e	맑음의 로브
zts353e	근접방어가 좋으며 불저항이 있다.[n][n]
zts354e	패턴 로브
zts355e	물과 빛에 대한 저항이 모두 스며들어 있다.[n][n]
zts356e	스펠 로브
zts357e	시전자의 마나 소비량을 줄여준다.[n][n]
zts358e	근원의 로브
zts359e	모든 피해에 대해서 블록확률을 가지고 있다.[n][n]
zts360e	공격등급 부적
zts361e	방어등급 부적
zts362e	공격방어등급 부적
zts363e	공격력 상승부적
zts364e	방어력 상승부적
zts365e	질병감소 부적
zts366e	불저항의 부적
zts367e	빛저항의 부적
zts368e	물저항의 부적
zts369e	어둠저항의 부적
zts370e	모든저항의 부적
zts371e	치명확률 부적
zts372e	치명데미지 부적
zts373e	물리흡수 부적
zts374e	마법흡수 부적
zts375e	원거리흡수 부적
zts376e	모든타격흡수 부적
zts377e	물리블록 부적
zts378e	마법블록 부적
zts379e	원거리블록 부적
zts380e	머리띠
zts381e	머리를 약간 보호해 줄것 같기도 하다[n][n]
zts382e	푹신푹신모자
zts383e	푹신푹신한 모자다[n][n]
zts384e	위장용 나뭇잎
zts385e	별로 위장이 잘 될것 같지는 않다[n][n]
zts386e	만드라귀돌이
zts387e	귀를 착 덮어주는 귀돌이다[n]착용시 만드라고라 비명에서 일정확률로 보호받는다[n][n]
zts388e	하마꿍 모자
zts389e	매우 푹신푹신한 하마모양 모자다[n]착용시 높은 확률로 기절을 하지 않는다[n][n]
zts390e	또랑또랑 안경
zts391e	코볼트 가면
zts392e	코볼트 얼굴 모양의 가면이다[n]코볼트 광부를 공격해도 주변 광부들이 달려들지 않는다[n][n]
zts393e	녹용모자
zts394e	HP가 증가하며,[n]착용시 만드라고라 비명에서 일정확률로 보호받는다.[n][n]
zts395e	욜라뽕따 모자
zts396e	헤드기어
zts397e	착용시 높은 확률로 출혈에 걸리지 않는다[n][n]
zts398e	더듬더듬이
zts399e	신내림 머리띠
zts400e	메롱 모자
zts401e	소간지 모자
zts402e	물소뿔
zts403e	사각뿔테 안경
zts404e	윙크가면
zts405e	박쥐가면
zts406e	외알안경
zts407e	엑스 마스크
zts408e	턱수염과 연지
zts409e	모든타격 블록 부적
zts410e	불기운상승 부적
zts411e	물기운상승 부적
zts412e	빛기운 상승 부적
zts413e	어둠기운 상승 부적
zts414e	모든기운 상승 부적
zts415e	첫삥-이
zts417e	둘삥-이
zts418e	삼삥-이
zts419e	지르기보호부적(무기)
zts420e	몸에 지니고 있으면[n]지르기시 무기가 사라질 경우[n]무기대신 부적이 사라진다.[n](총 3회까지 사용)[n][n]
zts421e	지르기보호부적(의상)
zts422e	몸에 지니고 있으면[n]지르기시 의상이 사라질 경우[n]의상대신 부적이 사라진다.[n](총 3회까지 사용)[n][n]
zts423e	레어상승부적
zts424e	몸에 지니고 지르기를 하면[n]무조건 현재의 레어등급에서 1이 더해진다![n](실패 없음)[n][n]
zts425e	등급고정무기 강화부적
zts426e	몸에 지니고 있으면[n]등급고정으로 더이상 강화할수 없는[n][무기]를 강화 할 수 있다.[n]단, 강화는 본래의 확률대로 된다.[n]또다시 등급고정이 걸릴수 있으며,[n]만약 강화에 성공하면 등급고정이[n]없어진다.[n]실패시에는 이전과 마찬가지로[n]아이템이 사라질수 있으니 주의![n](총 2회까지 사용)[n][n]
zts427e	등급고정의상 강화부적
zts428e	몸에 지니고 있으면[n]등급고정으로 더이상 강화할수 없는[n][의상]을 강화 할 수 있다.[n]단, 강화는 본래의 확률대로 된다.[n]또다시 등급고정이 걸릴수 있으며,[n]만약 강화에 성공하면 등급고정이[n]없어진다.[n](총 2회까지 사용)[n][n]
zts429e	엘븐나이트
zts430e	성스러운 축복의 기운이 넘치는 검이다.[n][n]
zts431e	글로리우스
zts432e	정령의 힘이 깃들어 모든 속성기운과[n]저항능력을 갖춘 검이다.[n][n]
zts433e	발뭉핸드
zts434e	상대의 저항력을 깎아내리는 공격과 함께[n]넓적한 검날로 치명상의 피해를 감소시킨다.[n][n]
zts435e	레드핑거
zts436e	상대의 생명력을 흡수하는 무서운 능력을 가진 활.[n]이 활을 든 사람은 근력이 강해져 근접공격력도 높아진다.[n][n]
zts437e	그리피스
zts438e	자연의 힘을 받아 더욱 강력한 힘을 낼수 있다.[n][n]
zts439e	디센트호크
zts440e	모든 속성기운을 가지고 있으며[n]소유자가 마법에 대한 피해를 적게 입도록[n]도와주는 활이다.[n][n]
zts441e	레드세이지
zts442e	불의 기운이 내제된 지팡이로[n]상대의 정신력을 빼앗아 오기도 한다.[n][n]
zts443e	고스트위습
zts444e	변이된 정령이 숨어들어 있는 지팡이로[n]소유자의 속성기운은 높여주지만 적의 저항력은[n]떨어뜨려 준다.[n][n]
zts445e	마제스터
zts446e	현자들이 자신의 몸을 보호하기 위해 많이[n]가지고 다닌다는 지팡이.[n]소유자를 보호하기 위한 특성이 많이 들어있다.[n][n]
zts447e	블루와이즈 로브
zts448e	트라이얼 로브
zts449e	달링
zts450e	성장을 하지는 않지만 30의 빛기운을 가지고 있다.[n]기분이 최고로 좋을때 가끔 [달링의축복]을 걸어준다.[n][n]
zts451e	샐라임
zts452e	불의 정령으로 70까지 성장이 가능하다.[n]유저간 거래가 불가능하다.[n][n]
zts453e	운디네
zts454e	물의 정령으로 70까지 성장이 가능하다.[n]유저간 거래가 불가능하다.[n][n]
zts455e	에페리얼
zts456e	빛의 정령으로 70까지 성장이 가능하다.[n]유저간 거래가 불가능하다.[n][n]
zts457e	튜리크
zts458e	어둠의 정령으로 70까지 성장이 가능하다.[n]유저간 거래가 불가능하다.[n][n]
zts459e	성장한 샐라임
zts460e	성장한 운디네
zts461e	성장한 에페리얼
zts462e	성장한 튜리크
zts463e	지름신의 축복 부적
zts465e	지름신의 보호 부적
zts467e	등급고정 강화부적
zts468e	등급이 고정된 장비를 다시 강화할 수 있게 해준다.[n]무기, 의상 공용[n](총 3회까지 사용)[n][n]
zts469e	펫 보관용 구슬
zts470e	펫을 구슬에 넣어 인벤토리나 창고에[n]보관할 수 있으며 다른 유저들과 거래할 수도 있다.[n][사용방법][n]보관할 펫을 선택한후 구슬을 더블클릭한다.[n]동행중인 펫은 보관되지 않는다.[n]꺼낼때는 구슬을 더블클릭한다.[n][주의사항][n]펫의 모든 기록은 저장되지만[n]펫의 이름은 사라진다.[n]펫이 플레이어보다 레벨이 높은 경우[n]미니랜드에 놔둘수는 있지만[n]노스메이트로 동행시킬 수는 없다.[n][n]
zts471e	파트너 보관 구슬
zts472e	파트너를 구슬에 넣어 인벤토리나 창고에[n]보관할 수 있으며 다른 유저들과 거래할 수도 있다.[n][사용방법][n]보관할 파트너를 선택후 구슬을 더블클릭한다.[n]동행중인 파트너는 보관할 수 없다.[n]꺼낼때는 구슬을 더블클릭한다.[n][주의사항][n]보관시 파트너의 장비는 모두 벗어야 한다.[n]같은 파트너가 이미 있는 경우 그 파트너를[n]먼저 보관한 후 꺼내야 한다.[n]파트너가 플레이어보다 레벨이 높은 경우[n]미니랜드에 놔둘수는 있지만[n]노스메이트로 동행시킬 수는 없다.[n][n]
zts473e	스페셜 카드 캐리어
zts474e	스페셜카드를 1장 담을 수 있으며 캐리어에 담는 경우[n]다른 유저와 교환과 거래가 가능해진다.[n][사용방법][n]먼저 보관할 스페셜 카드를 착용한다.[n]캐리어를 더블클릭하면 자동으로 카드가 벗겨지면서[n]캐리어로 보관된다.[n]꺼낼때는 캐리어를 더블클릭한다.[n][주의사항][n]자신이 착용할수 없는 스페셜카드를 보관할수 없다.[n][n]
zts475e	노스몰 개업기념 부적
zts476e	스크래머
zts477e	크리스
zts478e	윈슬렛 크로스보우
zts479e	발렌티 크로스보우
zts480e	플라즈 스펠건
zts481e	레이 스펠건
zts482e	센티넬 룩
zts483e	브리즈스텝
zts484e	브레이브 디펜더
zts485e	스프렌드 디펜더
zts486e	크래셔
zts487e	강력한 파괴기운이 잠재되어 있는 검.[n][n]
zts488e	피어싱포스
zts489e	특수한 종족에 대해 강력한 힘을 발휘한다.[n][n]
zts490e	카이즈스태프
zts491e	뛰어난 마법사들이 지니고 다니는 스태프.[n][n]
zts492e	레이드 보물상자
zts493e	안에는 과연 무엇이 있을까?[n]더블클릭하면 알수 있다![n](장비 아이템의 경우 상자의 레어등급과[n]동일한 레어등급이 붙어서 나온다!!)[n][n]
zts494e	좋은 오리하르콘 목걸이
zts495e	고대의 오리하르콘 목걸이
zts496e	좋은 오리하르콘 반지
zts497e	고대의 오리하르콘 반지
zts498e	좋은 오리하르콘 팔찌
zts499e	고대의 오리하르콘 팔찌
zts500e	고대의 수정목걸이
zts501e	고대의 수정반지
zts502e	고대의 수정팔찌
zts503e	고대의 다이아목걸이
zts504e	고대의 다이아반지
zts505e	고대의 다이아팔찌
zts506e	플레임 글러브
zts507e	스톰 글러브
zts508e	디바인 글러브
zts509e	데스 글러브
zts510e	파이어 슈즈
zts511e	웨이브 슈즈
zts512e	샤인 슈즈
zts513e	쉐도우 슈즈
zts514e	라달의 붉은반지
zts515e	라달이 생애에 매우 아끼던 두개의 반지중 하나.[n]향후에 중요한곳에 쓰이게 될 것이다.[n][n]
zts516e	라달의 푸른반지
zts517e	녹지않는 장갑
zts518e	산성에 대한 저항이 강한 장갑으로[n][산화]에 잘 걸리지 않는다.[n][n]
zts519e	심플한 금목걸이
zts520e	세공된 금목걸이
zts521e	백금반지
zts522e	패션 팔찌
zts523e	마노 목걸이
zts524e	마노 반지
zts525e	마노 팔찌
zts526e	좋은 마노목걸이
zts527e	좋은 마노반지
zts528e	좋은 마노팔찌
zts529e	고급 마노팔찌
zts530e	캐츠아이 목걸이
zts531e	캐츠아이 반지
zts532e	캐츠아이 팔찌
