zts1e	공격특수
zts86e	불속성 기운이 %s만큼 증가한다.
zts87e	불속성 기운이 %s만큼 감소한다.
zts88e	물속성 기운이 %s만큼 증가한다.
zts89e	물속성 기운이 %s만큼 감소한다.
zts90e	빛속성 기운이 %s만큼 증가한다.
zts91e	빛속성 기운이 %s만큼 감소한다.
zts92e	어둠속성 기운이 %s만큼 증가한다.
zts93e	어둠속성 기운이 %s만큼 감소한다.
zts94e	모든 속성기운이 %s만큼 증가한다.
zts95e	모든 속성기운이 %s만큼 감소한다.
zts96e	증폭데미지
zts97e	확률증폭
zts98e	%s%%의 확률로 데미지가 %s%%증가한다.
zts99e	%s%%의 확률로 데미지가 %s%%감소한다.
zts100e	상성에 상관없이 불기운이 %s만큼 증가한다.
zts101e	상성에 상관없이 불기운이 %s만큼 감소한다.
zts102e	상성에 상관없이 물기운이 %s만큼 증가한다.
zts103e	상성에 상관없이 물기운이 %s만큼 감소한다.
zts104e	상성에 상관없이 빛기운이 %s만큼 증가한다.
zts105e	상성에 상관없이 빛기운이 %s만큼 감소한다.
zts106e	상성에 상관없이 어둠기운이 %s만큼 증가한다.
zts107e	상성에 상관없이 어둠기운이 %s만큼 감소한다.
zts108e	방어력변경
zts109e	모든방어변경
zts110e	근접방어변경
zts111e	원거리방어변경
zts112e	마법방어변경
zts113e	방어등급변경
zts114e	모든 방어력이 %s만큼 상승한다.
zts115e	모든 방어력이 %s만큼 감소한다.
zts116e	근접 방어력이 %s만큼 상승한다.
zts117e	근접 방어력이 %s만큼 감소한다.
zts118e	원거리 방어력이 %s만큼 상승한다.
zts119e	원거리 방어력이 %s만큼 감소한다.
zts120e	마법 방어력이 %s만큼 상승한다.
zts121e	마법 방어력이 %s만큼 감소한다.
zts122e	방어등급이 %s만큼 상승한다.
zts123e	방어등급이 %s만큼 감소한다.
zts124e	회피변경과 방어력%변경
zts125e	모든회피변경
zts126e	근접회피변경
zts127e	원거리회피변경
zts128e	방어력%변경
zts129e	모든 공격에 대한 회피가 %s만큼 상승한다.
zts130e	모든 공격에 대한 회피가 %s만큼 감소한다.
zts131e	근접공격에 대한 회피가 %s만큼 상승한다.
zts132e	근접공격에 대한 회피가 %s만큼 감소한다.
zts133e	원거리공격에 대한 회피가 %s만큼 상승한다.
zts134e	원거리공격에 대한 회피가 %s만큼 감소한다.
zts135e	방어력이 %s%%만큼 상승한다.
zts136e	방어력이 %s%%만큼 감소한다.
zts137e	블록변경
zts138e	모든블록변경
zts139e	근접블록변경
zts140e	원거리블록변경
zts141e	마법블록변경
zts142e	모든 공격에 대해 %s%%확률로  %s%%의 피해가 증가한다.
zts143e	모든 공격에 대해 %s%%확률로  %s%%의 피해가 감소한다.
zts144e	근접공격에 대해 %s%%확률로  %s%%의 피해가 증가한다.
zts145e	근접공격에 대해 %s%%확률로  %s%%의 피해가 감소한다.
zts146e	원거리공격에 대해 %s%%확률로  %s%%의 피해가 증가한다.
zts147e	원거리공격에 대해 %s%%확률로  %s%%의 피해가 감소한다.
zts148e	마법공격에 대해 %s%%확률로  %s%%의 피해가 증가한다.
zts149e	마법공격에 대해 %s%%확률로  %s%%의 피해가 감소한다.
zts150e	흡수변경
zts151e	모든흡수변경
zts152e	근접흡수변경
zts153e	원거리흡수변경
zts154e	마법흡수변경
zts155e	등급 (+%s)이하의 모든공격에 대해 %s%%만큼 피해가 증가한다
zts156e	등급 (+%s)이하에 모든공격에 대해 %s%%만큼 피해가 감소한다
zts157e	등급 (+%s)이하의 근접 공격에 대해 %s%%만큼 피해가 증가한다
zts158e	등급 (+%s)이하의 근접 공격에 대해 %s%%만큼 피해가 감소한다
zts159e	등급 (+%s)이하의 원거리 공격에 대해 %s%%만큼 피해가 증가한다
zts160e	등급 (+%s)이하의 원거리 공격에 대해 %s%%만큼 피해가 감소한다
zts161e	등급 (+%s)이하의 마법 공격에 대해 %s%%만큼 피해가 증가한다
zts162e	등급 (+%s)이하의 마법 공격에 대해 %s%%만큼 피해가 감소한다
zts163e	속성저항변경
zts164e	모든저항변경
zts165e	불저항변경
zts166e	물저항변경
zts167e	빛저항변경
zts168e	어둠저항변경
zts169e	모든 기운에 대한 저항이 %s 증가한다
zts170e	모든 기운에 대한 저항이 %s 감소한다.
zts171e	불기운에 대한 저항이 %s 증가한다.
zts172e	불기운에 대한 저항이 %s 감소한다.
zts173e	물기운에 대한 저항이 %s 증가한다.
zts174e	물기운에 대한 저항이 %s 감소한다.
zts175e	빛기운에 대한 저항이 %s 증가한다.
zts176e	빛기운에 대한 저항이 %s 감소한다.
zts177e	어둠기운에 대한 저항이 %s 증가한다.
zts178e	어둠기운에 대한 저항이 %s 감소한다.
zts179e	상대방의 저항변경
zts180e	상대모든저항변경
zts181e	상대불저항변경
zts182e	상대물저항변경
zts183e	상대빛저항변경
zts184e	상대어둠저항변경
zts185e	공격시 상대의 모든저항을 %s증가시킨다.
zts186e	공격시 상대의 모든저항을 %s감소시킨다.
zts187e	공격시 상대의 불저항을 %s증가시킨다.
zts188e	공격시 상대의 불저항을 %s감소시킨다.
zts189e	공격시 상대의 물저항을 %s증가시킨다.
zts190e	공격시 상대의 물저항을 %s감소시킨다.
zts191e	공격시 상대의 빛저항을 %s증가시킨다.
zts192e	공격시 상대의 빛저항을 %s감소시킨다.
zts193e	공격시 상대의 어둠저항을 %s증가시킨다.
zts194e	공격시 상대의 어둠저항을 %s감소시킨다.
zts195e	피해변경
zts196e	모든피해변경
zts197e	근접피해변경
zts198e	원거리피해변경
zts199e	마법피해변경
zts200e	모든 공격의 피해가 %s%%만큼 증가한다.
zts201e	모든 공격의 피해가 %s%%만큼 감소한다.
zts202e	근접 공격의 피해가 %s%%만큼 증가한다.
zts203e	근접 공격의 피해가 %s%%만큼 감소한다.
zts204e	원거리 공격의 피해가 %s%%만큼 증가한다.
zts205e	원거리 공격의 피해가 %s%%만큼 감소한다.
zts206e	마법 공격의 피해가 %s%%만큼 증가한다.
zts207e	마법 공격의 피해가 %s%%만큼 감소한다.
zts208e	무조건명중회피및 원거리
zts209e	무조건 명중퍼센트 변경
zts210e	무조건 회피퍼센트 변경
zts211e	원거리 패널티 없음
zts212e	거리가 멀수록 데미지증가
zts213e	항상 %s%% 확률로 명중한다
zts214e	항상 %s%% 확률로 회피한다
zts215e	원거리 공격시 가까운 거리에 대한 패널티가 없다
zts216e	원거리공격시 적과 거리가 멀수록 점점 공격력이 강해진다 (거리 3이상)
zts217e	사기변경
zts218e	사기값변경
zts219e	사기값2배적용
zts220e	사기영향없음
zts221e	쿨타임 변경
zts222e	사기무시
zts223e	사기값이 %s 증가한다.
zts224e	사기값이 %s 감소한다.
zts225e	사기값이 두배로 증가한다.
zts226e	사기값이 절반으로 감소한다.
zts227e	사기값에 아무런 영향을 받지 않는다
zts228e	스킬 재사용시간이 %s%% 증가한다
zts229e	스킬 재사용시간이 %s%% 감소한다
zts230e	공격시 상대방의 사기를 무시한다
zts231e	시전관련
zts232e	시전시간변경
zts233e	마나소비변경
zts234e	공격속도변경
zts235e	시전실패
zts236e	시전불가
zts237e	시전시간이 %s%% 만큼 증가한다.
zts238e	시전시간이 %s%% 만큼 감소한다.
zts239e	스킬 사용에 필요한 마나량이 %s%%만큼 증가한다.(마법포함)
zts240e	스킬 사용에 필요한 마나량이 %s%%만큼 감소한다.(마법포함)
zts241e	공격속도가 %s%%만큼 증가한다.
zts242e	공격속도가 %s%%만큼 감소한다.
zts243e	스킬 시전중 실패를 한다.(마법포함)
zts244e	시전이 불가능하다(마법포함)
zts245e	이동관련
zts246e	이동불가
zts247e	이동속도변경
zts248e	이동속도 수치변경
zts249e	이동속도 증감
zts250e	이동이 불가능하다.
zts251e	이동속도가 %s%% 증가한다.
zts252e	이동속도가 %s%% 감소한다.
zts253e	이동속도가 %s이된다.
zts254e	이동속도가 %s증가한다.
zts255e	이동속도가 %s감소한다.
zts256e	반사효과들
zts257e	입힌피해%만큼HP변경
zts258e	입힌피해%만큼MP변경
zts259e	받은피해%만큼HP변경
zts260e	받은피해%만큼MP변경
zts261e	적에게 입힌 피해의 %s%%만큼 HP가 증가한다
zts262e	적에게 입힌 피해의 %s%%만큼 HP가 감소한다
zts263e	적에게 입힌 피해의 %s%%만큼 MP가 증가한다
zts264e	적에게 입힌 피해의 %s%%만큼 MP가 감소한다
zts265e	자신이 받은 피해의 %s%%만큼 상대의 HP가 증가한다
zts266e	자신이 받은 피해의 %s%%만큼 상대의 HP가 감소한다
zts267e	자신이 받은 피해의 %s%%만큼 상대의 MP가 증가한다
zts268e	자신이 받은 피해의 %s%%만큼 상대의 MP가 감소한다
zts269e	드레인과스틸
zts270e	MP를 HP로변경
zts271e	HP를 MP로변경
zts272e	HP스틸
zts273e	MP스틸
zts274e	HP스틸MP드레인
zts275e	%s의 MP를 소모해 %s의 HP를 얻는다
zts276e	%s의 HP를 소모해 %s의 MP를 얻는다
zts277e	%s%%확률로 상대에게서 %s의 HP를 전달해 준다
zts278e	%s%%확률로 상대에게서 %s의 HP를 빼앗아 온다
zts279e	%s%%확률로 상대에게서 %s의 MP를 전달해 준다
zts280e	%s%%확률로 상대에게서 %s의 MP를 빼앗아 온다
zts281e	상대의 MP를 %s 소모시켜 상대에게 HP로 전달해준다
zts282e	상대의 HP를 %s 빼앗아 자신의 MP로 바꾼다
zts283e	힐링/태우기와시전관련
zts284e	HP힐링/태우기
zts285e	MP힐링/태우기
zts286e	시전시HP변경
zts287e	집중방해시HP변경
zts288e	시전시MP사용만큼HP변경
zts289e	HP를 %s 만큼 회복시킨다
zts290e	HP를 %s 만큼 소멸시킨다
zts291e	MP를 %s 만큼 회복시킨다
zts292e	MP를 %s 만큼 소멸시킨다
zts293e	시전시 HP가 %s 만큼 회복된다
zts294e	시전시 HP가 %s 만큼 소멸된다
zts295e	마법시전시 방해를 받으면 HP가 %s 만큼 회복된다
zts296e	마법시전시 방해를 받으면 HP가 %s 만큼 소멸된다
zts297e	시전시 MP사용량의 %s%% 만큼 HP가 회복된다
zts298e	시전시 MP사용량의 %s%% 만큼 HP가 소멸된다
zts299e	HP/MP변경
zts300e	남은HP변경
zts301e	남은MP변경
zts302e	타임HP변경
zts303e	타임MP변경
zts304e	확장HPMP추가
zts305e	감소된 HP의 %s%%를 회복시킨다
zts306e	남은 HP의 %s%%를 소멸시킨다
zts307e	감소된 MP의 %s%%를 회복시킨다
zts308e	남은 MP의 %s%%를 소멸시킨다
zts309e	%s만큼 HP가 회복된다
zts310e	%s만큼 HP가 감소한다
zts311e	%s만큼 MP가 회복된다
zts312e	%s만큼 MP가 감소한다
zts313e	%s의 확장HP추가(최대HP의 %s%%를 넘지못함)
zts314e	%s의 확장MP추가(최대MP의 %s%%를 넘지못함)
zts315e	특화처리
zts316e	특화데미지
zts317e	특화치명타확률
zts318e	%s에 대해서 %s의 추가 피해를 입힌다
zts319e	%s 공격시 %s만큼 데미지가 감소된다
zts320e	%s에 대해서 %s만큼 치명타 확률이 상승한다
zts321e	%s 공격시 %s만큼 치명타 확률이 감소한다
zts322e	버프관련
zts323e	버프적용해제
zts324e	특정버프그룹 면역
zts325e	주위의 몇랩이하에 버프전달
zts326e	특수 면역
zts327e	특정 그룹 해제
zts328e	%s%%확률로 [%s]를 발생시킨다
zts329e	%s%%확률로 [%s]를 제거시킨다
zts330e	특정한 효과에 높은 확률로 걸리지 않는다
zts331e	주위의 %s레벨 이상의 대상에게 [%s]를 발생시킨다
zts332e	주위의 %s레벨 이하의 대상에게 [%s]를 발생시킨다
zts333e	특수한 효과에 저항력이 생긴다
zts334e	특정한 그룹의 효과들을 해제시킨다
zts335e	특정한 계열의 효과들을 해제시킨다
zts336e	소환관련
zts337e	사망시소환
zts338e	몬스터소환
zts339e	더미소환
zts340e	시간제적소환
zts341e	허상소환
zts342e	사망시 %s 마리의 [%s] 소환
zts343e	사망시 %s%% 확률로 [%s] 소환
zts344e	%s 마리의 [%s] 소환
zts345e	%s%% 확률로 [%s] 소환
zts346e	%s 마리의 [%s] 소환 (수련용 더미)
zts347e	%s%% 확률로 [%s] 소환 (수련용 더미)
zts348e	%s 마리의 [%s] 소환 (일정시간후 사라짐)
zts349e	%s%% 확률로 [%s] 소환 (일정시간후 사라짐)
zts350e	%s 마리의 %sMP를 가진 허상을 소환한다
zts351e	%s%% 확률로 %sMP를 가진 허상을 소환한다
zts352e	특수한 효과
zts353e	단발마
zts354e	비선공변경
zts355e	주정부리기
zts356e	PvP모드
zts357e	잔상남기기
zts358e	자신을 죽인 상대의 HP를 %s%% 감소시킨다
zts359e	자신을 죽인 상대의 HP를 %s%% 증가시킨다
zts360e	%s%% 확률로 선공으로 바뀐다
zts361e	%s%% 확률로 비선공으로 바뀐다
zts362e	이상한 말을 내뱉는다
zts363e	같은 PvP모드인 사람들과 대결을 할 수 있다
zts364e	몸이 여러 개로 보인다
zts365e	포획관련
zts366e	동물 포획하기
zts367e	자신의 레벨보다 낮은 하급 동물을 포획한다
zts368e	속성특수데미지와 폭발
zts369e	화염 폭발
zts370e	주위 폭발
zts371e	주위 공격
zts372e	%s%% 확률로 폭발이 일어나 %s의 피해를 입힌다
zts373e	폭발이 일어나 주위 %s칸이내에 %s의 피해를 입힌다
zts374e	%s%%확률로 주위 %s에 피해를 입힌다
zts375e	특수한 효과2
zts376e	타운트
zts377e	순간이동
zts378e	주무기 버프 씌우기
zts379e	보조무기 버프 씌우기
zts380e	동료로 오인
zts381e	상대방이 자신을 주목하도록 만듭니다
zts382e	상대방에게 자신을 관심에서 벗어나도록 만듭니다
zts383e	%s의 거리를 순간이동한다
zts384e	주무기 사용시 %s%%확률로 %s를 발생시킨다
zts385e	보조무기 사용시 %s%%확률로 %s를 발생시킨다
zts386e	동족의식이 있는 특정 몬스터들이 동료로 오해한다
zts387e	등급계산 관련
zts388e	공격등급없음
zts389e	방어등급없음
zts390e	공격등급이 0으로 계산된다
zts391e	방어등급이 0으로 계산된다
zts392e	회복관련
zts393e	HP회복량 변경
zts394e	MP회복량 변경
zts395e	HP회복량이 %s 증가한다
zts396e	HP회복량이 %s 감소한다
zts397e	MP회복량이 %s 증가한다
zts398e	MP회복량이 %s 감소한다
zts399e	최대HPMP
zts400e	최대HP변경
zts401e	최대MP변경
zts402e	최대HP가 %s 증가한다
zts403e	최대HP가 %s 감소한다
zts404e	최대MP가 %s 증가한다
zts405e	최대MP가 %s 감소한다
zts406e	공격력배수증강
zts407e	모든공격 몇배증가
zts408e	근접공격몇배증가
zts409e	원거리공격몇배증가
zts410e	마법공격몇배증가
zts411e	모든공격력이 %s배 증가한다
zts412e	모든공격력이 %s배 감소한다
zts413e	근접공격력이 %s배 증가한다
zts414e	근접공격력이 %s배 감소한다
zts415e	원거리공격력이 %s배 증가한다
zts416e	원거리공격력이 %s배 감소한다
zts417e	마법공격력이 %s배 증가한다
zts418e	마법공격력이 %s배 감소한다
zts419e	방어력배수증강
zts420e	모든방어 몇배증가
zts421e	근접방어몇배증가
zts422e	원거리방어몇배증가
zts423e	마법방어몇배증가
zts424e	모든방어력이 %s배 증가한다
zts425e	모든방어력이 %s배 감소한다
zts426e	근접방어력이 %s배 증가한다
zts427e	근접방어력이 %s배 감소한다
zts428e	원거리방어력이 %s배 증가한다
zts429e	원거리방어력이 %s배 감소한다
zts430e	마법방어력이 %s배 증가한다
zts431e	마법방어력이 %s배 감소한다
zts432e	타임서클용 갖가지
zts433e	기운모으기
zts434e	HP가 안닳음
zts435e	MP가 안닳음
zts436e	모든 버프가 해제된다
zts437e	아이템을 사용하지 못한다
zts438e	%s만큼의 기운을 모았다가 다음 공격에 사용한다
zts439e	HP가 소모되지 않는다
zts440e	HP가 회복되지 않는다
zts441e	MP가 소모되지 않는다
zts442e	MP가 회복되지 않는다
zts443e	모든 버프를 해제시킨다
zts444e	아이템을 사용하지 못한다.
zts446e	%HP회복
zts447e	%MP회복
zts448e	전체 HP의 %s%%만큼 회복된다
zts449e	전체 HP의 %s%%만큼 감소한다
zts450e	전체 MP의 %s%%만큼 회복된다
zts451e	전체 MP의 %s%%만큼 감소한다
zts452e	카운트 동작
zts453e	카운트후 다른몬스터 불러냄
zts454e	MP가 모두 소모되면 %s 마리의 [%s] 소환
zts455e	MP가 모두 소모되면 %s%% 확률로 [%s] 소환
zts456e	안죽이기피해안주기등
zts457e	안죽고안죽임
zts458e	피해안입고안줌
zts459e	공격력을기운흡수
zts460e	HP는 감소하지만 죽지는 않는다
zts461e	HP는 감소시키지만 죽이지는 않는다
zts462e	아무런 피해를 입지 않는다
zts463e	아무런 피해를 입히지 않는다
zts464e	상대방의 공격을 자신의 기운으로 바꾼다
zts465e	특수 행동
zts466e	밀기
zts467e	땡겨오기
zts468e	돌진
zts469e	도주
zts470e	은신
zts471e	상대방을 %s칸 뒤로 민다
zts472e	상대방을 자기 %s칸 앞으로 끌고온다
zts473e	%s칸 거리이내의 상대를 향해 돌진한다
zts474e	시전자로부터 멀리 도망간다
zts475e	몸을 숨겨 은밀히 이동한다
zts476e	은신한 대상을 볼수 있다
zts477e	모드 변경관련
zts478e	사정거리변경
zts479e	공격시 효과만 부여
zts480e	공격속도 변경
zts481e	모드변경
zts482e	다른몬스터 자극
zts483e	사정거리가 %s로 변경된다
zts484e	사정거리가 원래대로 돌아온다
zts485e	효과만 적용되고 피해는 주지않는다
zts486e	직접적으로 피해를 입힌다
zts487e	재공격시간이 %s 증가한다
zts488e	재공격시간이 %s 감소한다
zts489e	%s%%의 확률로 모드가 변한다
zts490e	%s%%의 확률로 주위의 [%s]를 자극한다
zts491e	속성값 없음
zts492e	모든속성값없음
zts493e	불속성값없음
zts494e	물속성값없음
zts495e	빛속성값없음
zts496e	어둠속성값없음
zts497e	모든속성 기운이 적용되지 않는다.
zts498e	모든속성 저항이 적용되지 않는다.
zts499e	불속성 기운이 적용되지 않는다.
zts500e	불속성 저항이 적용되지 않는다.
zts501e	물속성 기운이 적용되지 않는다.
zts502e	물속성 저항이 적용되지 않는다.
zts503e	빛속성 기운이 적용되지 않는다.
zts504e	빛속성 저항이 적용되지 않는다.
zts505e	어둠속성 기운이 적용되지 않는다.
zts506e	어둠속성 저항이 적용되지 않는다.
zts507e	빛과 어둠
zts508e	마나실드
zts509e	큐어
zts510e	턴언데드
zts511e	숨었다공격
zts512e	받은데미지의 %s%%를 MP감소로 대처한다.
zts513e	받은데미지의 %s%%를 흡수해 MP를 증가시킨다.
zts514e	%s 레벨 이하의 나쁜 효과를 모두 없앤다.
zts515e	%s 레벨 이하의 좋은 효과를 모두 없앤다.
zts516e	자신의 레벨보다 낮은 언데드를 소멸시키거나 피해를 준다.
zts517e	자신의 레벨보다 낮은 언데드를 회복시킨다.
zts518e	은신중 공격을 가하면 %s의 추가 피해를 입힌다.
zts519e	은신중인 상대를 공격시 %s의 추가 피해를 입힌다.
zts520e	아이템관련
zts521e	경험치증가
zts522e	공격력증가
zts523e	아이템드롭
zts524e	경험치 획득량이 %s%% 증가한다.
zts525e	모든 공격력이 %s%% 증가한다.
zts526e	%s회동안 공격을 받을때마다 아이템을 떨어뜨린다.
zts527e	디버프 저항
zts528e	상태이상저항
zts529e	일반상태저항
zts530e	마법이상저항
zts531e	독저항
zts532e	질병이상저항
zts533e	%s레벨이하 모든나쁜효과에 걸릴확률이 %s%%만큼 증가한다
zts534e	%s레벨이하 모든나쁜효과에 %s%%확률로 걸리지 않는다
zts535e	%s레벨이하 나쁜일반효과에 걸릴확률이 %s%%만큼 증가한다
zts536e	%s레벨이하 나쁜일반효과에 %s%%확률로 걸리지 않는다
zts537e	%s레벨이하 나쁜마법효과에 걸릴확률이 %s%%만큼 증가한다
zts538e	%s레벨이하 나쁜마법효과에 %s%%확률로 걸리지 않는다
zts539e	%s레벨이하 나쁜독에 걸릴확률이 %s%%만큼 증가한다
zts540e	%s레벨이하 나쁜독에 %s%%확률로 걸리지 않는다
zts541e	%s레벨이하 나쁜질병에 걸릴확률이 %s%%만큼 증가한다
zts542e	%s레벨이하 나쁜질병에 %s%%확률로 걸리지 않는다
zts543e	특수 행동3
zts544e	무작위텔레포트
zts545e	주위 영역 자극하기
zts546e	주위에 전염
zts547e	맵상의 아무곳으로 순간이동한다.
zts548e	%s 거리내의 모든 대상을 자극한다.
zts549e	%s 거리내의 아군들에게 [%s]를 퍼트린다
zts550e	%s 거리내의 적군들에게 [%s]를 퍼트린다
zts551e	퀘스트관련
zts552e	퀘스트비홀더
zts553e	정해진 룰에 따라서 몬스터를 소환해 준다.
zts554e	퍼센트회복및데미지
zts555e	퍼센트데미지
zts556e	상대의 HP를 %s%% 감소시킨다
zts557e	피해를 입으면 HP가 %s%% 감소된다
zts558e	주위 변신시키기
zts559e	[%s]를 [%s]로 변신시킨다.
zts560e	유료아이템
zts561e	스크롤의 능력이 부여됨
zts562e	골드획득증가
zts563e	골드 획득량이 %s%% 증가한다.
zts564e	최대HP%변경(버프만사용)
zts565e	최대MP%변경(버프만사용)
zts566e	최대HP가 %s%% 증가한다
zts567e	최대HP가 %s%% 감소한다
zts568e	최대MP가 %s%% 증가한다
zts569e	최대MP가 %s%% 감소한다
zts570e	모든 방어력이 %s%% 증가한다.
zts571e	2차스페셜리스트
zts572e	폭탄설치
zts573e	폭탄폭발
zts574e	공격시 폭파되는 물체를 설치한다.
zts575e	주위를 파괴한다.
zts576e	원격으로 폭발시킬수 있는 폭탄을 설치한다.
zts577e	적을 찾아 자폭하는 폭탄을 설치한다.
zts578e	홀리브레스
zts579e	공격자에게 버프걸기
zts580e	빛속성이 아닌 적들의 능력을 하락시킨다.
zts581e	공격한 상대에게 %s%%확률로 [%s]를 발생시킨다
zts582e	스페셜리스트강화
zts583e	카드하급보호스크롤
zts584e	카드상급보호스크롤
zts585e	하급보호스크롤의 능력이 부여됨
zts586e	상급보호스크롤의 능력이 부여됨
zts587e	거대눈사람
zts588e	버럭1
zts589e	버럭2
zts590e	눈보라가 친다.서있는 모든 유저에게 99%데미지
zts591e	눈진동이 일어난다.누워있는 모든 유저에게 99%데미지
zts592e	드레인
zts593e	드레인타게팅
zts594e	HP드레인
zts595e	상대방에게 드레인 저주를 건다
zts596e	상대방의 HP가 %s만큼 감소하고, 시전자의 HP가 그만큼 증가한다
zts597e	보스몹 스킬
zts598e	로드 모르코스
zts599e	%s셀 이상 떨어져 있는 유저에게 %s%%의 데미지
zts600e	반사와 MP확률소멸
zts601e	일정확률로 남은MP소멸
zts602e	이부분은 사용하지 않는다.
zts603e	%s%%확률로 남은 MP의 %s%%를 소멸시킨다
zts604e	특화처리와버프저항
zts605e	버프저항
zts606e	PVP특화
zts607e	특정레벨이하 버프 삭제
zts608e	다음효과에 %s%%의 저항력이 생긴다 : [%s]및 이하레벨
zts609e	PvP시 %s만큼 추가 피해를 입힌다
zts610e	PvP시 %s만큼 데미지가 감소된다
zts611e	%s%%확률로 %s레벨이하의 나쁜효과를 소멸시킨다
zts612e	폭발이 일어나 주위 %s칸이내에 %s%%의 피해를 입힌다
zts613e	로드 하투스
zts614e	용머리 공격
zts615e	특정 위치에 있는 유저에게 %s%%의 데미지
zts616e	로드 캘비나스
zts617e	뱀 소환 공격
zts618e	스페셜리스트SE
zts619e	쉴드의에너지
zts620e	버프의아우라화
zts621e	아우라발동
zts622e	라이프앤 데스
zts623e	버프번호와 데미지(1000분의1) 값을 입력하시오
zts624e	버프번호를 입력하시오
zts625e	아우라를 발동시켜 주변에 영향을 준다
zts626e	아무것도 입력하지 않아도 됨
zts627e	남은 HP가 적을수록 더 강한 효과를 얻는다
zts628e	프로즌4차레이드
zts629e	프로즌4차 스킬
zts630e	주위 %s칸이내의 적군에게 %s%%의 강력한 광역 피해를 입힌다
zts631e	주위 %s칸이내의 적군에게 %s%%의 매우 강력한 광역 피해를 입힌다
zts632e	소환몬스터공격
zts633e	소환몹없애기
zts634e	[%s] 몬스터에게 %s%%의 강력한 피해를 입힌다
zts635e	최대HP변경(SE스킬용)
zts636e	최대HP변경(베어스피릿)
zts637e	최대HP변경(프레이오브디펜스)
zts638e	최대HP가 %s%% 증가한다. 단, 최대 HP증가치가 5천을 넘지 않는다.
zts639e	최대HP가 %s%% 감소한다. 단, 최대 HP감소치가 5천을 넘지 않는다.
zts640e	최대HP가 %s%% 증가한다. 단, 최대 HP증가치가 4천을 넘지 않는다.
zts641e	최대HP가 %s%% 감소한다. 단, 최대 HP감소치가 4천을 넘지 않는다.
zts642e	%s%%확률로 물리 공격을 회피한다
zts643e	소환관련2
zts644e	랜덤소환(소량)
zts645e	랜덤소환(대량)
zts646e	%s%% 확률로 [%s] 소량 소환
zts647e	%s%% 확률로 [%s] 소량 소환 (일정시간후 사라짐)
zts648e	%s%% 확률로 [%s] 대량 소환
