zts1e	새끼 붉은여우
zts316e	꼬닭
zts317e	꼬꼬닭
zts318e	프린세스 페트리시아
zts319e	부상당한 병사
zts320e	수비대장
zts321e	수상한 친위대
zts322e	친위대장
zts323e	슈퍼꼬닭
zts324e	어둠의 주술사
zts325e	저주받은 라달
zts326e	허브티
zts327e	???
zts328e	꺼져가는 망령들
zts329e	로이
zts330e	하얀모자
zts331e	샤이링
zts332e	로베르토
zts333e	철퇴
zts334e	낙석
zts335e	새끼거미
zts336e	죽은 코볼트
zts337e	검은운석
zts338e	양피지
zts339e	위치 이동석
zts340e	연구소퀘스트 비홀더
zts341e	토리 트레이너
zts342e	내땅 푯말
zts343e	내땅 푯말2
zts344e	시공의 돌
zts345e	꼬마요정 힌트
zts346e	노란 영혼석
zts347e	붉은 영혼석
zts348e	푸른 영혼석
zts349e	수수께끼의 영혼석
zts350e	기절만드라
zts351e	버프해제 만드라
zts352e	두들겨패기용
zts353e	두들겨패기용(불)
zts354e	두들겨패기용(물)
zts355e	두들겨패기용(빛)
zts356e	두들겨패기용(어둠)
zts357e	지하마수
zts358e	연습용 나무토막
zts360e	붉은 진흙골렘
zts361e	흡혈 거머리
zts362e	푸른 두더지
zts363e	수비대 청년 샘
zts364e	수비대 아저씨 짐
zts365e	관리인 머독
zts366e	관리인 크리스포
zts368e	창고지기 제리코
zts369e	수비대 사령관 레이먼드
zts370e	친위대 장교 베이먼
zts371e	친위대장 로만손
zts372e	첩보대원
zts373e	수근거리는 코볼트
zts374e	데구리
zts375e	킹데구리
zts376e	희번덕 안구괴물
zts377e	마법걸린검
zts378e	마법걸린활
zts379e	마법걸린철퇴
zts380e	찢어진 로브
zts381e	빛의 벌레
zts382e	어둠의 벌레
zts383e	물의 벌레
zts384e	불의 벌레
zts385e	변질된 나무정령
zts386e	오염된 나무정령
zts387e	슬픔의 나무정령
zts388e	분노의 나무정령
zts389e	속박된 영혼
zts390e	지옥개
zts391e	데몬 하수인
zts392e	친위대원 핀토
zts393e	향기로운 풀
zts394e	우물가
zts395e	붉은빛 석판
zts396e	나무뿌리 통로
zts397e	난장이 나무
zts398e	입벌리고 있는 동상
zts399e	부적이 놓인 받침대
zts400e	사악한 서클
zts401e	붉은 나무
zts402e	성스러운 제단
zts403e	마법진에 감싸인 나뭇가지
zts404e	킁킁이 벌레집
zts405e	관문용 목각인형A
zts406e	관문용 목각인형B
zts407e	관문용 목각인형C
zts408e	통나무
zts409e	20레벨 퀘스트비홀더
zts410e	21-1레벨비홀더
zts411e	21-2레벨 비홀더
zts412e	21-3레벨 비홀더
zts413e	21-4레벨 비홀더
zts414e	21-5레벨 비홀더
zts415e	21-6레벨 비홀더
zts416e	22-1레벨 비홀더
zts417e	22-2레벨 비홀더
zts418e	22-3레벨 비홀더
zts419e	밀
zts420e	철광석
zts421e	25-1레벨 비홀더
zts422e	25-2레벨 비홀더
zts423e	25-3레벨 비홀더
zts424e	25-4레벨 비홀더
zts425e	25-5레벨 비홀더
zts426e	25-6레벨 비홀더
zts427e	25-7레벨 비홀더
zts428e	25-8레벨 비홀더
zts429e	25-9레벨 비홀더
zts430e	25-10레벨 비홀더
zts431e	수상한 흔적
zts432e	대장 라모스
zts434e	알삥이
zts438e	쌈닭
zts439e	킹꼬닭
zts440e	첫번째 우물가
zts441e	두번째 우물가
zts442e	삥이알
zts443e	황금삥이알
zts444e	세번째 우물가
zts445e	네번째 우물가
zts446e	정예대원
zts447e	첫삥-이
zts448e	둘삥-이
zts449e	삼삥-이
zts450e	심연의 눈
zts451e	속박된 영혼 비홀더
zts452e	찢어진로브 비홀더
zts453e	현상수배 표지판
zts454e	우르코아렌
zts455e	휘리리콜린
zts456e	산드라 브레이크
zts457e	알렉스 리프
zts458e	검은지렁이
zts459e	컴컴한 괴물
zts460e	거대한 땅강아지
zts461e	안개거인
zts462e	코볼트 전사의 영혼
zts463e	코볼트 궁사의 영혼
zts464e	천랑
zts465e	켄코의 첩자
zts466e	집게고문관
zts467e	바퀴고문관
zts468e	채찍고문관
zts469e	요녀
zts470e	정강이뼈를 문 석상
zts471e	무너진 초소
zts472e	촉촉한 땅
zts473e	울퉁불퉁 땅
zts474e	반짝이는 바위
zts475e	땅에 떨어진 빗자루
zts476e	수상한 벽화
zts477e	절규하는 석상
zts478e	소인
zts479e	검 소인
zts480e	술취한 소인
zts481e	닌자
zts482e	노노마루
zts483e	원령
zts484e	나마주
zts485e	소환된 소인
zts486e	소환 자자마루
zts487e	사쿠라히메
zts488e	작은나마주
zts489e	난폭해진 씨드풀
zts490e	난폭해진 댄더피프
zts491e	난폭해진 꼬닭
zts492e	코볼트 인부
zts493e	자자마루
zts494e	운석파편
zts495e	큰비석
zts496e	작은비석
zts497e	자자마루 트랩
zts498e	대나무다발공격
zts499e	인두고문관
zts500e	나마주분신
zts501e	메이플위습
zts502e	자자마루 항아리
zts503e	5점 거점
zts504e	2점 거점
zts505e	1점 거점
zts506e	저주받은 천랑
zts507e	저주받은 안개거인
zts508e	저주받은 요녀
zts509e	장미나무 기사단원
zts510e	강력한 도도 화이트위치
zts511e	정강이뼈 석상
zts512e	산사나무
zts513e	스코어보드
zts514e	붉은바위
zts515e	부서진 정강이뼈 석상
zts516e	켄코의 첩자1번 비홀더
zts517e	켄코의 첩자2번 비홀더
zts518e	켄코의 첩자3번 비홀더
zts519e	켄코의 첩자4번 비홀더
zts520e	장미나무 기사단원 비홀더
zts521e	본 데빌
zts522e	스컬 호크
zts523e	데스 랜서
zts524e	자이언트 나이트
zts525e	다크 혼
zts526e	새로운npc
zts527e	로우쫑
zts528e	로우쫑 요정
zts529e	거대한 로우쫑
zts530e	파이어 드레이크
zts531e	스컬 드레이크
zts532e	덜익은로우쫑
zts533e	벼
zts534e	죽음의땅 게이트
zts535e	검투사 토리
zts536e	페트리시아
zts537e	샤를롯
zts538e	잭 럼버밀
zts539e	로디 윈드싱어
zts540e	로디시니엘 스튜어드
zts541e	에리 윈드스피어
zts542e	에리키리엘 스쿼드
zts543e	소티 바이스탠더
zts544e	소간티 다크스토커
zts545e	렉트 라트
zts546e	렉트 라이트엘루전
zts547e	천년 묵은 조개
zts548e	트리쿵트리쿵
zts549e	왕거머리
zts550e	진흙골렘
zts551e	바실리스크
zts552e	거대한 유충
zts553e	피버
zts554e	리첸
zts555e	번식한 리첸
zts556e	나무뿌리악령
zts557e	그레이렌더
zts558e	찰거머리
zts559e	엔젤
zts560e	나방비
zts561e	땅강아지1
zts562e	두더지 새끼
zts563e	어미두더지
zts564e	흑마견
zts565e	엔키두
zts566e	유충
zts567e	순수한 야생화
zts568e	정열의 야생화
zts569e	게모양석상
zts570e	우물
zts571e	거대한 붉은꽃
zts572e	크리소스
zts573e	럼버야크
zts574e	츠키야크
zts575e	새끼두더지
zts576e	쏘면터지는폭탄
zts577e	폭탄
zts578e	센티넬
zts579e	땅강아지
zts580e	크레모어
zts581e	파이어 마인
zts582e	스키드 프로즌하트
zts583e	데이지 아카무르
zts584e	세이나 레이야
zts585e	저스틴 다크프레임
zts586e	휘트니 카트린
zts587e	데몬 근위병
zts588e	헬가드
zts589e	펠가드
zts590e	카르토스
zts591e	벤터루케
zts592e	펠리서트
zts593e	아크테리돈 헬듀크
zts594e	에체카루엘 미스틱아론
zts595e	Dr.W
zts596e	고대의 영혼
zts597e	황금 영혼석
zts598e	신성한 우물
zts599e	토리토리(일본)
zts600e	블랙토리(일본)
zts601e	쿠페 카루스티어
zts602e	아크
zts603e	자비니엘 미스틱나이트
zts604e	이즈라엘 미스틱나이트
zts605e	리드와넬 미스틱나이트
zts606e	회색 영혼석
zts607e	무기상인
zts608e	방어구상인
zts609e	생산상인
zts610e	요리사
zts611e	패션디자이너
zts612e	연금술사
zts613e	정원관리사
zts614e	워프타워
zts615e	에어웨이브
zts616e	산타클로스
zts617e	눈의 요정
zts618e	눈사람
zts619e	거대눈사람
zts620e	하마꿍 집사
zts621e	복 쥐
zts622e	대마법사 페어로슈
zts623e	루딘 프로즌하트
zts624e	레이카 커틀라스
zts625e	씰 피난민
zts626e	와러스 피난민
zts627e	캡펜
zts628e	깡펜
zts629e	잭펜
zts630e	노올 정찰병
zts631e	노올 돌격병
zts632e	와러스 헌터
zts633e	예티
zts634e	아이스골렘
zts635e	프로타
zts636e	설희
zts637e	레이스
zts638e	멘티스고어
zts639e	아이스 웜
zts640e	로드 무크라쥬
zts641e	로스 히스란트
zts642e	작은 모닥불
zts643e	큰 모닥불
zts644e	로드 히스란트
zts645e	모칸 워리어
zts646e	모칸 헌터
zts647e	몰다스 워리어
zts648e	몰다스 워락
zts649e	로드 모르코스
zts650e	찐따
zts651e	몬스터 소환 포탈
zts652e	헤밀 아이스더스트
zts653e	아멜리아 벨우드
zts654e	달걀펫
zts655e	조금 수상한 노올정찰병
zts656e	수상한 노올정찰병
zts657e	많이 수상한 노올정찰병
zts658e	확실히 수상한 노올정찰병
zts659e	달걀 요정
zts660e	아놀드 마틴
zts661e	아이작 마틴
zts662e	노엘 로사
zts663e	마가렛 아줌마
zts664e	앨리스 그린
zts665e	필립스 라이언
zts666e	에드워드 알버트
zts667e	어둠의 감시자
zts668e	어둠의 추적자
zts669e	어둠의 포식자
zts670e	어둠의 은둔자
zts671e	로드 하투스
zts672e	새신랑 셀빅
zts673e	셀로인 비기너
zts674e	은퇴한 모건 스미스
zts675e	은퇴한 빌 스미스
zts676e	연구중인 라울
zts677e	방황하는 어중이
zts678e	친위대장 핀토
zts679e	바쁜 에릴카운터
zts680e	한가한 벨로치카
zts681e	사나운 예티
zts682e	강력한 몰다스 워리어
zts683e	강력한 몰다스 워락
zts684e	화이트씰
zts685e	알프레드 시슬리
zts686e	거대 병아리
zts687e	천년 묵은 만드라
zts688e	지옥파수견
zts689e	불사조 쌈닭
zts690e	천년 묵은 감자
zts691e	마왕의 애완견
zts692e	거대한 카일규어
zts693e	위성둥구리
zts694e	나무뿌리마왕
zts695e	근육질 슬라드
zts696e	쉐도우킹
zts697e	슬라드골렘
zts698e	미니카스트라
zts699e	데스나이트
zts700e	살찐 거머리
zts701e	천년 묵은 인삼
zts702e	킹 바실리스크
zts703e	자이언트워리어
zts704e	저주받은 나무
zts705e	킹 크랩
zts706e	순한 예티
zts707e	루카스 프로스트웰
zts708e	수정동굴 파수견
zts709e	수정동굴 문지기
zts710e	수정동굴 제사장
zts711e	수정동굴 수호자
zts712e	로드 베리오스의 환영(궁사)
zts713e	로드 베리오스의 환영(주술사)
zts714e	로드 베리오스의 환영(검사)
zts715e	로드 베리오스
zts716e	바다 사냥꾼
zts717e	바다 수호자
zts718e	바다 구속자
zts719e	바다 추적자
zts720e	로드 켈비나스
zts721e	빙수기
zts722e	천사 진영 거점
zts723e	악마 진영 거점
zts724e	천사 부활의 성소
zts725e	악마 부활의 제단
zts726e	아쿠아토리
zts727e	낙석1
zts728e	낙석2
zts729e	1단계 여우
zts730e	2단계 여우
zts731e	3단계 여우
zts732e	1단계 양
zts733e	2단계 양
zts734e	3단계 양
zts735e	1단계 임프
zts736e	2단계 임프
zts737e	3단계 임프
zts738e	1단계 슬링
zts739e	2단계 슬링
zts740e	3단계 슬링
zts741e	1단계 가시쥐
zts742e	2단계 가시쥐
zts743e	3단계 가시쥐
zts744e	1단계 늑대
zts745e	2단계 늑대
zts746e	3단계 늑대
zts747e	페가수스
zts748e	큐티 레빗
zts749e	거머리
zts750e	거대한 예티
zts751e	렉트루스 라이트엘루전
zts752e	소칸티 다크스토커
zts753e	길들여진 꼬닭
zts754e	강력한 인삼
zts755e	강력한 바실리스크
zts756e	길들여진 백양
zts757e	길들여진 야생양
zts758e	길들여진 큰뿔양
zts759e	길들여진 가시쥐
zts760e	길들여진 독가시쥐
zts761e	길들여진 강철가시쥐
zts762e	길들여진 붉은여우
zts763e	길들여진 갈색여우
zts764e	길들여진 큰귀여우
zts765e	길들여진 핑크슬링
zts766e	길들여진 레드슬링
zts767e	길들여진 블랙슬링
zts768e	길들여진 작은뿔임프
zts769e	길들여진 외뿔임프
zts770e	길들여진 거대뿔임프
zts771e	길들여진 회색늑대
zts772e	길들여진 갈기늑대
zts773e	킹캡펜
zts774e	작은노올
zts775e	대형 아이스웜
zts776e	대형 프로타
zts777e	거대한 엔키두
zts778e	강력한 아이스콧
zts779e	거친 쌈닭
zts780e	만드라 악령
zts781e	파워 블랙볼
zts782e	정예코아렌호위대원
zts783e	정예코아렌궁수대원
zts784e	위험한 켄코 돌격대원
zts785e	스톤핸드리더
zts786e	사나운 카일규어
zts787e	천사 수호자
zts788e	악마 수호자
zts789e	블랙볼 허수아비
zts790e	코볼트 허수아비
zts791e	토리토리 허수아비
zts792e	켄코 허수아비
zts793e	카일규어 허수아비
zts794e	캐트시 허수아비
zts795e	스컬해머맨 허수아비
zts796e	하급 펫 트레이너
zts797e	중급 펫 트레이너
zts798e	상급 펫 트레이너
zts799e	마나의 악령
zts800e	성난 갑주벌레
zts801e	소환된 여왕벌
zts802e	초대형 갑주벌레
zts803e	밍글
zts804e	큰 암흑골렘
zts805e	강철뿔 둥구리
zts806e	전투거미
zts807e	어둠속의 괴물
zts808e	지옥 사냥개
zts809e	무념의 슬라드
zts810e	잔인한 해골망치병
zts811e	잔인한 해골사수병
zts812e	거대한 수호자
zts813e	거인 수호자
zts814e	위협적인 슬라드
zts815e	암흑기사 데론트
zts816e	작은거머리
zts817e	독오른 유충
zts818e	중갑기사 란테스
zts819e	분열된 리첸
zts820e	검은안개 신관
zts821e	거대한 다크스톤핸드
zts822e	킹크랩
zts823e	여왕두더지
zts824e	미스틱나이트
zts825e	미스틱아론
zts826e	고대의 카일규어
zts827e	고대의 쉐도우킹
zts828e	고대의 미니카스트라
zts829e	고대의 나무뿌리마왕
zts830e	거대한 핑크슬링
zts831e	강력한 자이언트나이트
zts832e	강력한 그레이렌더
zts833e	개인용 장작불
zts834e	캠핑용 장작불
zts835e	검사 영혼석
zts836e	궁사 영혼석
zts837e	주술사 영혼석
zts838e	천사얼음공격
zts839e	악마얼음공격
zts840e	트레이닝 영역 말뚝
zts841e	트레이닝 표지판
zts842e	검사 스페셜리스트 수정구
zts843e	궁사 스페셜리스트 수정구
zts844e	주술사 스페셜리스트 수정구
zts845e	거대한 켄코 돌격대원
zts846e	블랙볼 허수아비 지역
zts847e	흉측한 거대루돌프
zts848e	포악한 거대루돌프
zts849e	사악한 눈사람
zts850e	산타토리EX
zts851e	아크 데빌
zts852e	카우토리
zts853e	아이스웜
zts854e	작은 노올 돌격병
zts855e	사나운 프로타
zts856e	작은 노올 정찰병
zts857e	작은 엔키두
zts858e	소환된 잭펜
zts859e	소환된 깡펜
zts860e	설원의 바실리스크
zts861e	설원의 갈기늑대
zts862e	설원의 큰귀여우
zts863e	검객 토리
zts865e	사막여우
zts866e	샤프테일
zts867e	파이어스톰
zts868e	거대산양
zts869e	에어리즈
zts870e	바포메트
zts871e	어빌 스피릿
zts872e	다크 픽시
zts873e	서큐버스
zts874e	윙 슬링
zts875e	플라이 슬링
zts876e	푸딩
zts877e	황금 가시쥐
zts878e	스파이크
zts879e	스팅
zts880e	다이어울프
zts881e	다크울프
zts882e	울버린
zts883e	광포한 레이스
zts884e	성난 설희
zts885e	3번째레이드보스
zts886e	4번째레이드보스
zts887e	5번째레이드보스
zts888e	두들겨패기용(저렙용)
zts889e	사막 모래무지
zts890e	사막 프로타
zts891e	사막 칼날가시
zts892e	사막 모래포식자
zts893e	사막 모래덩굴
zts894e	사막 가시덩굴
zts895e	사막 칼날뿔
zts896e	사막 모래여우
zts897e	사막 샤보텐
zts898e	사막 만토스
zts899e	사막 스콜피온
zts900e	사막 바실리스크
zts901e	성소 무덤지기
zts902e	성소 서고지기
zts903e	성소 구도자
zts904e	성소길잡이
zts905e	부대장 닐
zts906e	부대장 멜키
zts907e	부대장 케루스
zts908e	부대장 가톤
zts909e	닐의도적단 칼잡이
zts910e	닐의도적단 암살자
zts911e	닐의도적단 포수
zts912e	닐의도적단 폭파병
zts913e	닐의도적단 교도관
zts914e	사막도적단 창고지기
zts915e	닐의도적단 열쇠지기
zts916e	닐의도적단 공작원
zts917e	두목 이블라힘
zts918e	부대장 쇼란
zts919e	부대장 쎄이
zts920e	닐의도적단 정찰병
zts921e	사막 폭풍정령
zts922e	사막 모래정령
zts923e	모래거인
zts924e	모래난쟁이
zts925e	고대 유적관리인
zts926e	고대의 모래 원령
zts927e	고대의 모래 검투사
zts928e	고대의 모래 궁사
zts929e	고대의 모래 주술사
zts930e	고대의 유적 문지기
zts931e	불타는 발라고스
zts932e	불타는 발라케드
zts933e	폭염의 군주 발라쿠스
zts934e	불타는 사냥개
zts935e	폭염의 마견 케르토스
zts936e	불타는 거인
zts937e	불타는 사슬
zts938e	불타는 침식자
zts939e	폭염의 거인 카톨볼미론
zts940e	불타는 포식자
zts941e	불타는 날개
zts942e	불타는 피조물
zts943e	폭염의 성조 그랄미디논
zts944e	불타는 칼날
zts945e	불타는 방패
zts946e	불타는 창
zts947e	폭염의 화신 그레니가스
zts948e	대리인 진 하마딘
zts949e	등대지기 칠튼
zts950e	항구지기 톰
zts951e	하마드 아카무르
zts952e	슈밀 헤이즐
zts953e	사제 세리자드
zts954e	대사제 엘라딘
zts955e	사제 베라
zts956e	리아 아카무르
zts957e	시린 헤이즐
zts958e	네피 아카무르
zts959e	대리인 펠튼
zts960e	딘폴 브라운
zts961e	델먼 밀로프
zts962e	아카무르 상단 경비대
zts963e	아카무르 상단 대리인
zts964e	아카무르 상단 상인
zts965e	데저트이글 시티 주민
zts966e	트레져헌터의 영혼
zts967e	트레져헌터 시체
zts968e	사제의 영혼
zts969e	사제 시체
zts970e	도적 시체
zts971e	낙타
zts972e	항구관리인 조수
zts973e	아카무르 상단 포로
zts974e	사막도적단 대리인
zts975e	반역자 빌리
zts976e	미콜 라본즈
zts977e	까마귀 머피
zts978e	칼잡이 벨몬
zts979e	무법지대 민병대
zts980e	말로른 데저트리버
zts981e	벌포틴 실크위버
zts982e	무법지대 주민
zts983e	조사원 서제스
zts984e	수수께끼의 여행자
zts985e	그레니가스의 환영
zts1192e	사라진모래 샤보텐
zts1193e	끝없는모래 여우
zts1194e	사라진모래 여우
zts1195e	포로
zts1196e	닐의 야영지 보초
zts1197e	대리인 무르샤
zts1198e	선인장 과실
zts1199e	닐의 야영지 문서보관함
zts1200e	상단포로 후마드
zts1201e	사제 노라
zts1202e	경비병 푸트란
zts1203e	점술가 누키
zts1204e	조수 쉐인
zts1205e	버려진 아카무르상단 상자
zts1206e	부서진 아카무르상단 상자
zts1207e	약탈된 아카무르상단 상자
zts1208e	깃발 획득 NPC
zts1209e	1처소 획득 NPC
zts1210e	2처소 획득 NPC
zts1211e	3처소 획득 NPC
zts1212e	4처소 획득 NPC
zts1213e	5처소 획득 NPC
zts1214e	6처소 획득 NPC
zts1215e	특정 퀘 받는 NPC
zts1216e	살펴보지 못한 수상한 약병
zts1217e	케루스의 수상한 상자
zts1218e	가톤의 수상한 상자
zts1219e	유물이 담긴 상자:케루스의 야영지
zts1220e	유물이 담긴 상자: 가톤의 야영지
zts1221e	무에타이토리
zts1222e	소환된 바다 사냥꾼
zts1223e	소환된 바다 수호자
zts1224e	광포한 나무좀비
zts1226e	파이어스톰 1차진화
zts1227e	파이어스톰 2차진화
zts1229e	바포메트 1차진화
zts1230e	바포메트 2차진화
zts1232e	서큐버스 1차진화
zts1233e	서큐버스 2차진화
zts1235e	푸딩 1차진화
zts1236e	푸딩 2차진화
zts1238e	스파이크 1차진화
zts1239e	스파이크 2차진화
zts1241e	울버린 1차진화
zts1242e	울버린 2차진화
zts1248e	두들겨패기용(저렙용)
