zts1e	일반효과
zts122e	불의 피해에 더 약해지고 지속적으로 생명력이 감소된다.
zts123e	심한화상
zts124e	심한기절
zts125e	완전히 꼼짝도 못하는 상태로 아이템도 사용할 수 없다.
zts126e	파이어블레싱
zts127e	불의 기운을 추가로 얻고 불저항도 상승한다.
zts128e	방어구약화
zts129e	방어등급이 떨어져 방어능력이 약해진다.
zts130e	방어구분쇄
zts131e	순간적으로 방어능력을 완전히 상실한다.
zts132e	쇼크
zts133e	갑작스런 충격으로 공격을 하지 못한다.
zts134e	아이언스킨
zts135e	공격능력을 떨어뜨리는 대신 방어능력을 극대화 시킨다.
zts136e	사기상승
zts137e	사기가 올라간다.
zts138e	도주
zts139e	멀리 도망간다.
zts140e	호크아이
zts141e	언제나 높은 확률로 공격을 성공시킨다.
zts142e	윈드워커
zts143e	이동속도가 빨라진다.
zts144e	플래시 뱅
zts145e	일정시간동안 공격을 할수 없게 된다.
zts146e	래피드
zts147e	스킬 재사용시간이 짧아진다.
zts148e	화살꽃힘
zts149e	이동속도가 느려지고 시전시간도 늘어난다.
zts150e	공격력 흡수
zts151e	상대방의 공격을 자신의 기운으로 충전한다.
zts152e	샤프엣지
zts153e	자신이 사용하는 무기를 예리하게 한다
zts154e	절단
zts155e	방어력이 절반으로 떨어지고 MP가 감소한다
zts156e	극심한출혈
zts157e	HP감소와 함께 치명타를 때릴수 없게 된다
zts158e	스모그
zts159e	명중률이 저하된다
zts160e	정신독
zts161e	MP사용시 그만큼 피해를 입는다
zts162e	은신
zts163e	적에게 들키지 않는다
zts164e	자극강화독
zts165e	모든 저항이 하락되며 항상 치명타에 맞는다
zts166e	빛의 결계
zts167e	어둠속성만 명중과 HP가 하락한다
zts168e	마나 실드
zts169e	자신이 입는 피해의 일부를 MP로 대처한다
zts170e	홀리웨폰
zts171e	빛기운이 추가되며 어둠저항도 높아진다
zts172e	어둠소멸
zts173e	어둠속성의 경우 어둠기운을 전혀 쓰지 못한다
zts174e	블레싱
zts175e	방어등급 향상과 함께 치명타에 맞지 않는다
zts176e	크리업
zts177e	집중력을 높여 치명타 확률을 높인다
zts178e	스프린트
zts179e	순간적으로 빠른 속도를 낸다
zts180e	달링의 축복
zts181e	마나 소모량이 감소한다
zts182e	경험치 상승
zts183e	일정시간 경험치 획득량이 상승한다
zts184e	공격력 상승
zts185e	일정시간 공격력이 상승한다
zts186e	완전보호
zts187e	일정시간동안 공격을 하지도, 받지도 않는다
zts188e	절망
zts189e	절망에 빠져 됟대로 되라라는 심정으로 싸운다
zts190e	경끼
zts191e	너무 화들짝 놀라서 발작에 가까운 상태가 된다
zts192e	순간기절
zts193e	아주 짧은 순간 잠시 기절한다
zts194e	약점노출
zts195e	약점이 노출되어 항상 치명상에 맞는다
zts196e	마비독
zts197e	몸이 뻣뻣하게 굳어서 움직이지 못한다
zts198e	산화
zts199e	강력한 산에 의해서 무기와 의상이 상한다
zts200e	좀비전염병
zts201e	좀비처럼 느려지면서 지능이 떨어져 알수없는 소리를 낸다. 주위로 전염된다.
zts202e	좀비화면역
zts203e	좀비 전염병에 면역이 된 상태이다.
zts204e	헤븐송
zts205e	노래에 취해 공격의지를 잃어버린다
zts206e	복돼지의 축복
zts207e	경험치가 10% 상승한다
zts208e	신년의 축복
zts209e	공격력과 방어력이 10%씩 상승한다
zts210e	발렌타인의 축복
zts211e	흐느낌
zts212e	참을수 없는 슬픔에 울먹거린다.
zts213e	화이트데이 축복
zts214e	기척없애기
zts215e	보호스크롤 사용
zts216e	강화시 장비가 보호되며 지르기시 장비와 현재 레어등급이 보호된다.
zts217e	안개독
zts218e	짙은 안개에 사로잡혀 움직이지 못한다
zts219e	향기나는 주머니
zts220e	단오 이벤트용. 30%경험치 상승.
zts221e	무지개 수정의 에너지
zts222e	무지개 수정 점령전의 승리로 얻은 힘. SP 포인트가 감소하지 않는다.
zts223e	무지개 수정의 에너지
zts224e	방어력 상승
zts225e	에너지 상승
zts226e	일정시간 최대HP/MP가 상승한다
zts227e	경험치가 20% 상승한다
zts228e	견우 직녀의 축복
zts229e	안셀로안의 축복
zts230e	경험치가 100% 상승한다
zts231e	수호신의 축복
zts232e	노스메이트의 경험치가 50% 상승한다
zts233e	감전
zts234e	전기에 감전이 되어 이동을 전혀 할 수 없는 상황입니다.
zts235e	심한 감전
zts236e	강력한 전기에 감전이 되어 아무런 행동을 할 수 없는 상황입니다.
zts237e	석화
zts238e	몸이 굳어 아무런 행동을 할 수 없는 상황입니다.
zts239e	나방독
zts240e	나방비에 독에 걸려 이동속도가 감소하며, 항상 치명타에 맞는 상황입니다.
zts241e	역병
zts242e	식물들에게 병이 전염되어 큰 피해를 입는다. 좀비화면역으로 예방가능.
zts243e	흡혈
zts244e	일정확률로 상대방의 HP를 흡수하고, 큰 피해를 입힌다.
zts245e	정신지배
zts246e	자신의 정신을 지배당해서 큰 피해를 입는다.
zts247e	달링의 마력
zts248e	생산포인트가 20% 감소한다
zts249e	식물들에게 병이 전염되어 큰 피해를 입는다.
zts250e	페어리 부스터 버프
zts251e	페어리가 추가적으로 30만큼 더 성장한다
zts253e	10분간 이동 속도 및 모든 속성 능력치를 상승시켜 준다
zts254e	오한
zts255e	몸이 얼어 이동속도가 급격히 하락한다.
zts256e	블래싱 오브 워터
zts257e	물의 기운을 추가로 얻고 물저항도 상승한다.
zts258e	동결
zts259e	몸이 얼어붙어 아무런 공격을 하지 못하며 항상 치명타에 맞는다.
zts260e	부스터 온
zts261e	부스터를 작동시켜 순간적으로 아주 빠른 속도로 이동한다.
zts262e	가스독
zts263e	방어력이 하락되며, 2차 증세로 스킬 시전이 불가능해진다.
zts264e	프레이 오브 디펜스
zts265e	방어등급 향상과 주변 동료들의 최대 HP/MP를 증가시킨다.
zts266e	프레이 오브 오펜스
zts267e	공격등급 향상과 사기값을 증가시킨다.
zts268e	트리플차징 1차
zts269e	성스러운 기운을 받아 일정시간동안 공격력이 증가한다.
zts270e	트리플차징 2차
zts271e	트리플차징 3차
zts272e	가스독 2차
zts273e	스킬 시전이 불가능해진다.
zts274e	프로즌실드
zts275e	자신을 보호하며, 공격한 상대에게 일정확률 결빙을 걸리게한다.
zts276e	홀리브레스
zts277e	빛 속성이 아닌 모든 적들의 능력을 하락시킨다.
zts278e	일정시간 방어력이 상승한다
zts279e	상대방에게 받은 피해를 되돌려준다.
zts280e	에어웨이브
zts281e	영혼석의 축복
zts282e	스페셜리스트 변신시 직업경험치 획득량이 50% 상승한다.
zts283e	하급 카드 보호스크롤 사용
zts284e	사용시 0~9 등급까지의 스페셜리스트 카드를 강화 할수 있다.
zts285e	상급 카드 보호스크롤 사용
zts286e	사용시 10~14 등급까지의 스페셜리스트 카드를 강화 할수 있다.
zts287e	버서크
zts288e	사용시 공격력과 이동속도가 증가하며, 방어력이 감소한다.
zts289e	아머브레이크
zts290e	사용시 대상의 방어구를 파괴하여 방어력을 하락시킨다.
zts291e	이글 스피릿
zts292e	독수리의 혼을 자신에게 불어 넣는다.
zts293e	엘리멘탈 샤이닝
zts294e	숲의 기운을 빌어 빛속성의 저항을 높여준다.
zts295e	울프 스피릿
zts296e	달빛 늑대의 혼을 자신에게 불어 넣는다.
zts297e	엘리멘탈 다운
zts298e	숲의 질병과 나쁜효과를 발생시킨다.
zts299e	베어스피릿
zts300e	곰의 혼을 자신에게 불어 넣는다.
zts301e	고스트가드
zts302e	짧은 시간 사신이 나와 거너 몸을 감싸 보호한다.
zts303e	다크포스
zts304e	사신이 자신에게 어둠 속성을 강화해 준다.
zts305e	포제스트
zts306e	사신이 상대방의 정신을 지배한다.
zts307e	포션투이블
zts308e	사신이 상대방의 몸속으로 들어간다.
zts309e	레퀴엠
zts310e	사신이 노래를 불러 적들을 두려움에 떨게한다.
zts311e	라이프앤데쓰
zts312e	공격력과 방어력이 일정시간동안 10% 증가한다.
zts313e	즐거운 설날의 축복
zts314e	일정시간동안 전투 / 직업경험치가 10% 증가한다.
zts315e	자신의 생명력을 대가로 전투력을 크게 상승시킨다.
zts316e	감기
zts317e	지독한 독감에 걸려 몸이 마음대로 움직이지 못한다.
zts318e	페스트
zts319e	현기증이 발생되어 공격을 제대로 피할수가 없다.
zts320e	1주년 기념버프
zts321e	1시간 동안 최대 HP와 MP가 10% 증가한다.
zts322e	부활
zts323e	부활약화에 걸리지 않는다.
zts324e	화이트데이의 축복
zts325e	PVP 무적
zts326e	5초 동안 상대 진영의 공격을 받아도 HP가 감소되지 않는다
zts327e	성스러운 빛의 힘으로 주변의 적의 능력을 하락시킨다.
zts328e	PvP 공격력 강화
zts329e	1시간 동안 프로즌크라운에서 PvP시 공격력이 50% 상승한다
zts330e	PvP 방어력 강화
zts331e	1시간 동안 프로즌크라운에서 PvP시 방어력이 50% 상승한다
zts332e	PvP 저항력 강화
zts333e	1시간 동안 프로즌크라운에서 PvP시 저항력이 20% 상승한다
zts334e	공격을 막고, 공격한 상대를 얼려 버린다.
zts335e	시전자레벨 / %d
zts336e	시전자레벨 * %d
zts337e	레벨/%d
zts338e	레벨*%d
zts339e	자연보호
zts340e	속성저항강화
zts341e	자신의 속성 저항력을 증가시킨다.
zts342e	약한가시독
zts343e	치명적가시독
zts344e	희석된맹독
zts345e	치명적맹독
zts346e	약한신경가스
zts347e	신경가스
zts348e	강한신경가스
zts349e	치명적신경가스
zts350e	약한 감기
zts351e	독한감기
zts352e	치명적감기
zts353e	약한화상
zts354e	극심한화상
zts355e	약한기절
zts356e	극심한기절
zts357e	방어구손상
zts358e	방어구파손
zts359e	무기약화
zts360e	무기손상
zts361e	무기파손
zts362e	무기분쇄
zts363e	약한이동방해
zts364e	이동방해
zts365e	심한이동방해
zts366e	극심한이동방해
zts367e	약한절망
zts368e	심한절망
zts369e	극심한절망
zts370e	약한공포
zts371e	심한공포
zts372e	극심한공포
zts373e	약한두려움
zts374e	두려움
zts375e	심한두려움
zts376e	극심한두려움
zts377e	약한무력화
zts378e	강한무력화
zts379e	강력한무력화
zts380e	약한 저항력약화
zts381e	저항력약화
zts382e	강한저항력약화
zts383e	강력한저항력약화
zts384e	약한 속성공격약화
zts385e	속성공격약화
zts386e	강한속성공격약화
zts387e	강력한속성공격약화
zts388e	약한결빙
zts389e	강한결빙
zts390e	강력한결빙
zts391e	약한석화
zts392e	강한석화
zts393e	강력한석화
zts394e	경직
zts395e	몸이 말을 듣지를 않는다.
zts396e	매직베리어
zts397e	약한 어지러움독
zts398e	강한 어지러움독
zts399e	치명적 어지러움독
zts400e	성스러운 빛의 공격으로 빛의 저항이 낮아진다.
zts401e	공격불가
zts402e	다크 쵸코 스틱
zts403e	30분간 공격력이 10% 상승한다.
zts404e	화이트 쵸코 스틱
zts405e	30분간 방어력이 10% 상승한다.
zts406e	별
zts407e	50분동안 경험치가 10% 상승한다.
zts408e	강한 속성공격약화
zts409e	강력한 속성공격약화
zts410e	카우토리 분노
zts411e	카우토리가 흥분하여, 공격력이 상승된다.
zts412e	방어력강화
zts413e	짧은 시간동안 자신의 방어력이 증가한다.
zts414e	치명타확률 증가
zts415e	짧은 시간동안 자신의 치명타확률이 증가한다.
zts416e	마법공격극대화
zts417e	짧은 시간동안 마법공격력을 극대화한다.
zts418e	어둠의감전
zts419e	자신의 방어력을 상승시켜준다
zts420e	근접방어력이 증가한다.
zts421e	일정시간동안 치명타 시 증가하는 데미지의 량을 증가 시켜준다.
zts422e	프리미엄 메달(10일)
zts423e	기간 동안 프리미엄 혜택이 적용된다
zts424e	프리미엄 메달(30일)
zts425e	프리미엄 메달(1일)
zts426e	패배자의 숨결
zts427e	공격등급, 방어등급이 0으로 계산된다.
zts428e	공격등급, 방어등급이 0으로 계산되며, 이동속도가 2만큼 감소한다.
zts429e	공격등급, 방어등급이 0으로 계산되며, 명중이 20만큼 감소한다.
zts430e	얼음사슬
zts431e	이동속도가 3만큼 감소한다.
zts432e	마나 트랜스퓨젼
zts433e	자신의 방어를 증가시키고, 받은 데미지의 30%를 마나로 소모시킨다.
zts434e	사용시 10분동안 전투/직업 경험치 30%가 증가 효과 버프가 발생한다.
zts435e	우정의 축복
zts436e	친구와 함께 경험치 50%의 혜택이 주어진다. 친구가 접속을 끊으면 버프가 해제된다.
zts437e	친구와 함께 경험치 두배의 혜택이 주어진다. 친구가 접속을 끊으면 버프가 해제된다.
zts438e	프리미엄 메달(3일)
zts439e	켈비나스의 저주
zts440e	켈비나스의 저주. 이동속도가 감소한다.
zts441e	마나소멸
zts442e	상대의 마나를 빼앗는다.
zts443e	치명적 헛점
zts444e	상대에게 치명적인 헛점을 보인상태입니다.
zts445e	전기에 몸이 감전되어 움직일 수가 없는 상태입니다.
zts446e	자신의 생명력을 대가로 전투력을 크게 상승시키다
zts447e	부대장의 저주
zts448e	부대장이 내린 저주. 60초간 공격력과 방어력이 약화되며, 큰 피해를 입는다.
zts449e	폭발충격
zts450e	이동속도가 감소하고, 회피를 하지 못한다.
zts451e	강력한 부대장의 저주
zts452e	부대장이 내린 저주. 120초간 공격력과 방어력이 약화되며, 큰 피해를 입는다.
zts453e	경험치 100%증가. 안셀로안의 버프와 중복 사용이 된다.
zts454e	경험치 50%증가. 안셀로안의 버프와 중복 사용이 된다.
zts455e	경험치 20%증가. 안셀로안의 버프와 중복 사용이 된다.
zts456e	부대장의 분노
zts457e	부대장이 분노한 상태이다.
zts458e	보호의 축복
zts459e	보호의 축복으로 부대장의 방어력이 증가한 상태이다.
zts460e	부대장이 내린 저주. 90초간 공격력과 방어력이 약화되며, 큰 피해를 입는다.
zts461e	2주년 기념버프
zts462e	3200초 동안 최대 HP와 MP가 10% 증가한다.
zts463e	얼음의 파편으로 만들어진 보호막으로 적의 공격을 막아낸다.
zts464e	발렌타인 작은 축복
zts465e	공격력과 방어력이 5%씩 상승한다
zts466e	발렌타인 축복
zts467e	발렌타인 큰 축복
zts468e	공격력과 방어력이 20%씩 상승한다
zts469e	화이트데이 작은 축복
zts470e	화이트데이 큰 축복
zts471e	3주년 기념버프
zts472e	경험치 30%증가. 안셀로안의 축복과 중복 사용이 된다.
zts473e	경험치 10%증가. 안셀로안의 축복과 중복 사용이 된다.
zts474e	경험치 5%증가. 안셀로안의 축복과 중복 사용이 된다.
zts475e	커플 파티
zts476e	전투경험치 획득량 5% 증가
zts477e	환영의 축복
zts478e	공격력 강화. 모든 공격력 +100%
zts479e	환영의 저주
zts480e	공격력 감소. 모든 공격력 -50%
zts481e	파수견의 피어
zts482e	수호자의 함성
zts483e	환영의 격노
zts484e	펌프킨 저주
zts485e	어둠에 피해를 더 입으며 잠시동안 아무런 공격도 하지 못합니다
zts486e	호위대의 저주
zts487e	호위대의 저주로 인해 HP에 타격을 받습니다.
zts488e	공격의 집중을 높여, 적에게 치명적인 데미지를입힌다.
zts489e	일정시간동안 신체 방어 효율을 극대화하며, 치명타 시 증가하는 데미지의 양을 증가시켜준다.
zts490e	집중과 명중률이 저하된다
zts491e	빛의 축복을 받는다.
zts492e	방어등급 향상과 모든 속성의 저항력이 증가된다.
zts493e	집중력을 높여 치명타 확률과 치명타 데미지를 증가시킨다.
zts494e	집중을 향상시켜, 얼음의 파편으로 만들어진 보호막으로 적의 공격을 막아낸다.
zts495e	자신의 방어와 집중을 증가시키고, 받은 데미지의 30%를 마나로 소모시킨다.
zts496e	헬스 팩
zts497e	신체를 강화시켜 방어 효율을 높인다
zts498e	자신의 집중을 높히며, 피해의 일부를 MP로 대처한다
zts499e	노래에 취해 공격의지를 잃어버린다. 하지만 공격당할 경우 정상으로 돌아온다
zts500e	10~50초 사이에 일정 확률로 은신이 유지되며, 적에게 들키지 않는다
zts501e	큰 신년의 축복
zts502e	30분동안 경험치가 10% 상승한다.
zts503e	30분동안 경험치가 30% 상승한다.
zts504e	10분동안 경험치가 50% 상승한다.
zts505e	4주년 기념버프
zts506e	불량 상태
zts507e	펫이 정신적 충격을 받아서 30분 동안 불량 상태가 된다.
zts508e	심한 불량 상태
zts509e	펫이 심한 정신적 충격을 받아서 50분 동안 불량 상태가 된다.
zts510e	거대 삼삥이 돌진
zts511e	잔상을 남기며 돌진한다.
zts512e	라이더 부스터
zts513e	순간적으로 라이더의 성능을 극대화시킨다.
zts514e	무지개 수정 점령전의 승리로 얻은 힘. 프로즌 크라운에서 무지개 수정의 힘을 받는다.
zts515e	총상
zts516e	총상으로인해 매우 위험한 상태이다.
zts517e	술통 방어
zts518e	상대방의 공격으로부터 자신을 보호한다.
zts519e	불타는 검의 열기
zts520e	뜨거운 열기로인해 체력이 지속적으로 소모된다.
zts521e	얼음꽃 기름
zts522e	차가운 얼음꽃 기름의 효과로 열기를 피할 수 있다.
zts523e	케르토스의 축복
zts524e	케르토스의 축복으로 인해 전투력이 상승된다.
zts525e	불태우기
zts526e	근접 공격으로 피해를 입을 경우 매우 위험한 상태이다.
zts527e	거미줄
zts528e	거미줄에 묶여 적으로부터 쉽게 노출된다.
zts529e	시력손상
zts530e	섬광으로 인해 잠시동안 시력이 손상된다.
zts531e	폭염의 방패
zts532e	폭염의 방패로 더욱 견고해진다.
zts533e	태양 폭발
zts534e	태양의 열기로 신체가 붕괴되며 적에게 피해를 입힌다.
zts535e	태양 대폭발
zts536e	태양의 열기로 신체가 붕괴되며 적에게 큰 피해를 입힌다.
zts537e	화염독
zts538e	화염독에 중독되어 HP가 서서히 감소된다.
zts539e	불새의 숨결
zts540e	불새의 숨결로 인해 전의를 상실한다.
zts541e	불타는 낙인
zts542e	불타는 낙인으로 이동과 공격이 불가능 해진다.
zts543e	홍염의 저주
zts544e	홍염의 저주로 불기운에 대한 저항이 감소되고 치명타에 맞을 확률이 증가된다.
zts545e	폭발 여진
zts546e	폭발 여진으로 잠시 동안 기절 상태가된다.
zts547e	급소 베기
zts548e	급소를 베여 공격당할 경우 치명적인 상태가된다.
zts549e	루돌프토리 분노
zts550e	루돌프토리가 흥분하여, 공격력이 상승된다.
zts551e	군단의 함성
zts552e	군단의 힘을 받아 항상 치명타를 때린다.
zts553e	매혹
zts554e	심한 산화
zts555e	강력한 산에 의해서 무기와 방어구가 상한다.
zts556e	매혹에 빠져 아무런 행동을 할 수가 없다.
zts557e	경험치 획득량 증가
zts558e	경험치 획득량이 1시간 동안 증가한다. (스킬 사용 패밀리 20%, 기타 10%) 일부 지역에선 효과가 없다.
zts559e	골드 획득량 증가
zts560e	골드 획득량이 1 시간 동안 증가한다. (스킬 사용 패밀리 20%, 기타 10%) 일부 지역에선 효과가 없다.
zts561e	따스한 기운 효과
zts562e	따스한 기운 효과가 1시간 동안 유지된다.
zts563e	샤우트피어(사용안함)
zts564e	고함 소리로 인하여 전투불능 상태가 되었다.
zts565e	반격기회
zts566e	1회에 한해서 치명적인 반격을 할 수 있다.
zts567e	넉다운
zts568e	기절 상태, 공격을 당할 경우 해제된다. 익스큐션 연계 시, 30% 추가 피해를 받는다.
zts569e	완전 도발상태
zts570e	적의 도발로 인해 이성을 잃는다. 추가적인 피해가 발생된다.
zts571e	매직 리플렉션
zts572e	적의 모든 공격를 반사한다. 일정확률로 모든 나쁜효과도 함께 반사한다. 단, 나쁜효과만 발생되는 공격에는 사용 할 수 없다.
zts573e	도발상태
zts574e	적의 도발로 인해 이성을 잃는다.
zts575e	블러드 파워
zts576e	피의 외침 효과로 공격력 증가와 이동속도가 빨라진다.
zts577e	패배자의 탄식
zts578e	패배의 불길한 예감이 든다. 익스큐션 연계 시, 70% 추가 피해를 받는다.
zts579e	군중의 환호
zts580e	익스큐션 스킬로 적을 처형하여 군중들의 환호속에 사기가 상승된 상태이다.
zts581e	폭약강화
zts582e	폭약을 강화하여 명중과 범위가 증가한다.
zts583e	승리자의 외침
zts584e	승리를 위한 높은 의지를 갖고 전투에 임한다.
zts585e	1차 쇼크 웨이브
zts586e	강력한 번개의 힘으로 감전상태가 된다.
zts587e	마그마 쉴드
zts588e	적의 공격을 흡수하여 마나로 대처한다.
zts589e	유황가스
zts590e	유황에서 뿜어져 나오는 유독가스로 인해 피해를 입는다.
zts591e	볼케닉 파워
zts592e	볼케닉 기술을 극대화 시킨다.
zts593e	마그마 스웜프
zts594e	마그마의 영향으로 전투 능력이 하락된다.
zts595e	용암피해
zts596e	용암 피해의 영향을 받아 낮은 확률로 잠시후에 굳어 버린다.
zts597e	뜨거운 용암피해
zts598e	용암 피해의 영향을 받아 일정 확률로 잠시후에 굳어 버린다.
zts599e	끓어오르는 용암피해
zts600e	용암 피해의 영향을 받아 높은 확률로 잠시후에 굳어 버린다.
zts601e	타오르는 용암피해
zts602e	용암 피해의 영향을 받아 잠시후에 굳어 버린다.
zts603e	용암석화
zts604e	용암이 굳어 아무런 행동을 할 수 없는 상황이다.
zts605e	다리풀림
zts606e	폭발충격으로 인해 다리에 힘이 빠진 상태.
zts607e	강한 폭발충격
zts608e	강력한 폭발충격
zts609e	터보차저
zts610e	캐논을 개조하여 성능을 강화시킨다.
zts611e	무기결함
zts612e	과도한 개조로인해 캐논의 성능이 하락된다.
zts613e	마그마 아머
zts614e	용암으로 자신의 갑옷을 감싸 강력한 방어력을 갖춘다.
zts615e	2차 쇼크 웨이브
zts616e	3차 쇼크 웨이브
zts617e	드래곤 피어
zts618e	위압되어 몸을 움직일 수가 없다.
zts619e	불안정한 착지 충격
zts620e	불안정한 착지로 인해 충격받은 상태.
zts621e	지속되는 충격파
zts622e	불안정한 착지로 인해 충격이 지속되는 상태.
zts623e	기절 상태, 공격을 당할 경우 해제된다. 익스큐션 연계 시, 20% 추가 피해를 받는다.
zts624e	피의 외침 효과로 신체 능력이 강화된다.
zts625e	패배의 불길한 예감이 든다. 익스큐션 연계 시, 40% 추가 피해를 받는다.
zts626e	용암 피해의 영향을 받아 매우 높은 확률로 잠시후에 굳어 버린다.
zts627e	무기방어
zts628e	캐논으로 적의 공격을 막아낸다.
zts629e	지옥불 화상
zts630e	지옥불의 피해에 더 약해지고 지속적으로 생명력이 감소된다.
zts631e	급소 출혈
zts632e	블레싱 오브 아울
zts633e	물속성 기운과 저항이 증가한다.
zts634e	할로윈의 축복
zts635e	경험치가 10% 상승한다.
zts636e	드라큘라 흡혈
zts637e	상대방의 HP를 흡수한다.
zts638e	블레싱 오브 루돌프
zts639e	하급 마물에 대한 피해와 아이템 회복량이 증가한다.
zts640e	소리꽃 축복
zts641e	소리꽃 퀘스트 완료후 받게되는 축복
zts642e	소리꽃 피버
zts643e	루돌프 실드
zts644e	잠시동안 무적의 실드가 발동된다.
zts645e	숭고한 희생
zts646e	동료의 피해를 대신 감수한다.
zts647e	맑은정신 1단계
zts648e	명상을 통해 정신이 맑아진다.
zts649e	맑은정신 2단계
zts650e	맑은정신 3단계
zts651e	내상 1단계
zts652e	내상을 입은 상태.
zts653e	내상 2단계
zts654e	내상 3단계
zts655e	연쇄 관통충격
zts656e	관통으로 인한 충격을 받은 상태
zts657e	기혈손상
zts658e	일정 확률로 나쁜 버프를 막아준다.
zts659e	심한 기혈손상
zts660e	극심한 기혈손상
zts661e	주화입마
