zts1e	최고의 서비스
zts159e	치명타가 터질 확률이 2%만큼 증가한다[n]치명타시 증가하는 데미지의 양이 10%만큼 늘어난다[n]치명타에 맞을 확률이 1%만큼 감소한다[n]
zts160e	너무 깜찍한
zts161e	원숭이모자
zts162e	특정한 효과에 높은 확률로 걸리지 않는다[n]2레벨이하 나쁜일반효과에 10%확률로 걸리지 않는다[n]
zts163e	왠지 쎄보인다!
zts164e	산양뿔 모자
zts165e	최대HP가 200 증가한다[n]최대MP가 200 증가한다[n]
zts166e	향긋함이 묻어나는
zts167e	나팔꽃 모자
zts168e	치명타에 맞을 확률이 2%만큼 감소한다[n]치명타에 맞을때 피해가 20%만큼 감소한다[n]
zts169e	뒤뚱뒤뚱
zts170e	펭귄모자
zts171e	모든 방어력이 15만큼 상승한다.[n]모든 공격력이 15만큼 증가한다[n]
zts172e	연륜이 느껴진다
zts173e	낡은 신사모자
zts174e	마법공격에 대해 8%확률로  4%의 피해가 감소한다.[n]원거리공격에 대해 8%확률로  4%의 피해가 감소한다.[n]
zts175e	최강 깜찍 아이템
zts176e	큰귀 헤어밴드
zts177e	특정한 효과에 높은 확률로 걸리지 않는다[n]사기값이 5 증가한다.[n]
zts178e	자연을 사랑하자?
zts179e	꽃화분 모자
zts180e	상급마물에 대해서 70의 추가 피해를 입힌다[n]상급동물에 대해서 100의 추가 피해를 입힌다[n]
zts181e	나의 펫을 똘똘하게~
zts182e	똑똑한 펫먹이
zts183e	이 먹이를 먹은 펫은 아이템을 집어주는 능력이 생긴다![n]1회만 먹이면 계속 작동하며 고유한 이펙트가 발생한다.[n]사용법은 펫을 클릭한 상태에서 펫먹이를 더블클릭하면 된다.[n][n][기능설명][n]사냥중 드롭되는 아이템을 자동으로 집어 준다.[n](D 모드일때만 가능하며 주인에게 소유권이 있는것만 집는다)[n]펫을 독립적으로 조종할 때에는 바닥에 떨어진 아이템을 직접 집을 수 있다.[n]펫이 집은 아이템은 자동으로 주인의 인벤토리에 들어온다.[n][n][주의사항][n]펫을 보관구슬에 넣는 경우 이 기능은 사라진다.[n]
zts184e	모든 기운에 대한 저항이 1 증가한다[n]모든 속성기운이 10만큼 증가한다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts185e	착용시 만드라고라 비명에서 일정확률로 보호받는다.[n]최대HP가 100 증가한다[n]최대MP가 50 증가한다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts186e	치명타가 터질 확률이 2%만큼 증가한다[n]치명타시 증가하는 데미지의 양이 10%만큼 늘어난다[n]치명타에 맞을 확률이 1%만큼 감소한다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts187e	특정한 효과에 높은 확률로 걸리지 않는다[n]2레벨이하 나쁜일반효과에 10%확률로 걸리지 않는다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts188e	최대HP가 200 증가한다[n]최대MP가 200 증가한다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts189e	치명타에 맞을 확률이 2%만큼 감소한다[n]치명타에 맞을때 피해가 20%만큼 감소한다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts190e	모든 방어력이 15만큼 상승한다.[n]모든 공격력이 15만큼 증가한다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts191e	마법공격에 대해 8%확률로  4%의 피해가 감소한다.[n]원거리공격에 대해 8%확률로  4%의 피해가 감소한다.[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts192e	특정한 효과에 높은 확률로 걸리지 않는다[n]사기값이 5 증가한다.[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts193e	상급마물에 대해서 70의 추가 피해를 입힌다[n]상급동물에 대해서 100의 추가 피해를 입힌다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts194e	물리방어력 4[n]원거리방어력 4[n]마법방어력 4[n]회피 4[n]모든 기운에 대한 저항이 1 증가한다[n]모든 속성기운이 10만큼 증가한다[n]검사, 궁사, 주술사만 착용이 가능하다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts195e	물리방어력 4[n]원거리방어력 5[n]마법방어력 4[n]착용시 만드라고라 비명에서 일정확률로 보호받는다.[n]최대HP가 100 증가한다[n]최대MP가 50 증가한다[n]검사, 궁사, 주술사만 착용이 가능하다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts196e	물리방어력 3[n]원거리방어력 6[n]마법방어력 4[n]회피 2[n]치명타가 터질 확률이 2%만큼 증가한다[n]치명타시 증가하는 데미지의 양이 10%만큼 늘어난다[n]치명타에 맞을 확률이 1%만큼 감소한다[n]검사, 궁사, 주술사만 착용이 가능하다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts197e	물리방어력 5[n]원거리방어력 3[n]마법방어력 1[n]착용시 높은 확률로 기절을 하지 않는다[n]2레벨이하 나쁜일반효과에 10%확률로 걸리지 않는다[n]검사, 궁사, 주술사만 착용이 가능하다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts198e	물리방어력 13[n]원거리방어력 13[n]마법방어력 13[n]회피 2[n]최대HP가 200 증가한다[n]최대MP가 200 증가한다[n]검사, 궁사, 주술사만 착용이 가능하다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts199e	원거리방어력 7[n]마법방어력 3[n]회피 2[n]치명타에 맞을 확률이 2%만큼 감소한다[n]치명타에 맞을때 피해가 20%만큼 감소한다[n]검사, 궁사, 주술사만 착용이 가능하다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts200e	물리방어력 5[n]원거리방어력 5[n]마법방어력 5[n]회피 5[n]모든 방어력이 15만큼 상승한다.[n]모든 공격력이 15만큼 증가한다[n]검사, 궁사, 주술사만 착용이 가능하다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts201e	물리방어력 1[n]원거리방어력 2[n]마법방어력 14[n]마법공격에 대해 8%확률로  4%의 피해가 감소한다.[n]원거리공격에 대해 8%확률로  4%의 피해가 감소한다.[n]검사, 궁사, 주술사만 착용이 가능하다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts202e	물리방어력 12[n]착용시 높은 확률로 출혈에 걸리지 않는다[n]사기값이 5 증가한다.[n]검사, 궁사, 주술사만 착용이 가능하다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts203e	물리방어력 2[n]원거리방어력 10[n]마법방어력 3[n]상급마물에 대해서 70의 추가 피해를 입힌다[n]상급동물에 대해서 100의 추가 피해를 입힌다[n]검사, 궁사, 주술사만 착용이 가능하다[n]이 아이템은 유저간의 거래가 불가능하다[n]
zts204e	무제한 이용!
zts205e	초대형 2층 창고(영구)
zts206e	미니랜드에 설치시 56칸의 슬롯을 모두 이용할수 있다.[n]무제한으로 이용 가능하다.[n]
zts207e	테라스를 꾸미자
zts208e	핑크3단 사각선반
zts209e	미니랜드 테라스에 설치 가능하다.[n]
zts210e	화이트3단 사각선반
zts211e	소나무 한식밥상
zts212e	느티나무 한식밥상
zts213e	체리우드 양식밥상
zts214e	대리석 양식밥상
zts215e	오렌지 생일테이블
zts216e	핑크 생일테이블
zts217e	행복한 백양조각상
zts218e	즐거운 백양조각상
zts219e	도도한 여우조각상
zts220e	새침한 여우조각상
zts221e	불의 정령으로 70까지 성장이 가능하다.[n]불페어리와 동일한 기능을 한다.[n]착용 시 거래 불가[n]
zts222e	물의 정령으로 70까지 성장이 가능하다.[n]물페어리와 동일한 기능을 한다.[n]착용 시 거래 불가[n]
zts223e	빛의 정령으로 70까지 성장이 가능하다.[n]빛페어리와 동일한 기능을 한다.[n]착용 시 거래 불가[n]
zts224e	어둠의 정령으로 70까지 성장이 가능하다.[n]어둠 페어리와 동일한 기능을 한다.[n]착용 시 거래 불가[n]
zts225e	불의 정령으로 70까지 성장이 가능하다.[n]이미 40까지 성장이 되어있어 1부터 키울 필요가 없다.[n]불페어리와 동일한 기능을 한다.[n]착용 시 거래 불가[n]
zts226e	물의 정령으로 70까지 성장이 가능하다.[n]이미 40까지 성장이 되어있어 1부터 키울 필요가 없다.[n]물페어리와 동일한 기능을 한다.[n]착용 시 거래 불가[n]
zts227e	빛의 정령으로 70까지 성장이 가능하다.[n]이미 40까지 성장이 되어있어 1부터 키울 필요가 없다.[n]빛페어리와 동일한 기능을 한다.[n]착용 시 거래 불가[n]
zts228e	어둠의 정령으로 70까지 성장이 가능하다.[n]이미 40까지 성장이 되어있어 1부터 키울 필요가 없다.[n]어둠페어리와 동일한 기능을 한다.[n]착용 시 거래 불가[n]
zts229e	물리방어력 4[n]원거리방어력 4[n]마법방어력 4[n]회피 4[n]모든 기운에 대한 저항이 1 증가한다[n]모든 속성기운이 10만큼 증가한다[n]검사, 궁사, 주술사만 착용이 가능하다[n]착용 시 거래 불가[n]
zts230e	물리방어력 4[n]원거리방어력 5[n]마법방어력 4[n]착용시 만드라고라 비명에서 일정확률로 보호받는다.[n]최대HP가 100 증가한다[n]최대MP가 50 증가한다[n]검사, 궁사, 주술사만 착용이 가능하다[n]착용 시 거래 불가[n]
zts231e	물리방어력 3[n]원거리방어력 6[n]마법방어력 4[n]회피 2[n]치명타가 터질 확률이 2%만큼 증가한다[n]치명타시 증가하는 데미지의 양이 10%만큼 늘어난다[n]치명타에 맞을 확률이 1%만큼 감소한다[n]검사, 궁사, 주술사만 착용이 가능하다[n]착용 시 거래 불가[n]
zts232e	물리방어력 5[n]원거리방어력 3[n]마법방어력 1[n]착용시 높은 확률로 기절을 하지 않는다[n]2레벨이하 나쁜일반효과에 10%확률로 걸리지 않는다[n]검사, 궁사, 주술사만 착용이 가능하다[n]착용 시 거래 불가[n]
zts233e	물리방어력 13[n]원거리방어력 13[n]마법방어력 13[n]회피 2[n]최대HP가 200 증가한다[n]최대MP가 200 증가한다[n]검사, 궁사, 주술사만 착용이 가능하다[n]착용 시 거래 불가[n]
zts234e	원거리방어력 7[n]마법방어력 3[n]회피 2[n]치명타에 맞을 확률이 2%만큼 감소한다[n]치명타에 맞을때 피해가 20%만큼 감소한다[n]검사, 궁사, 주술사만 착용이 가능하다[n]착용 시 거래 불가[n]
zts235e	물리방어력 5[n]원거리방어력 5[n]마법방어력 5[n]회피 5[n]모든 방어력이 15만큼 상승한다.[n]모든 공격력이 15만큼 증가한다[n]검사, 궁사, 주술사만 착용이 가능하다[n]착용 시 거래 불가[n]
zts236e	물리방어력 1[n]원거리방어력 2[n]마법방어력 14[n]마법공격에 대해 8%확률로  4%의 피해가 감소한다.[n]원거리공격에 대해 8%확률로  4%의 피해가 감소한다.[n]검사, 궁사, 주술사만 착용이 가능하다[n]착용 시 거래 불가[n]
zts237e	물리방어력 12[n]착용시 높은 확률로 출혈에 걸리지 않는다[n]사기값이 5 증가한다.[n]검사, 궁사, 주술사만 착용이 가능하다[n]착용 시 거래 불가[n]
zts238e	물리방어력 2[n]원거리방어력 10[n]마법방어력 3[n]상급마물에 대해서 70의 추가 피해를 입힌다[n]상급동물에 대해서 100의 추가 피해를 입힌다[n]검사, 궁사, 주술사만 착용이 가능하다[n]착용 시 거래 불가[n]
zts239e	모험가의 배낭 10일
zts240e	ㅁㅁ
zts241e	모험가의 배낭 30일
zts242e	모험가의 배낭 60일
zts243e	파트너의 배낭 10일
zts244e	파트너의 배낭 30일
zts245e	파트너의 배낭 60일
zts246e	펫의 배달바구니 10일
zts247e	펫의 배달바구니 30일
zts248e	펫의 배달바구니 60일
zts249e	배낭세트 10일
zts250e	배낭세트 30일
zts251e	배낭세트 60일
zts252e	에레니아의 축복 5개
zts253e	에레니아의 축복 10개
zts254e	수호신의 축복 10개
zts255e	지나스의 축복 10개
zts256e	축복세트 5개
zts257e	축복세트 10개
zts258e	내구력 충전 쿠폰 40개
zts259e	내구력 충전 쿠폰 99개
zts260e	생산량 2배 쿠폰 10개
zts261e	생산 포인트 쿠폰 10개
zts262e	생산 포인트 쿠폰 30개
zts263e	수수께끼 상자 A
zts264e	수수께끼 상자 B
zts265e	수수께끼 상자 C
zts266e	[n]
zts267e	내구력을 편하게 충전
zts268e	생산지 구조물 관리 화면의 쿠폰 사용버튼을 통해 사용 가능합니다.[n]쿠폰 1장을 사용하면 내구력 300 포인트가 수리 됩니다.[n]
zts269e	미니게임 보상을 2배로!
zts270e	인벤토리에 쿠본이 있으면 보상을 받을때 쿠폰 사용 여부를 물어봅니다.[n]사용을 하시면 해당 보상 아이탬을 2배로 받으실 수 있습니다.[n]
zts271e	생산을 원하는 만큼!
zts272e	생산포인트 충전제 10개
zts273e	쿠폰 1장 사용시 생산포인트 500이 증가 합니다.[n]최대 생산포인트는 2000을 넘을 수 없습니다.[n]
zts274e	생산포인트 충전제 30개
zts275e	인벤토리를 모두 사용하자
zts276e	인벤토리를 모두 사용할 수 있다.[n]10일 기간제.[n]메달과 중복 사용 불가.[n]
zts277e	인벤토리를 모두 사용할 수 있다.[n]30일 기간제.[n]메달과 중복 사용 불가.[n]
zts278e	인벤토리를 모두 사용할 수 있다.[n]60일 기간제.[n]메달과 중복 사용 불가.[n]
zts279e	파트너에게도 인벤토리를
zts280e	파트너를 통해 범용 인벤토리[n]50칸을 추가로 사용할 수 있다.[n]10일 기간제.[n]
zts281e	파트너를 통해 범용 인벤토리[n]50칸을 추가로 사용할 수 있다.[n]30일 기간제.[n]
zts282e	파트너를 통해 범용 인벤토리[n]50칸을 추가로 사용할 수 있다.[n]60일 기간제.[n]
zts283e	창고를 어디서나 이용하자
zts284e	펫을 이용해 어디서나 창고를 열수 있다.[n]10일 기간제 아이템[n]
zts285e	펫을 이용해 어디서나 창고를 열수 있다.[n]30일 기간제 아이템[n]
zts286e	모든 인벤토리를 한번에!
zts287e	모험가의 배낭, 파트너의 배낭, 펫의 배달바구니를 한번에 구입한다.[n]
zts288e	안셀로안의 축복을 받자
zts289e	안셀로안의 축복 5개
zts290e	전투/직업 경험치 100% 상승.[n]1시간 사용. 레벨제한 없음.[n]메달과 중복 사용 불가.[n]
zts291e	안셀로안의 축복 10개
zts292e	노스메이트에게 축복을
zts293e	수호신의 축복 5개
zts294e	노스메이트 경험치 50% 상승.[n]속도 +2.[n]1시간 사용[n]
zts295e	보상 2배 부적
zts296e	대박 아이템 나와라!
zts297e	사나운 가면 A[n]사나운 가면 B[n]사나운 가면 C[n]토리토리 구슬[n]검투사토리 구슬[n]블랙토리 구슬[n]중 하나가 나옴[n]
zts298e	침묵의 마스크 A[n]침묵의 마스크 B[n]침묵의 마스크 C[n]토리토리 구슬[n]검투사토리 구슬[n]블랙토리 구슬[n]중 하나가 나옴[n]
zts299e	심연의 눈가리개 A[n]심연의 눈가리개 B[n]심연의 눈가리개 C[n]토리토리 구슬[n]검투사토리 구슬[n]블랙토리 구슬[n]중 하나가 나옴[n]
zts300e	전투/직업 경험치 100% 상승.[n]1시간 사용. 레벨제한 없음.[n]
zts301e	사나운 가면 A, 사나운 가면 B, 사나운 가면 C[n]토리토리 구슬, 검투사토리 구슬, 블랙토리 구슬과[n]5가지의 캐시아이템 중 하나가 나옴[n]
