zts1e	밀라노 장비상점 (사용)
zts49e	허허, 저녀석이 워낙 노는걸 좋아해서 말야. 그리고 잘 덤벙거려서 일부러 내가 일을 안맡기고 있지.
zts50e	참, 그런데말야……
zts51e	저녀석이 장비를 가지고 뭔가 수상한 짓을 한다고 하던데, 웬만하면 꼬임에 넘어가지 말라고.
zts52e	아 그래요? 알겠습니다.
zts53e	밀라노 장비상점2 (사용)
zts62e	지르는게 뭔가요?
zts64e	지금 가지고 있는 무기나 의상중에 레어등급이 맘에 안드는게 있으면 한번 줘봐.
zts65e	내가 신이 내린 솜씨로 멋진 레어아이템으로 만들어줄께!
zts66e	네에? 정말요? 근데 왜 그걸 지른다고 표현하시는거죠?
zts67e	아 그게말이지. 내가 좀 실수할때가 있거든. 그때는 아이템의 안전을 장담할수가 없어서 그래.
zts68e	헉…… 혹시 대단히 높은 확률로 그러시는거 아니에요?
zts69e	아니야! 그렇지는 않아! 만약 레어등급이 마이너스면 별로 실패를 안해!
zts70e	그럼 레어등급이 높으면요?
zts71e	음…… 이상하게 난 그런거에 좀 약해서……
zts72e	하지만 어쨌든 내가 손을 대서 아이템이 사라지지만 않으면 1부터 7까지 레어등급중 하나는 반드시 붙어. 그건 장담해!
zts74e	밀라노 노스캠프 (사용)
zts101e	대화를 종료합니다
zts102e	네, 어떤 점이 궁금하신가요?
zts104e	시공의돌을 시작할 때 임무시작과 기록도전은 뭐가 다르죠?
zts119e	기본적으로 임무시작이든 기록도전이든 똑같은 시공의 돌 임무랍니다. 아시다시피 시공임무를 수행하면 모험가 분의 활약에 따라 점수가 부여되는데요…
zts120e	기록도전을 선택하면 자신이 획득한 점수를 가지고 최고 기록에 도전할 수가 있습니다.
zts121e	그게 무슨 의미가 있지요? 기록도전을 한다고 해서 뭐 좋은 혜택이 있거나 한거 같진 않던데…
zts122e	천.만.의 말씀!! 일단 최고기록을 세우시게 되면 당신의 자랑스러운 닉이 시공 꼭대기에 딱! 걸리게 된답니다. 만약 친구들이 그것을 본다면… 진짜진짜 부럽겠지요?
zts123e	그리고 지금은 아니지만 로펠로경께서 고득점 모험가들을 대상으로 큰 상을 내리실 계획이라는 얘기도 있고… 무엇보다 명예를 생각하는 모험가라면 당연 도전해 봐야지요!!
zts124e	그렇다면 모두들 기록도전만 할 거 같은데요. 뭐하러 평범한 임무수행으로 시공에 들어가겠냐구요.
zts125e	하하… 문제는… 기록도전을 위해서는 수수료가 필요하다는 말씀!! 자칫 자신없는 시공에 마구 도전해봤자 빈털터리밖에 더 되겠어요?
zts126e	기록도전에는 무엇보다도 신중! 또 신중!! 해야만 한다구요!
zts127e	음 그럼 크게 욕심이 없다면 굳이 하지 않아도 상관없겠네요.
zts128e	네, 그렇습니다…만, 뭡니까 시시하게!! 모험가라면 도전!! 도전이야말로 모험가의 미덕 아닐까요?
zts129e	하하… 알겠어요… 뭐 좀 더 해보면서 생각해볼께요.
zts130e	네~ 지금까지 상담원 에릴이었습니다. 당신의 앞 길에 멋진 모험이 한가득이기를!!
zts131e	원하시는 직업이 어떻게 되시나요?
zts132e	악당들은 때려잡아야 제 맛이죠! 검사로 할래요
zts133e	악당들은 맞춰잡아야 제 맛이죠! 궁사로 할래요
zts134e	저는 그냥 주술사로 할래요. 폼 나잖아요
zts135e	직업을 바꾸시면 현재 가지고 있는 모험가용 장비는 사용하실 수가 없답니다.
zts136e	대신 저희가 바로 사용하실 수 있는 장비를 드리는데 괜찮으실까요?
zts137e	주신다는 장비 성능은 어떤가요?
zts138e	아하하하…  그게 저… 쓸만은 하거든요.
zts139e	--------------------------------------
zts140e	뭐, 저희도 공짜로 장사하는 것도 아니고… 로펠로경께서 요즘들어 지원이 영 소홀하신 탓에… 어쩌구 저쩌구…
zts141e	…아무튼 직업을 바꾸실 건가요?
zts142e	하는수 없죠 직업을 바꿀래요
zts143e	아뇨 그냥 다른일 볼래요
zts156e	패밀리란 노스테일 안에서 만난 많은 사람들이 한가족을 이루는 것을 의미합니다.
zts157e	서로서로 돕고 정을 나누는 신나는 패밀리 생활!! 함께 즐기는 행복한 노스테일의 세상을 만끽하세요!
zts158e	패밀리를 만들래요
zts159e	패밀리를 해체할래요
zts160e	패밀리를 만들려면 어떻게 하죠?
zts161e	패밀리의 운영을 위한 여러가지 명령어를 알려주세요
zts162e	도움 감사합니다~ 안녕히계세요
zts163e	패밀리를 만들기 위해서는 우선 전직을 마치고 액트1-1을 끝까지 진행한 세 분의 모험가가 필요합니다.
zts164e	세 분이 파티를 맺은 후에 그중 한 분이 저에게 신청을 해주시면 되는데… 수수료가 조금 있습니다. 개설비용은 저렴하게 20만 골드!!
zts165e	이후 패밀리 이름을 정해서 제게 알려주시면 모두 완료!!! 아참, 이때 신청한분이 [가장]이 되고 나머지 2분이 [부장]이 되게 됩니다.
zts166e	그리고 죄송한 말씀입니다만… 아직 패밀리는 완전히 개발이 완료된 상태가 아니기 때문에 인터페이스나 일부 기능은 지원이 안되고 있구요,
zts167e	최대한 빨리 지원해 드리기 위해 불철주야 노력중이니 조금만 더 기다려 주세요!
zts168e	네 잘 알겠습니다
zts169e	우선 길드채팅은 [:하고싶은말]을 치시면 됩니다.
zts170e	패밀리 관련 명령은 채팅창을 이용해서 할수 있으며 앞에 %를 붙여서 사용하면 되구요.
zts171e	누군가를 식구로 영입하고 싶으시면 [%영입 상대캐릭명]을 입력하시구요, 영입 권한은 가장과 부장만 있어요.
zts172e	탈퇴나 강퇴는 [%탈퇴], [%강퇴 상대캐릭명]을 사용하면 됩니다. 강퇴는 가장만 가능한 명령이에요.
zts173e	물론 가장과 부장은 탈퇴할 수 없구요, 패밀리에서 탈퇴한 분은 3일간 새 패밀리를 만들거나 다른패밀리에 들어갈수 없어요.
zts174e	부장은 언제나 2명이 유지되어야 하기 때문에 부장을 바꾸시려면 [%부장 새부장이될캐릭명 해임될캐릭명]을 치시면 되구요,
zts175e	가장을 물려주고 싶으면 [%물림 새가장캐릭명]을 치면 된답니다. 단 이때는 반드시 상대가 부장이어야 가능해요.
zts176e	접속하는 식구들에게 중요한 공지를 남기고 싶으면 [%알림 내용]을 쓰시면 됩니다.
zts177e	에, 아직 만들어 나가는 중이라 좀 불편한것 많으시겠지만 우선 많은 식구들 모아서 재미있는 모험 즐겨보세요.
zts178e	빠른 시일내에 편리한 기능 제공해 드릴께요~, 지금까지 에릴이었습니다.
zts179e	밀라노 스킬등록소(사용)
zts191e	어떤 것들이 궁금하신지 말씀 하시죠
zts192e	교육에 대해서 설명해 주세요
zts193e	베이스 스킬에 대해서 설명해 주세요
zts194e	플러스 스킬에 대해서 설명해 주세요
zts195e	스킬 삭제는 어떻게 하죠?
zts196e	교육은 여러분의 능력에 직접적인 영향을 미치게 되며 한번 배우면 영구적으로 영향을 줍니다.
zts197e	교육을 배우기 위해서는 교육비가 필요하구요, 교육마다 지정된 전투레벨이 되어야 배울 수 있습니다.
zts198e	전투레벨이라면 레벨표시 '0/0' 중에서 왼쪽 것을 말하는거죠?
zts199e	네 맞습니다. 그리고 교육은 초급, 중급 이런 식의 급수로 나누어져 있고요. 초급을 듣지 않아도 중급을 바로 배울수 있습니다.
zts200e	어? 그러면 초급을 배우지 않고 넘어가면 혹시 손해 아닌가요?
zts201e	그렇지 않습니다. 초급, 중급을 차례로 배우는것과 중급만 배운 것과는 능력치의 차이가 없습니다.
zts202e	다만, 되도록이면 차례차례 모두 배워 놓는 것이 진행을 하는데 도움이 되실겁니다.
zts203e	베이스 스킬은 여러분이 직접적으로 사용하시게 될 스킬들입니다
zts204e	베이스 스킬을 배우기 위해서는 일정량의 골드와 CP가 필요하며, 지정된 직업레벨이 되어야 배울 수 있습니다.
zts205e	직업레벨은 레벨표시 '0/0' 중에 오른쪽 것을 말하는 건가요?
zts206e	네 그렇습니다. 베이스 스킬은 특히 CP가 필요하기 때문에 레벨이 되어도 CP가 부족하면 배울수 없습니다.
zts207e	CP는 직업레벨이 올라갈 때마다 얻을수 있습니다, 다만 모든 스킬을 다 배우기에는 CP가 결코 넉넉하지 않을 것입니다. 그러므로 자신에게 필요한 스킬을 고를 줄 아는 지혜가 필요하겠지요?
zts208e	플러스 스킬은 베이스 스킬에 더하여 새로운 능력을 추가하는 특수한 스킬입니다.
zts209e	예를들어 베이스 스킬인 '강한일격'을 배운 상태에서 플러스 스킬인 '스턴추가'를 배우면, 강한일격을 사용할때 스턴이 발생하게 됩니다.
zts210e	아, 그렇다면 같은 스킬이라도 플러스 스킬에 따라서 다른 효과를 가질수 있겠네요?
zts211e	네 맞습니다. 하나의 베이스 스킬에는 최고 4가지의 플러스 스킬을 연결 할 수 있습니다.
zts212e	이때 주의하실점이 하나 있습니다, 플러스 스킬 아이콘의 우측 하단을 보시면 동그라미, 네모같은 표시들을 확인하실 수 있을텐데요, 이 표시가 동일한 플러스 스킬은 동시에 배울수가 없습니다.
zts213e	그 표시들이 의미하는게 무엇인가요?
zts214e	네, 스킬창을 확인해 보시면 플러스 스킬 슬롯에 동일한 모양의 표시들이 되어 있습니다. 즉, 이 표시들은 어떤 슬롯에 들어가는지를 나타내는 것입니다.
zts215e	흠, 그렇구나. 같은 슬롯에 들어가니까 동시에 배울수 없는거군요?
zts216e	만약 같은 슬롯의 플러스 스킬을 강제로 배우게 되면 이전에 채워두었던 스킬 위를 덮어씌우는 것이 됩니다. 아, 너무 염려하실 필요는 없습니다. 스킬을 배우려고 할때 경고메세지가 나타날테니 확인 후에 신중히 결정하시면 되니까요.
zts217e	만약 이미 배운 스킬이 마음에 들지 않거나 다른 스킬을 배우기 위한 CP가 모자란 경우에는 기존의 스킬을 삭제할 수 있습니다.
zts218e	스킬 삭제는 스킬 구매창이 뜬 상태에서 여러분의 스킬을 더블클릭하면 삭제가 가능합니다.
zts219e	스킬이 삭제가 되면 그 스킬을 배우는 데에 소모했던 CP를 다시 되돌려 받을 수 있습니다. 단 스킬 삭제에는 스킬을 배울 때와 동일한 수수료가 필요하니 주의하세요.
zts220e	단, 베이스 스킬은 먼저 플러스 스킬을 모두 삭제해야지만 삭제가 가능합니다.
zts221e	그리고 교육은 절대 삭제가 되지 않습니다, 투자한 CP도 없으니까 손해볼 것도 아니지요?
zts222e	밀라노 연금술협회(사용)
zts233e	밀라노 마트(사용)
zts257e	밀라노 패션상점 (사용)
zts266e	네, 말씀해 보세요
zts267e	액세서리에 대해 좀 알려주세요
zts268e	액세서리들은 패션을 완성시키고 착용자의 센스와 기품을 나타내주는 역할을 하죠
zts269e	하지만 보아하니 손님은 기능적인 것을 원하는것 같은데 흐음-----
zts270e	액세서리들은 모양만큼이나 신비로운 능력들을 가지고 있지요, 마치 마법이 녹아있다고 표현하면 이해하실수 있으실까요?
zts271e	그리고 옵션 슬롯을 가지고 있기 때문에 새로운 능력을 추가 시킬수도 있죠
zts272e	네? 그부분을 좀더 자세히 설명해 주세요
zts273e	후후, 역시 거기에 관심이 있을줄 알았어~ 좋아요, 더 말씀드리죠
zts274e	액세서리에는 옵션슬롯과 옵션레벨이 있죠
zts275e	옵션슬롯은 옵션을 몇 개까지 넣을수 있느냐고 옵션레벨은 최고 몇레벨의 옵션을 넣을수 있느냐에요, 여기까지 이해하죠?
zts276e	네~ 옵션은 어떻게 넣죠?
zts277e	옵션을 넣으려면 셀론이 필요해요, 셀론은 반짝반짝 빛나는 신비로운 보석이죠
zts278e	셀론의 레벨에 따라서 옵션의 레벨이 결정이 되니까 높으면 높을 수록 좋은거에요 알죠?
zts279e	아, 그런데 옵션을 넣을때 어떤 옵션을 넣을지는 선택할 수 없어요 모든건 운명에 달린거죠
zts280e	셀론은 어디서 얻죠?
zts281e	셀론은 길리온스톤을 정제해서 얻을수 있어요 물론 정제할때 셀론 정제제를 사용해야 하죠
zts282e	정제제는 연금술 협회에서 팔고 있어요
zts283e	타임서클 (밀라노)
zts285e	개인 무한아레나에 참여!
zts286e	패밀리 무한아레나에 참여!
zts287e	타임서클 리스트를 봅니다
zts290e	이동할 마을을 선택해 주세요
zts291e	크렘산지 코아렌 마을 (1000골드)
zts292e	마니사가라 (코볼트마을)
zts294e	마리 명품샵(코볼트마을)
zts297e	쾅쾅건축소 (코볼트 마을)
zts299e	주운 물건 잡화점 (코볼트마을)
zts301e	타임서클 (코아렌)
zts304e	중앙평원 밀라노마을 (무료)
zts305e	타임서클 바로가기
zts306e	아레나와 타임서클에 바로 참여해 보자!
zts307e	act1도입부
zts308e	ACT 1. 페르논의 나무
zts309e	초보모험가 여러분, 그대들에게 주어진 첫번째 과제를 알려드리겠습니다.
zts310e	바로... 코볼트 광부들의 파업을 진압하라!
zts311e	하지만 날로 꼬여가는 사건은 걷잡을수 없는 전쟁으로까지 번지게 되고...
zts312e	혼란속에서 하나 둘 출현하는 영웅들과
zts313e	그대들의 앞을 가로막는 강력한 적!
zts314e	그리고 세계를 위기에 빠뜨릴 페르논 나무의 부활!
zts315e	과연 이 모험, 무사히 마칠수나 있을라나요?
zts316e	......이제 고작 1레벨인데......
zts317e	어쨌든 모두 주목!! 지금부터 저레벨의 처절한(?) 모험담이 시작됩니다!!
zts318e	act2도입부
zts319e	모두와 힘을 합쳐 가까스로 위기를 벗어났지만...
zts320e	아직은 끝이 아닙니다. 페르논의 나무는 언제 깨어날지 알 수가 없습니다.
zts321e	페르논을 봉인할 수 있는 열쇠를 지니고 있는 신비의 종족 캐트시...
zts322e	하지만 코볼트와 캐트시는 오래된 원한을 품고 있는 사이입니다.
zts323e	이들의 원한이 맞붙는다면 그것은 전쟁!!
zts324e	아직 위기는 끝나지 않았습니다.
zts325e	또 한 번 시작되는 위기, 그리고 새로운 모험!!!
zts326e	ACT 2. 고대 마물의 부활
zts327e	기다려라, 나의 백양이 울고있다...
zts328e	밀라노 NPC 대화
zts329e	아직 초보시구만… 하하.
zts330e	그래도 열심히 한 번 해볼 생각이예요!
zts331e	용기는 멋있지만… 마음같지는 않을 거야. 몸조심하라구!
zts332e	코볼트들이 파업을 하다니 무슨소리야?
zts333e	글쎄요… 뭐 워낙 근무환경이 안좋고… 뭐 이러저러하니…
zts334e	쳇. 코볼트 놈들은 너무 잘 대해주면 안되는 족속들이지! 이봐, 가서 따끔한 맛을 좀 보여주게나!!
zts335e	하하… 네… 뭐 자세한 사정은 알아봐야겠지만요..
zts336e	사정은 무슨 사정!!! 뭐 뻔하잖아. 그 게으른 것들이 일하기 싫어 투정부리는 거라니까!
zts337e	코볼트 놈들이… 생각보다 훨씬 독하게 나오고 있다면서?
zts338e	이런… 세상이 망하려고 그러나… 아무튼 걱정일세그려!!!
zts339e	아니… 그래도 뭔가 사정이 있어 보이기는 했는데…
zts340e	사정은 무슨 놈의 사정!! 하여튼 간에 모자란 것들이 빠지기까지 해가지구선…
zts341e	이제 곧 전쟁인 건가…
zts342e	과연 인간과 코볼트와 전쟁을 하면 누가 이길꺼 같아?
zts343e	크윽… 어쩌다가 일이 이 지경이 된거지? 코볼트 놈들이 이정도일줄은 진짜 몰랐다구!!
zts344e	전쟁이 이렇게까지 싱겁게 끝날 줄이야… 코볼트 놈들… 내분이라니 꼴좋구만!!!
zts345e	이제 앞으로 어떻게 되는거야…… 걱정이 되서 잠 한숨도 잘수가 없어.
zts346e	끝까지 노력해볼 밖에요!! 아직 포기할 수는 없어요!
zts347e	후훗…  아니야, 이번에는 너무 역부족이야. 어떻게 할 도리가 없다구!
zts348e	에휴 내팔자야, 내가 어쩌다 이런 시기에 태어나서 이고생을 하고 있는지……
zts349e	반가워~ 요즘 힘든일 없지?
zts350e	안녕하세요, 오신지 얼마 안되서 많이 낯설겠지만 앞으로 잘 부탁드립니다.
zts351e	저희 마을을 위해서 열심히 싸워주세요, 파이팅!
zts352e	파업이라니 큰일이네요…… 별일 없어야 할텐데……
zts353e	마을 분위기가 점점 안좋아지네요…… 이럴때일수록 기운 내야겠죠?
zts354e	아~ 최악이네……
zts355e	열심히 해주셔서 감사합니다.
zts356e	아~ 절망이다…… 별로 말하고 싶은 기분이 아니네요……
zts357e	정말 대단하세요!! 당신은 나의 영웅이십니다!!
zts358e	자넬보니 나 젊었을적 시절이 생각나는군.
zts359e	그때 어땠냐구? 자네처럼 어리버리 했지 하하하하하!
zts360e	내가 재밌는 얘기 해줄까? 풋~
zts361e	그게 뭐냐하면 말야~
zts362e	풋~!
zts363e	아 웃겨서 말 못하겠다!
zts364e	아~ 잘왔어. 전에 내가 얘기해주려고 하던거 있잖아
zts365e	다시 얘기해줄께. 이번에는 안웃을 수 있어.
zts366e	무슨 얘기냐 하면 말이야~
zts367e	옛날에~ 가시쥐가 살았는데……
zts368e	…………………
zts369e	푸웃~~!!!!!!!!
zts370e	아하하하하하하하하 가시쥐가 살았다니 넘 웃기다 푸하하하하하하하!
zts371e	아, 안되겠다 다음에 말해줄께 푸하하하하하하하!
zts372e	상황이 어려울수록 웃음을 잃지 말아야지~!
zts373e	그런 의미로 내가 재미있는 얘기해줄께!
zts374e	어? 이봐 어디가~ 내얘기 안들어?
zts375e	어~~~이~~~~~
zts376e	재밌는 얘기? 지금 이마당에 그런소리가 나와?
zts377e	아, 이렇게 나에게 말까지 걸어줘서 정말 고마워!! 감사의 뜻으로 내가 재밌는…… 어이~~~어디가!
zts378e	오늘은 특.별.히. 페르논 나무에서 쏟아져 나온다는 라네탄 이야기!!
zts379e	걔들이 달려와서 자폭하면 즉석 감자칩이 되는거야? 아하하하하
zts380e	아하하하하……………
zts381e	젠장! 하나도 재미있지 않아! 그냥 이대로 죽어버릴까!
zts382e	안녕안녕~! 내가 방금생각난 따끈따끈한 얘기가 있는데!
zts383e	라네탄이 자폭하면 뭐가 될까?
zts384e	정답은……
zts385e	즉석 감자칩이야!!! 푸하하하하하하하! 넘웃기지?
zts386e	아, 내가 최근 지어낸 유머중 최고로 웃긴거 같아 푸하하하하하하!
zts387e	이봐요 이봐, 이제 갓 시작한 신참이면 좀 빠닥빠닥하게 움직이란 말이에요! 알았어요?
zts388e	어이 이봐요, 다리가 보이네 다리가. 후딱 뛰어다니지 못해요?
zts389e	아 지저분한 코볼트! 시끄러운 코볼트!
zts390e	어휴~~ 어휴~~~, 내가 못살아!
zts391e	밀라노는 도대체 어떻게 되는 걸까요?
zts392e	우린 다 죽은거야, 그래, 이제 끝이야, 벗어날수 없어, 모든건 다 끝이야, 중얼중얼
zts393e	어서와요, 내가 친구들한테 당신하고 친하다고 하니까 친구들이 안믿어요! 여기 증거로 싸인한장만 해주세요.
zts394e	날도 좋고 한가로이 할일도 없고~, 바로 이게 내가 바라던 생활이야~
zts395e	아니 뭐하러 노스캠프에 가입했어? 지금이라도 늦지 않았으니까 얼른 로펠로 친위대로 들어와~
zts396e	어이~ 얼쩡거리지 말고 저리가! 순찰자 오는지 확인해야 된단 말야~
zts397e	아, 짜증나 무슨일이 있었길래 코볼트들이 파업을 하고 난리야!
zts398e	좀 어떻게 해봐봐! 그게 너가 할일 아냐?
zts399e	흐음… 코볼트 녀석들… 시끄럽기 그지 없다니까.
zts400e	참 잘하는 짓이야. 짜증나는 것들!
zts401e	미치고 환장하겠군. 이러다 전쟁이라도 나는 거 아닌가 몰라.
zts402e	흥. 그러면 그렇지!! 코볼트 주제에 인간에게 전쟁까지 걸다니 말야!! 하하!!
zts403e	말도 걸지마. 이제 내인생 쫑났어. 다 끝이라구!
zts404e	충성! 근무중 이상 없습니다!
zts405e	밀라노 어중이 대화
zts406e	모험가라고 깝죽거리다 여럿 사라졌다지 아마…... 잘 해봐요?
zts407e	어라? 아직 무사하시네? 하긴 뭐 아직 이렇다할 일도 없긴 했지만…... 잘 해봐요?
zts408e	오~ 쫌 한다는 얘기가 들리던데 그렇다고 너무 어께에 벌써 힘주면 곤란하지…... 안그래요?
zts409e	응? 그게 아니라 일만 크게 벌리고 다녔던가? 뭐 어쨌든!
zts410e	모험가의 검은 말이지 제조번호가 NTR40U-10X 로 시작하는 시리즈가 제대로된 성능을 내거든? 이건 가격대 성능비가 너무 좋아서 대장간에서 생산을 중단했다지 뭐야?
zts411e	검을 닦을땐 말야 폴리니미르 수지로 만들어진 천을 써야 효율적이거든? 오랜 전투로 달궈진 검의 열기를 식혀주는 탁월한 쿨링성능을 가지고 있거든
zts412e	가죽옷을 입고 있을땐 적이 검을 내리칠때 정확히 36.5도의 각도로 맞아야만 하지.  일반 가죽에 함유된 콜라겔라 성분은 그 각도일때 최고의 강도를 유지하거든?
zts413e	활 시위는 3가닥으로 20번 꼰것과 5가닥으로 14번 꼰게 있는데 말야 벤치마킹 결과에 의하면 후자가 0.2퍼센트 정도 손가락의 피로를 줄여준다더군 뭐 실제 체험상으로는 별차이 없겠지만 말야
zts414e	어, 그장비는?  아깝네 얼마전 공구할때 샀으면 사은품까지 받을수 있었을텐데.
zts415e	밀라노 광산관리인대화
zts416e	로펠로님의 광산은 이스트마일에서 길리온스톤이 최고로 많이나오는 광산이야! 여기사람들 다 그덕에 먹고 산다고~.
zts417e	헛헛헛, 가끔은 키우는 개가 주인을 물기도 하는거지.
zts418e	아~~ 망할 놈들!!! 저 코볼트들 때문에 내가 제 명에 살기는 글렀다구!!
zts419e	허허… 말세야… 말세… 코볼트들과 전쟁이라니… 허허…
zts420e	이제 한 숨 돌리는 건가… 천만다행이야! 역시 코볼트놈들 그렇게 될 줄 알았다니까!!
zts421e	내가~ 딸꾹~! 이제 사는낙이 없어서 한잔 했어 딸꾹~! 듣자니 뭔 말라 비틀어진 나무뿌리때문에 우리 다 죽는다고? 딸꾹~
zts422e	코볼트들도 그 동안 고생많았지! 얼마전에 로펠로경께서 우수 코볼트 광부들에게는 특별 포상까지 지시하셨다네!! 이제 오해도 모두 풀리고… 천만다행이지 않은가?
zts423e	광산앞 관리인
zts424e	모험가양반! 어처구니없는 소리로 들리겠지만 지금 내가 광산에서 코볼트들한테 쫓겨났지 뭔가!
zts425e	아니, 이것들이 뭘 잘못먹었는지 갑자기 왜그러는지 모르겠어!
zts426e	이런 문제를 해결하는게 모험가양반이 하는일 맞지? 어떻게좀 해줘~
zts427e	뭐, 뭐, 뭐, 뭐, 뭐, 뭐??? 파업이라고라고라? 저 멍청한 강아지들이 무슨 소리래?
zts428e	허허… 방귀 뀐 놈이 성낸다더니… 지들이 한 게 없으면서 왜 저런대? 역시 코볼트놈들하고 어울리는 건 질색이라니까!
zts429e	뭐라고라? 전쟁? 전쟁? 전쟁? 어허… 어허허허… 어허허허허허… 어허허허허허허허허허…
zts430e	에헴! 그러면 그렇지! 내 이렇게 될 줄 알았다고! 지들 주제에 전쟁은 무슨!
zts431e	큰일이구만 큰일, 이걸 누가 해결해 주려나……
zts432e	코볼트 친구들에게 그 동안 너무 소홀했던 거 같았어. 앞으로는 이것저것 신경 좀 많이 써줄 생각이야!
zts433e	코아렌경비1
zts434e	컹컹 인간이 왜왔냐!
zts435e	어서와라. 인간! 너는 우리의 친구다!
zts436e	코아렌경비2
zts437e	우린 이제부터가 시작이다. 너에게 많이 고마워하고 있다!
zts438e	코아렌경비3
zts439e	코아렌님 엄청 화났다! 켄코놈들 이제 끝장이다!
zts440e	코아렌경비4
zts441e	인간이다. 하지만 우리 이제 싸움 끝났으니까… 컹컹!!
zts442e	코아렌 광부반장
zts443e	당신 얘기 다른 광부들한테 많이 들었다. 도와줘서 많이 고맙다 많이.
zts444e	코아렌 신참광부
zts445e	열심히 일하자 멍멍, 돌캐고 일하자 멍멍!
zts446e	개인상점 팝업
zts447e	개인상점을 이용합니다
zts604e	초보모험가의 수련
zts605e	초보모험가의 티를 벗어나려면 오직 수련! 수련밖에 없죠!
zts606e	목표를 달성하시는 분에게는 더 빨리 성장할수 있도록 지원해 드릴께요!
zts607e	None
zts608e	와~ 수고하셨습니다. 빨리 성장하시기를 바래요.
zts609e	밀라노마을보호1 (시작)
zts610e	마을 주변에 위험한 동식물들이 너무 많아요! 이런 상태라면 밀라노에 아무도 찾아오지 않을것 같네요.
zts611e	마을의 활성화를 위해서 일하는것도 노스캠프가 할 일이겠죠? 용감한 분들이 많이 나서주시길 바래요!
zts612e	밀라노마을보호1 (완료)
zts614e	밀라노마을보호2 (시작)
zts615e	코볼트들 문제 때문에 많이들 힘들어 하고 있는데, 마을 주변은 점점더 위험해져 가는것 같습니다.
zts616e	노스캠프의 모험가 여러분들만이 해주실수 있는 일인것 같네요. 밀라노 주민들에게 조금이라도 위안을 줄수 있도록 많은 도움 바랍니다.
zts617e	밀라노마을보호2 (완료)
zts618e	정말 많은 도움이 되고 있습니다. 앞으로 계속 기대해도 되는거죠?
zts619e	신전 소탕임무1 (시작)
zts620e	페르논 신전은 이제 위험해서 함부로 들어갈 수도 없네요. 모험가 여러분들의 힘이 필요해요!
zts621e	신전 소탕임무1 (완료)
zts622e	신전 소탕임무2 (시작)
zts623e	점점더 강력한 마물들이 신전에 자리잡고 있네요! 모험가 분들 힘내세요!
zts624e	신전 소탕임무2 (완료)
zts625e	마물들과 싸우느라 힘드셨죠? 정말 수고 많으셨습니다~
zts626e	광산을 지켜라(시작)
