zts1e	Rest
zts239e	Adds Fire element to Beat-up and causes minor bleeding
zts240e	Add Magic Attack
zts241e	Increases magic attack power of Energy Bolt and adds Water element to it
zts242e	Strengthen Slash
zts243e	Increases short-range attack power for basic Slash
zts244e	2nd Strengthen Slash
zts245e	Specialized Slash for High-level Plants
zts246e	Increases short-range attack power when attacking high-level plants
zts247e	Strengthen Crossbow Shooting
zts248e	Increases long-range attack power for Crossbow Shooting
zts249e	Specialized Shooting for Devil minions
zts250e	Intense Damage
zts251e	Works with Fire element dealing double damage, at a certain probability
zts252e	Deals high damage combined with fatal hit
zts253e	Converts Hit of Rage change into the fire element
zts254e	Strengthen Hit of Rage
zts255e	Increases short-range attack power and hit
zts256e	Second Strengthen Hit of Rage
zts257e	Increases short-range attack power
zts258e	Critical Aim
zts259e	Increases probability of critical hit for Count-Slash
zts260e	Kovolt's Weakness
zts261e	Adds Water element and concentrates on the Kovolt's weakness dealing fatal damage
zts262e	Converts Count-Slash to Water element
zts263e	Strengthen Sword Energy
zts264e	Strengthens Sword Energy to increase short-range attack power
zts265e	Increase Range
zts266e	Increases the range of swords
zts267e	Accurate Hit
zts268e	Increases accuracy causing the enemy to blackout
zts269e	Strengthen Earth Wave
zts270e	Adds attack power to Earth Wave
zts271e	Advanced Earth Wave
zts272e	Strengthen Blow Wield
zts273e	Adds Water element to Blow Wield causing the enemy to blackout
zts274e	Blow Wield converts to Water element
zts275e	Weaken Opponent's Attack level
zts276e	Reduces the opponent's attack level for a certain period of time, while using double-attack
zts277e	Strengthen Double Attack
zts278e	Adds attack power to Double Attack
zts279e	Strengthen Dynamic Shooting
zts280e	Adds attack power to Dynamic Shooting
zts281e	Absolute Hit
zts282e	Always hits the target using Dynamic Shooting
zts283e	Add Power
zts284e	Increases attack power for Power Charging
zts285e	Strengthen Pledge of Blood
zts286e	Increases attack power for Pledge of Blood
zts287e	Increase Dash Range
zts288e	Increases range of Dash
zts289e	Pulling
zts290e	Pulls enemy doing Taunt Shooting
zts291e	Strengthen Archery
zts292e	Increases long-range attack power of Archery
zts293e	2nd Strengthen Archery
zts294e	Specialized shooting for High-level Plants
zts295e	Increases attack power when attacking high-leveled plants
zts296e	Strengthen Dagger Stabbing
zts297e	Increases attack power for Dagger Stabbing
zts298e	Stab Fatal Point
zts299e	Increases probability of critical hit in Dagger Stabbing
zts300e	Strengthen Elaborate Shot
zts301e	Adds Water element to Elaborate Shot and increases attack power
zts302e	Converts Elaborate Shot into Water element
zts303e	Increases the probability of critical hit for Elaborate Shot
zts304e	Deals double damage at a certain probability
zts305e	Strengthen Piercing Damage
zts306e	Increases fatal damage for Piercing Shot
zts307e	Simultaneous Attack
zts308e	Uses Jump Shot to simultaneously attack enemies surrounding a target
zts309e	Kovolt Shot
zts310e	Increases attack power when attacking Kovolts
zts311e	Strengthen Fast Shooting
zts312e	Increases attack power of Fast Shooting
zts313e	Strengthen Overhead Shooting
zts314e	Increases attack power of Overhead Shooting
zts315e	Expand Range
zts316e	Expands the range of Overhead Shooting
zts317e	Causes enemy bleeding when Short Stabbing
zts318e	Strengthen Short Stabbing
zts319e	Increases attack power of Short Stabbing
zts320e	Increase Probability
zts321e	Increases the probability of 'Move Disabled' while doing Turning Count
zts322e	Increases attack power while using Death Charging
zts323e	Increase Movement Speed
zts324e	Speeds up Haste
zts325e	Strengthen Ritual of Hawk
zts326e	Attack power is added during the Ritual
zts327e	Strengthen Herb Skill
zts328e	Increases level of toxicant
zts329e	Add Dizzy Venom
zts330e	Adds Dizzy Venom to the auxiliary dagger
zts331e	Add Fatal Venom
zts332e	Adds Fatal Venom to the auxiliary dagger
zts333e	Pushing
zts334e	Pushes your rival back
zts335e	Strengthen Energy Bolt
zts336e	Increases attack power of Energy Bolt
zts337e	Expands range of Energy Bolt
zts338e	Strengthen Spellgun
zts339e	Increases attack power of the Spellgun
zts340e	Specialized for High-level Plants
zts341e	Add Explosion
zts342e	Adds flame explosion when using Fire Bolt
zts343e	Strengthen Fire Bolt
zts344e	Increases attack power of Fire Bolt
zts345e	Add Freeze
zts346e	Freezes opponent when using Ice Bolt
zts347e	Strengthen Ice Bolt
zts348e	Increases attack power of Ice Bolt
zts349e	Strengthen Magic Missile
zts350e	Increases attack power of Magic Missile
zts351e	Expand
zts352e	Expands range of Magic Missile
zts353e	Strengthen Flame Column
zts354e	Increases attack power of Flame Column
zts355e	Strengthen Tornado
zts356e	Increases attack power of Tornado
zts357e	Increase Recovery
zts358e	Increases HP recovery
zts359e	Increase Steal
zts360e	Increases MP stolen from opponent
zts361e	Tumbling
zts362e	Meteo
zts363e	Surrounding Attack
zts364e	Surrounding Attack 2
zts365e	Spit Sticky Pad
zts366e	Blackout Surrounding
zts367e	Spit Strong Sticky Pad
zts368e	Summon Miner
zts369e	Summon Miner 2
zts370e	Summon Miner 3
zts371e	Strong Surrounding Hit (Kenko)
zts372e	Overhead Throwing
zts373e	Bite
zts374e	Ice Storm
zts375e	KuruKoaren's Spin Slash
zts376e	Akuku Kennel's Dash
zts377e	HuruKenko's Surrounding Attack
zts378e	Turtle's Surrounding Attack
zts379e	Dark Witch's Curse
zts380e	Blood Witch's Command Attack
zts381e	Madame's Command Attack
zts382e	Dead Madame's Hand
zts383e	Kennel's Assault
zts384e	Lion-Wolf's Assault
zts385e	Low-leveled Monster's Assault
zts386e	Pollute Boing
zts387e	Spider King's Pulling
zts388e	King Spider's Surrounding Attack
zts389e	Kulluk Kin's Surrounding Attack
zts390e	Kulluk Kin's Sneeze
zts391e	DustDeath's Fireball
zts392e	Charlotte's Skill
zts393e	Patrisha's Skill 1
zts394e	Patrisha's Skill 2
zts395e	NPC Strong Attack
zts396e	Summons Cheating Slime
zts397e	Recovery of Wild Ginseng
zts398e	Ginseng's Attack Surrounding
zts399e	Castra Lightening
zts400e	Castra Smoke
zts401e	Slade Howling
zts402e	Slade Stone Throwing
zts403e	Castra Basic Magic
zts404e	Jack Spider Attack
zts405e	Jack Spider Web
zts406e	Slade Basic Attack
zts407e	Castra Teleport
zts408e	Dash Mandra Dash
zts409e	Iron Hammer Attack
zts410e	Falling Rocks Attack
zts411e	Spider Attack
zts412e	Black Meteorite Attack
zts413e	Skull Archer Fast Shooting
zts414e	Skull Archer Strong Shot
zts415e	Skull Hammer Attack
zts416e	Dust Death Fire Storm
zts417e	Fat Guard Gas
zts418e	Quest Beholder
zts419e	Pillow Hitting
zts420e	Dead Body Playing
zts421e	Sleeping
zts422e	Bored
zts423e	Lie Flat
zts424e	Bedding Exercise
zts425e	Tea-time
zts426e	Playing Tambourine
zts427e	Lean on you
zts428e	Forgive me
zts429e	Reading books
zts430e	Two-hand Swords Attack
zts431e	Attack from Warrior
zts432e	Triple Crash
zts433e	Attack Triple Hits
zts434e	Iron Skin
zts435e	Increases defensive power by making your skin as hard as iron in a short period of time
zts436e	Spin Blow
zts437e	Attacks using spinning-power from Wielding Sword
zts438e	Provoke
zts439e	Attracts the attention of enemies towards you
zts440e	Finish Blow
zts441e	Attacks enemies in a line plunging your sword into their body
zts442e	Shout Fear
zts443e	A menacing scream that strikes fear into the hearts of your enemies
zts444e	The more the number of enemies at higher level than you, the less it applies
zts445e	Shoulder Burst
zts446e	Bursts at the enemy dealing damage with your shoulder armor
zts447e	Puree
zts448e	Shout that encourages yourself and others
zts449e	Earth Shock
zts450e	Channels the energy of the sword into the earth to attack enemies
zts451e	Rising Dragon
zts452e	A powerful and destructive skill that uses the spinning power of your sword to strike enemies down
zts453e	Strong destructive power
zts454e	Cutting
zts455e	Basic Blade attack
zts456e	Cross Cutting
zts457e	Slashes your sword across the enemy
zts458e	Energy Blade
zts459e	Cuts through the earth attacking remote enemies
zts460e	Chain Attack
zts461e	Attacks with the series of three hits to confuse enemies
zts462e	Blade Protection
zts463e	Cuts off enemy attacks, increasing your energy
zts464e	Sword Storm
zts465e	Attacks like a storm with your sword
zts466e	Attack of Light Speed
zts467e	Move forward at light speed to attack
zts468e	Recovery Breath
zts469e	Meditation to recover physical and mental control
zts470e	Dead Hit
zts471e	Gathers all your energy to cut the area in a short cut
zts472e	Sharp Edge
zts473e	Makes your edge sharp
zts474e	Dancing Sword
zts475e	Your sword flies to kill enemies
zts476e	Hawk Eye
zts477e	Maintains hit rate for a while
zts478e	Head Shot
zts479e	Deals fatal damage with a focused shot
zts480e	Wind Walker
zts481e	Speeds up you or others for certain period of time
zts482e	Flash Bang
zts483e	Blinds enemies
zts484e	Triple Arrow
zts485e	A quick series of arrows to attack several enemies at once
zts486e	Range Boost
zts487e	Makes for a stronger attack on enemies at a distance
zts488e	Screw Bolt
zts489e	Deals damage to every enemy that touches it
zts490e	Covering Fire
zts491e	Fires arrows around you at random
zts492e	Rapid
zts493e	Reduces the cooldown time of a skill for a certain period of time
zts494e	Thunder Storm
zts495e	A storm of arrows rain down at a certain area
zts496e	Dagger Attack
zts497e	Basic Assassin attack
zts498e	Cri-up
zts499e	Increases the rate of critical hits by raising your concentration
zts500e	Slash
zts501e	Deals a strong rapid attack on enemies
zts502e	Deep Smog
zts503e	Decreases the hit rate of monsters by creating smog
zts504e	Throw Chain Hook
zts505e	Throws chain hook to pull in the enemy in front of you
zts506e	Jump to avoid the attack
zts507e	If you avoid it successfully, some amount of energy will be recharged
zts508e	Toma Hawk
zts509e	Attack enemies with flying spears
zts510e	Shadow
zts511e	Goes into hiding, but can be exposed after attacking or getting attacked
zts512e	Storm Slash
zts513e	A rapid spin with daggers in both hands to attack enemies
zts514e	Deadly Strike
zts515e	A sudden attack that deals deadly damage
zts516e	Use with Shadow for maximum efficiency
zts517e	Bomb
zts518e	Explodes a bomb at the feet while tumbling
zts519e	Same function as tumbling
zts520e	Skill of Red Magician
zts521e	Fire Burst
zts522e	Causes a small explosion to a certain target
zts523e	Fire Breath
zts524e	Blows fire that burns others
zts525e	MP Transfusion
zts526e	Burns some of your vitality to increase MP
zts527e	Fire Storm
zts528e	Burn others with Fire Storm
zts529e	Firelance
zts530e	Summons Spear Fire to penetrate enemies
zts531e	Fire Blessing
zts532e	Increase Fire elemental Energy and Resistance for yourself and your members
zts533e	Fire Wall
zts534e	Summons Fire Wall to attack enemies
zts535e	Meteor Swarm
zts536e	Summons meteorite that drops on enemies
zts537e	Inferno
zts538e	A strong fire column that comes up and makes gravity disappear
zts539e	Meteo Strike
zts540e	Summons a huge meteorite that destroys the target and its surroundings
zts541e	Holy Attack
zts542e	Sends a holy light ball to attack enemies
zts543e	Contains special magic that doesn't consume MP
zts544e	Healing
zts545e	Fills up the blood of a selected character
zts546e	Holy Light
zts547e	Holy light shines down from the sky dealing damage to enemies
zts548e	Mana Shield
zts549e	A shield around you
zts550e	Heaven Song
zts551e	Enemies around you lose their will to fight for a certain period of time
zts552e	Cure All
zts553e	Removes all bad effects cast on your members
zts554e	Turn Undead
zts555e	Deals fatal damage to Darkness Undead
zts556e	Group Healing
zts557e	Quickly recovers your member's vital powers
zts558e	Holy Weapon
zts559e	Blesses current weapon with Light element for a certain period of time
zts560e	Blessing
zts562e	Holy Hammer
zts563e	The Holy Hammer strikes down from the sky
zts564e	Love (Alt + Q)
zts565e	Hi (Alt + W)
zts566e	Grin (Alt + E)
zts567e	Laugh (Alt + R)
zts568e	Shy (Alt + T)
zts569e	Hehe (Alt + Y)
zts570e	Ooops (Alt + U)
zts571e	Ahhh (Alt + l)
zts572e	Embarrassed (Alt + O)
zts573e	Victory (Alt + P)
zts574e	What? (Alt + A)
zts575e	Kidding me? (Alt + S)
zts576e	Want (Alt + D)
zts577e	Shame (Alt + F)
zts578e	Angry (Alt + G)
zts579e	Will pay (Alt + H)
zts580e	Gotcha (Alt + J)
zts581e	Reflect (Alt + K)
zts582e	Tears (Alt + L)
zts583e	Cry (Alt + Z)
zts584e	Sob (Alt + X)
zts585e	Burning out (Alt + C)
zts586e	Cutie Boy (Alt + V)
zts587e	Cutie Girl (Alt + B)
zts588e	Hmmmm(Alt + N)
zts589e	Bleh ~ (Alt + M)
zts590e	Long Chin (Alt +,)
zts591e	Jerico Spining Kick
zts592e	Upgrade
zts594e	Increase physical ability by 30
zts595e	Increase speed by 30
zts596e	[Advanced] Course for Intelligence
zts597e	Increase intelligence : 35
zts598e	[Top course] Course of Intelligence
zts599e	Increase HP : 400
zts600e	Increase MP : 400
zts601e	[Advanced] Effective Attack
zts602e	Increase all attacking power : 20
zts603e	[Top] Effective Attack
zts604e	[Advance] Self-defense
zts605e	Increase all defense power : 20
zts606e	[Top] Self-defense
zts607e	Recover HP : 100
zts608e	Recover MP : 120
zts609e	Natural Healing
zts610e	With a more stylish effect
zts611e	Power of Skill becomes more powerful
zts612e	Shining Blade
zts613e	Tornado Upgrade 2
zts614e	Upgrade Power Magic Bullet
zts616e	Storm Crash
zts617e	Reinforcing resistance against element
zts618e	Sudden Attack
zts619e	Stun Shot
zts620e	Explosion Shot
zts621e	Flame Arrow
zts622e	Shining Arrow
zts623e	Attack weak points
zts624e	Ice auger
zts625e	Judgment of Light
zts626e	Magma Zone
zts627e	Magic Beam
zts628e	Breath of loser
zts629e	Jump of Chicken-King
zts630e	Cry of Chicken-King
zts631e	Increases nearby company's defense 1 level for certain period.
zts632e	Protects from critical blows
zts633e	Kicking
zts634e	Crying
zts635e	Jumping
zts636e	Power up the explosive magic bomb
zts637e	Mid-jump of Chicken-King
zts638e	Quick jump of Chicken-King
zts639e	Attack with bamboo sticks
zts640e	JajaMaru Boss Trap
zts641e	Shuriken Attack
zts642e	Shuriken Jump
zts643e	Flame fires
zts644e	Bomb drops
zts645e	Replace
zts646e	Stealth mode
zts647e	Summon Kamapakun
zts648e	Making Avatars
zts649e	Power of empty heart
zts650e	Power up the explosive magic bomb 2
zts651e	Ninja Shuriken Attack
zts652e	Stomping of Namaju
zts653e	Summon Namaju
zts654e	Attack of Gears
zts655e	Attack of Maple leaves
zts656e	Laser beams
zts657e	Summon Spirits
zts658e	Magic hands
zts659e	Poisonous Fog
zts660e	Flip-flop
zts661e	Attack of ghost archers of Kovolt
zts662e	Basic attack of JajaMaru. It quickly throws Shuriken to the enemies
zts663e	Jumps and throws several Shuriken against enemies
zts664e	Fire attacks to lined-up enemies
zts665e	Throws powerful bomb to the enemy and gives damage
zts666e	Teleports to certain point and leaves wooden pieces at the original place
zts667e	Hides the character. Will be exposed if attacking or getting attacks
zts668e	Rides on the summoned Kamapakun and attacks the nearby enemies
zts669e	Summons the avatar of JajaMaru, attacks the enemy and disappears
zts670e	The skill is effective only for Namaju
zts671e	Restore the power for certain period and give damage to Namaju
zts672e	Beast Dash
zts673e	Sudden attack of Kovolt warrior
zts674e	Evil woman's teleport
zts675e	Foggy poison
zts676e	Basic attack of Born Devil
zts677e	Blind of Born Devil
zts678e	Basic attack of Skull Hawk
zts679e	Basic attack of Death Lander
zts680e	Wheel wind of Death Lander
zts681e	Silence of Death Lander
zts682e	Phantom teleport of Death Lander
zts683e	Basic attack of Giant Knight
zts684e	Earth shock of Giant Knight
zts685e	Shouting of Giant Knight
zts686e	Shield stun of Giant Knight
zts687e	Basic attack of Dark Horn
zts688e	Fire star of Dark Horn
zts689e	Jump of Tri-angle
zts690e	Roar of Tri-angle
zts691e	Mid-jump of Tri-angle
zts692e	Quick-jump of Tri-angle
zts693e	Notuse
zts694e	Notuse
zts695e	Crossbow Shot
zts696e	Holy Bolt
zts697e	Triple Bolt
zts698e	siege mode
zts699e	Defense mode
zts700e	Pray of Recovery
zts701e	The Holy Cross
zts702e	Grow Shield
zts703e	Pray of Defense
zts704e	Pray of Offense
zts705e	Concentrate
zts706e	Swing the Pole arm
zts707e	Bash
zts708e	Over Face
zts709e	Sonic Rush
zts710e	Adrenaline Strike
zts711e	Frenzy Attack
zts712e	Big Swing
zts713e	Tornado Cutting
zts714e	Berserk
zts715e	Life and Death
zts716e	Armor Break
zts717e	Fire the Shotgun
zts718e	Fast Shot
zts719e	Lucky Wideshot
zts720e	Booster On
zts721e	Claymore
zts722e	Gas Shell
zts723e	Burst Shot
zts724e	Health Pack
zts725e	Boom Shot
zts726e	Fire Mine
zts727e	Hell Drop
zts728e	Throw the boomerang
zts729e	Snake Rush
zts730e	beast Claw
zts731e	Eagle Spirit
zts732e	Elemental Shining
zts733e	Circle Flying
zts734e	Wolf Spirit
zts735e	Elemental Down
zts736e	Ivy
zts737e	Bear Spirit
zts738e	Forest Power
zts739e	Ice Ball
zts740e	Ice Shard
zts741e	Freezing Blast
zts742e	Ice Lance
zts743e	Ice chain
zts744e	Frozen Shield
zts745e	Glacier
zts746e	Blessing of Water
zts747e	Big Hails
zts748e	Intense Cold
zts749e	Blizzard
zts750e	Crysos's bubbles
zts751e	Treekun's roots
zts752e	Holy Bless
zts753e	Triple Charging
zts754e	Shining Effect
zts755e	Concentrate
zts756e	Booster On
zts757e	Ice Rock
zts758e	Fire the Spell Revolver
zts759e	Combination Shot
zts760e	Magic Blitz
zts761e	Ghost Guard
zts762e	Curse Blitz
zts763e	Dark Force
zts764e	Possessed
zts765e	Ghost Charging
zts766e	Potion to Evil
zts767e	Requiem
zts768e	Ghost Invasion
zts769e	Stump attack
zts770e	Lichen electric attack
zts771e	Lichen recall
zts772e	Erikiriel javelin mode
zts773e	Mole attack
zts774e	Basilisk fossilization attack
zts775e	Moth powder attack
zts776e	Rectrace skill attack
zts777e	Graylander attack
zts778e	Graylander stern skill
zts779e	Crisos basic attack
zts780e	Mole cricket attack
zts781e	Concentrate
zts782e	Bomb explosion
zts783e	Bomb explosion 2
zts784e	Pushing stump
zts785e	Claymore explosion
zts786e	Skid basic attack
zts787e	Skid glacier
zts788e	Daisy basic attack
zts789e	Daisy gas Shell
zts790e	Seina basic attack
zts791e	Seina holy cross
zts792e	Big swing
zts793e	Over face
zts794e	Armor break
zts795e	It is the basic attack of Crusader.
zts796e	Enemies are defeated by holy spirit.
zts797e	Enemies are defeated by triple holy light arrows.
zts798e	The surrounding undead become weaker by holy light power.
zts799e	A selected company becomes stronger by holy light providence.
zts800e	Company is wrapped in holy light.
zts801e	Physical strength is recovered because of the effect.
zts802e	Light spirit explodes and the huge cross is made.
zts804e	Increase company's and your physical strength.
zts805e	Increase company's and your attack power.
zts806e	Enemies and surroundings are defeated by summoned holy cross.
zts807e	It is the basic attack of Destroyer.
zts808e	Fire away shotgun at enemies for defeating them
zts809e	Defeat surrounding enemies.
zts810e	As working booster, speed becomes fast in a moment
zts811e	Attack enemies and surroundings by exploding a special bomb.
zts812e	Poison enemies and surroundings by exploding a poison gas bomb.
zts813e	Shotgun's power is strengthened.
zts814e	Cure abnormal condition
zts815e	Attack enemies and surroundings by throwing a bomb.
zts816e	Fire mine rushes at enemies.
zts817e	The strongest bombs are fired at random.
zts818e	It is the basic attack of Blue magician.
zts819e	Defeat enemies by frozen ice pieces
zts820e	Freeze enemies by frozen magic
zts821e	Attack enemies by an iced spear
zts822e	Tie enemies to an iced chain
zts823e	Deface enemy's attack by iced shield
zts824e	Iced pillars rise up around the person who is casting the magic.
zts825e	Blessing of Water
zts826e	Receive a blessing of water
zts827e	Defeat enemies by huge hails
zts828e	Freeze enemies by powerful chilly draft
zts829e	Defeat enemies by powerful chilly storm
zts830e	Hellduke's skill
zts831e	HP is recovered because of the effect.
zts832e	Mystic Aron
zts833e	monster skill
zts834e	monster skill
zts835e	monster skill
zts836e	monster skill
zts837e	Mystic knight
zts838e	Maximize defense by creating a huge shield.
zts840e	Snowman basic attack
zts842e	Whitney's basic attack
zts843e	Whitney curse blitz
zts844e	Mystic knight dash
zts845e	Kupei's basic attack
zts846e	Kupei snake
zts847e	Justine's basic attack
zts848e	Justine big swing
zts849e	It is the basic attack of Berserker.
zts850e	It is the basic attack of Wild keeper.
zts851e	It is the basic attack of Dark gunner.
zts852e	It is the basic attack of Berserker.
zts853e	Strike opponent with a huge weapon.
zts854e	Strike enemy and surrounding by a weapon with dark element.
zts855e	Increase attack power by pulling out madness in mind, but
zts856e	Decrease defense power.
zts857e	Rush at enemy violently by pulling out madness.
zts858e	Beat enemy at random under madness.
zts859e	Beat enemy and surrounding at random under madness.
