zts1e	Best Service
zts71e	Can be used 3 times.[n]Can upgrade equipment even in a fixed level.[n]Can be used for weapons and equipment [n]
zts72e	Let's drink up!!
zts73e	99 Very big entire potion
zts74e	Buy 99 very big entire potion [n]
zts78e	Available in Nosmall only!!
zts79e	70 Springwater of Cylloan
zts80e	Recovers HP/MP by 3,000
zts84e	I am missing you, buddy~
zts85e	10 Wings of Friendship
zts86e	Can teleport to anyone who is registered as your friend.[n]Can only can be used when the friend is at a normal field.[n]To teleport, press the move button on the messenger.[n]
zts87e	Style yourself! So hot!!
zts88e	Wax A for Swordsman
zts89e	Above is an example of a swordsman. [n] There are other references for Archer and Sorcerer [n] [n] Ye~~ I have to be different from others. The same hair style? No thanks~~. I am unique and so is my hair style. Let's fashion my hairstyle into a piece of art [n] Adventurers can not use it.
zts90e	Wax A for Archer
zts91e	Above is an example of an Archer. [n] There are other references for Swordsman and Sorcerer [n] [n] Ye~~ I have to be different from others. The same hair style? No thanks~~. I am unique and so is my hair style. Let's fashion my hairstyle into a piece of art [n] Adventurers can not use it.
zts92e	Wax A for Sorcerer
zts93e	Above is an example of a Sorcerer. [n] There are other references for Swordsman and Archer [n] [n] Ye~~ I have to be different from others. The same hair style? No thanks~~. I am unique and so is my hair style. Let's fashion my hairstyle into a piece of art [n] Adventurers can not use it.
zts94e	You, Super good-look!!
zts95e	Wax B for Swordsman
zts96e	Above is an example of a Swordsman. [n] There are other references for Archer and Sorcerer [n] [n] Ye~~ I have to be different from others. The same hair style? No thanks~~. I am unique and so is my hair style. Let's fashion my hairstyle into a piece of art [n] Adventurers can not use it.
zts97e	Wax B for Archer
zts98e	Wax B for Sorcerer
zts99e	New Hair Color
zts100e	Red Hair-dye
zts101e	Dyes hair red.[n]
zts102e	Creates a unique color!
zts103e	Green Hair-dye
zts104e	Dyes hair green.[n]
zts105e	What beauty parlor?!
zts106e	White Hair-dye
zts107e	Bleaches hair white.[n]
zts108e	A revolution in hair color!
zts109e	Blue Hair-dye
zts110e	Dyes hair blue.[n]
zts111e	Looks great on you!
zts112e	Black Hair-dye
zts113e	Dyes hair black.[n]
zts114e	It's time for in-game PR!
zts115e	Creative self-introduction
zts116e	Write up a self-introduction that you can show to others.[n] (It shows up when you right-click) [n] Insert up to 60 letters in English[n]
zts117e	Megaphone to everyone
zts118e	12 Hi-High Speaker
zts119e	Delivers deliver your words to everyone in the server. [n] Your words will be shown in the chatt window,[n] [How to use] double click the speaker and insert your message.
zts120e	Your words lasts long
zts121e	Words Balloon
zts122e	Once made, the words will last for 30 minutes [n]But once made, the message cannot be changed[n]and it will disappear on disconnection[n] [How to use] Double-click the balloon and insert the message.[n] If you want to close it, insert '$close' in text. [n] If you insert new words before it is closed, the previous message will disappear.
zts123e	Girls say I'm so cute!!
zts124e	Skin of Partner Rhain
zts125e	Gives Rhain a good look [n] and increases speed by 2.[n] But skin can disappear when kept in the bead of the partner. [n]
zts126e	Hi. Are you falling for me?
zts127e	Skin of Partner Kevin
zts128e	Gives Kevin a good look [n] and increases speed by 2.[n] But skin can disappear when kept in the bead of the partner. [n]
zts129e	Nice dog of a historic family.
zts130e	Skin of Partner Kung
zts131e	Gives Kung a good look [n] and increases speed by 2.[n] But skin can disappear when kept in the bead of the partner. [n]
zts132e	Plus basic SP for 30 days
zts133e	Specialist Medal
zts134e	Good news for people who become specialists for at least one hour everyday [n][n] Daily basic SP point will be 10,000 + 30,000 points [n] So, totally 40,000 points. (If not totally used, 10% of the rest would be saved). Let's enjoy 40,000 points for every 30 days.
zts135e	Gift of Secret Partner Event
zts136e	Medal of Friendship
zts137e	The medal from the Secret Partner Event [n]When used, attack and job experience increase by 5%. [n] When making a party with the people with the medal, [n] an additional 5% of experience point will be added. [n] Can be used for 10 days.
zts138e	I thought it's enough
zts139e	99 Seeds of Chaos
zts140e	Purchase 99 Seeds of Chaos [n]
zts141e	My dignity falls to the ground!
zts142e	3 Potions for dignity
zts143e	Dignity restores to 100 [n]
zts144e	Make upgrade and betting safe!
zts145e	Protection Scroll
zts146e	Can reinforce or bet immediately [n] Even if reinforcing or betting fails, the equipment does not disappear. [n] If lower Lv. comes than current rare Lv. in betting [n] current Lv. is protected. [n] The window will come up to enable reinforcing or betting immediately. [n] [n] Commonly used for weapons and equipment [n] One will be consumed whether it's for reinforcing or betting. [n] [n]
zts147e	Scroll to release fixed Lv.
zts148e	Enables you to upgrade equipment at a fixed Lv. [n] Double-click scroll and then click the item [n] the fixed-level will be released. [n] Commonly used for weapons and equipment[n]
zts149e	5 Protection Scroll
zts150e	5 Scroll to release fixed Lv.
zts151e	New Fashion!
zts152e	Cat hat
zts153e	Resistance for all element increases 1 [n] All element power is increased by 10 [n]
zts154e	Special Choice
zts155e	Donkey hat
zts156e	It protects you from the scream of Mandragora with certain possibility.[n] HP increases 100 in max. [n] MP increases 50 in max[n]
zts157e	Gives great looking style
zts158e	Cowboy hat
zts159e	The possibility of giving 'critical blow' increase by 2%.[n]In critical blow, damage increases 10%.[n]The possibility of being hit by critical decreases  1%.[n]
zts160e	So cute
zts161e	monkey hat
zts162e	Protects you from the special effect with low possibility.[n] Protects you from - Lv.2 bad effect with 10% of possibility.
zts163e	Anyhow looks strong!
zts164e	Antelope-horn hat
zts165e	Max HP increases 200.[n]Max MP increases 200.[n]
zts166e	With fascinating fragrance
zts167e	Morning glory's hat
zts168e	The possibility of receiving the critical hit decreases  2%.[n] When receiving the critical blow, damage decreases  20%
zts169e	totter like baby
zts170e	Penguin hat
zts171e	All defense increase 15.[n] All attack increase 15.[n]
zts172e	shows antique style
zts173e	Old gentleman's hat
zts174e	Decreases 4% of damage to magic attack with 8% of possibility.[n]Decreases 4% of damage to long-range attack.[n]
zts175e	Most powerful but cute!!
zts176e	Big ear hair band
zts177e	Prevents you from specific effect with high possibility.[n] Increases Moral by 5.[n]
zts178e	Love the nature?
zts179e	Flower vase's hat
zts180e	Gives 70 additional damage to high level monster.[n] Gives 100 additional damage to high level animal.[n]
zts181e	Educate my pet smart ~
zts182e	Food for smart pet
zts183e	Once the pet eats this item, it has the ability to pick up the dropped item.[n] No need for continuous feed.[n]How to feed: Click the pet and double-click the food.[n][n][function] Your pet pick up the dropped item automatically[n](Working only in D mode), It picks up the owner's item only[n]Also character itself can pick up the item[n]The item comes into the owner's inventory[n][n][warning]If the pet is put into the bead, this function is cancelled
zts184e	The resistance for all element increases 1[n]All element power increases 10[n]This item can not be traded between users.[n]
zts185e	It protects you from the scream of Mandragora with certain possibility.[n] HP increases 100 in max. [n] MP increases 50 in max[n] This item can not be traded between users.[n]
zts186e	The possibility of giving 'critical blow' increase 2%.[n]In critical blow, damage increases 10%.[n]The possibility of receiving critical blow decreases  1%.[n]This item can not be traded between users[n]
zts187e	Protects you from the special effect with high possibility.[n] Protects you from - Lv.2 bad effect with 10% of possibility.[n]This item can not be traded between users[n]
zts188e	Max HP increases 200.[n]Max MP increases 200.[n]This item can not be traded between users[n]
zts189e	The possibility of receiving the critical hit decreases  2%.[n] When receiving the critical blow, damage decreases  20%[n]This item can not be traded between users[n]
zts190e	All defense increase 15.[n] All attack increase 15.[n]This item can not be traded between users[n]
zts191e	Decreases 4% of damage to magic attack with 8% of possibility.[n]Decreases 4% of damage to long-range attack.[n]This item can not be traded between users[n]
zts192e	Prevents you from specific effect with high possibility.[n] Increases Moral by 5.[n]This item can not be traded between users[n]
zts193e	Gives 70 additional damage to high level monster.[n] Gives 100 additional damage to high level animal.[n]This item can not be traded between users[n]
zts194e	NotUse
zts195e	NotUse
zts196e	NotUse
zts197e	NotUse
zts198e	NotUse
zts199e	NotUse
zts200e	NotUse
zts201e	NotUse
zts202e	NotUse
zts203e	NotUse
zts204e	Unlimited Usage!
zts205e	Huge 2-story warehouse (permanent)
zts206e	Can use all 56 slots, if built in Home Land.[n] Can use it permanently.[n]
zts207e	Let's decorate Terrace
zts208e	Pink Shelf
zts209e	Can be placed in Homeland terrace. [n]
zts210e	White Shelf
zts211e	Dining table (Beige)
zts212e	Dining table (Walnut)
zts213e	Dining table (Cherry)
zts214e	Dining table (Marble)
zts215e	Party Table (Orange)
zts216e	Party Table (Pink)
zts217e	Sculp of Happy Wolly
zts218e	Sculp of Merry Wolly
zts219e	Sculp of Jolly Fox
zts220e	Sculp of Twee Fox
zts221e	Fire Fairy ; Can grow up to 70.[n] Can not be traded when equipped[n]
zts222e	Water Fairy ; can grow up to 70.[n]Can not be traded when equipped[n]
zts223e	Light Fairy ; Can grow up to 70.[n]Can not be traded when equipped[n]
zts224e	Darkness Fairy ; Can grow up to 70.[n]Can not be traded when equipped[n]
zts225e	Fire Fairy ; Can grow up to 70.[n] Already 40, so don't have to raise from 1.[n]Can not be traded when equipped[n]
zts226e	Water Fairy ; Can grow up to 70.[n] Already 40, so don't have to raise from 1.[n]Can not be traded when equipped[n]
zts227e	Light Fairy ; Can grow up to 70.[n] Already 40, so don't have to raise from 1.[n] Can not be traded when equipped[n]
zts228e	Darkness Fairy ; Can grow up to 70.[n] Already 40, so don't have to raise from 1.[n]Can not be traded when equipped[n]
zts229e	Physical defense 4[n]Long-range defense 4[n]Resistance against magic 4[n] evasion 4[n]Resistances to all elements increase 1 [n]Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts230e	Physical defense 4[n]Long-range defense 5[n]Protects from the scream of Mandragora, when equipped.[n]Max HP increases 100[n] Max MP increases 50[n] Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts231e	Physical defense 3[n]Long-range defense 6[n]Resistance against magic 4[n]evasion 2[n]Possibility of making critical blow increases 2%[n]Damage of critical blow increases 10%[n]Decreases the possibility of receiving critical blow 1%[n] Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts232e	Physical defense 5[n]Long-range defense 3[n]Resistance against magic 1[n]Decreases the possibility of black out highly when equipped[n]Protects from bad effect of 2 Lv.-  with 10% of possibility.[n]  Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts233e	Physical defense 13[n]Long-range defense 13[n]Resistance against magic 13[n]Max HP increases 200[n] Max MP increases 200[n] Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts234e	Long-range defense 7[n]Resistance against magic 3[n]Evasion 2 [n]Decreases the possibility of receiving critical blow 2%[n]Decreases the damage of critical blow 20%[n] Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts235e	Physical defense 5[n]Long-range defense 5[n]Resistance against magic 5[n]evasion 5[n]All defense increase 15[n]All attack increase 15[n] Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts236e	Physical defense 1[n]Long-range defense 2[n]Resistance against magic 14[n]Decreases 4% of magic attack with 8% of possibility [n]Decreases 4% of long-range attack with 8% of possibility.[n]  Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts237e	Physical defense 12[n]Decrease highly the possibility of bleeding[n]Morale increases 5[n] Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts238e	Physical defense 2[n]Long-range defense 10[n]Resistance against magic 3[n]Gives additional 70 damage to high level devils. [n]Swordsman, archer, and sorcerer only can wear it[n] Can not be traded when equipped[n]
zts239e	Adventurer's knapsack for 10days
zts240e	NotUse
zts241e	Adventurer's knapsack for 30days
zts242e	Adventurer's knapsack for 60days
zts243e	Partner's backpack 10days
zts244e	Partner's backpack 30days
zts245e	Partner's backpack 60 days
zts246e	Pet's delivery basket 10 days
zts247e	Pet's delivery basket 30 days
zts248e	Pet's delivery basket 60 days
zts249e	Backpack set 10 days
zts250e	Backpack set 30 days
zts251e	Backpack set 60 days
zts252e	5 Blessing of Erenia
zts253e	10 Blessing of Erenia
zts254e	10 Blessings of Guardian Angel
zts255e	10 Blessing of Zenas
zts256e	5 Blessing set
zts257e	10 Blessing set
zts258e	40 Durability Recharge Coupon
zts259e	99 Durability Recharge Coupon
zts260e	10 Dual reward coupon
zts261e	10 Production Point Coupon
zts262e	30 Production Point Coupon
zts263e	Mysterious box A
zts264e	Mysterious box B
zts265e	Mysterious box C
zts266e	[n]
zts267e	Recharge durability easy way
zts268e	Can use by pressing Coupon use button on the Production field control window.[n] 300 Durability increase per one coupon.[n]
zts269e	Reward x2 in mini game!
zts270e	If you have a coupons in inventory, you will be asked if you want to use it. [n] By using it, you will get double reward on designated item.[n]
zts271e	Produce as much as you want!
zts272e	Production Point recharge agent 10 pieces
zts273e	500 Production Point increase per 1 coupon use. [n]Maximum limit 2000 Production Point[n]
zts274e	Production Point recharge agent 30 pieces
zts275e	Use all items in inventory.
zts276e	You can use all items in inventory.[n]for 10 days[n]It can't be used with medal.
zts277e	You can use all items in inventory.[n]for 30 days[n]It can't be used with medal.
zts278e	You can use all items in inventory.[n]for 60days[n]It can't be used with medal.
zts279e	Inventory to partner as well
zts280e	You can use additional inventory 50 space via Partner. [n] 10 days only [n]
zts281e	You can use additional inventory 50 space via Partner. [n] 30 days only [n]
zts282e	You can use additional inventory 50 space via Partner. [n] 60 days only [n]
zts283e	Let's use warehouse anywhere
zts284e	Can open warehouse anywhere by using pet.[n] 10 days only[n]
zts285e	Can open warehouse anywhere by using pet.[n] 30 days only[n]
zts286e	Use all items in inventory all at once.
zts287e	Purchase Explorer's backpack, Partner's backpack, and Pet's delivery basket at one time [n]
zts288e	Receive Ancelloan¡¯s blessing!
zts289e	5 Blessing of Ancelloan
zts290e	Battle experience and job experience are increased by 100%[n] for 1 hour. Without limit of level. [n]It can't be used with medal.
zts291e	10 Blessing of Ancelloan
zts292e	Blessings to Nosmate
zts293e	5 Blessing of Guardian Angel
zts294e	50% enhancement on Nosmate experience. [n] Speed +2 [n] use for 1 hour[n]
zts295e	Charm of double reward
zts296e	Come out, the great item!
zts297e	Get one of fierce mask A, [n] fierce mask B, [n] fierce mask C,[n]Bead of Bushtail, [n]Bead of Gladiator Bushtail,[n]Bead of Black Bushtail
zts298e	Get one of silence mask A, [n] silence mask B, [n] silence mask C,[n]Bead of Bushtail, [n]Bead of Gladiator Bushtail,[n]Bead of Black Bushtail
zts299e	Get one of eye bandage of abyss A, [n] eye bandage of abyss B, [n] eye bandage of abyss C,[n]Bead of Bushtail, [n]Bead of Gladiator Bushtail,[n]Bead of Black Bushtail
zts300e	Battle experience and job experience are increased by 100%[n] for 1 hour. Without limit of level. [n]
zts301e	Get one of fierce mask A, fierce mask B, fierce mask C, Bead of Bushtail, Bead of Gladiator Bushtail, Bead of Black Bushtail, [n] 5 cash items
zts302e	Get one of silence mask A , silence mask B, silence mask C, Bead of Bushtail, Bead of Gladiator Bushtail, Bead of Black Bushtail, [n] 5 cash items
zts303e	Get one of eye bandage of abyss A , eye bandage of abyss B, eye bandage of abyss C Bead of Bushtail, Bead of Gladiator Bushtail, Bead of Black Bushtail, [n] 5 cash items
zts304e	Bushtail as my pet
zts305e	Bead of Bushtail
zts306e	Can register cute Bushtails as my pet.[n]
zts307e	Bead of Gladiator Bushtail
zts308e	Bead of Black Bushtail
zts309e	Get one of fierce mask A, fierce mask B, fierce mask C,[n] Bead of Bushtail, Bead of Gladiator Bushtail, Bead of Black Bushtail, [n] Equipment protection scroll, Scroll to release fixed-Lv., Food for Smart pet[n]Springwater of Cylloan, Big SP point charger
zts310e	Get one of silence mask A , silence mask B, silence mask C,[n] Bead of Bushtail, Bead of Gladiator Bushtail, Bead of Black Bushtail, [n] Equipment protection scroll, Scroll to release fixed-Lv., Food for Smart pet[n]Springwater of Cylloan, Big SP point charger
zts311e	Get one of eye bandage of abyss A , eye bandage of abyss B, eye bandage of abyss C[n] Bead of Bushtail, smart Bead of Bushtail, Bead of Black Bushtail, [n] Equipment protection scroll, Scroll to release fixed-Lv., Food for Smart pet[n]Springwater of Cylloan, Big SP point charger
zts312e	Sending fairy's ability up!
zts313e	Fairy booster
zts314e	Sending fairy's ability up for 1 hour.[n]When you use fairy booster, You can't change the fairy before finishing the using time.
zts315e	Borrow a warehouse.[n]When you build it in your home, you can use 56 slots.[n] Since you built it, the using time has been spending.[n][Caution][n]You should prepare the other warehouse [n]because this warehouse disappears if the using time is expired.[n]If the other warehouse is smaller than this warehouse,[n] you can¡¯t take out some items. [n] Please arrange your items before the using time is expired.[n](It can¡¯t be traded.)[n][n]
zts316e	When you build it in your home, you can use 56 slots.[n]It is not limited.[n](It can¡¯t be traded.)[n]
zts317e	You can open warehouse everywhere through your pet[n]for 60days.[n
zts318e	5 fairy boosters
zts319e	Fairy¡¯s ability increases by 30% for 1 hour while you are equipping it.[n]It can be used into only charged fairies. Fairy's appearance changes after using it.[n]When you use fairy booster, You can't change the fairy before finishing the using time.[n]
zts320e	10 fairy boosters
zts321e	Overpower enemies!
zts322e	Fierce mask A
zts323e	The possibility of giving ¡°critical blow¡± increases by 1%. All attack power is increase by 10. [n] Short range: 5[n] Long range: 5[n] resistance against magic: 15[n] evasion: 0[n]
zts324e	Fierce mask B
zts325e	Fierce mask C
zts326e	Spiritual Eyes for chase
zts327e	Eye bandage of abyss A
zts328e	The possibility of being hit by critical decreases 2%. All element powers are increased by 10. [n]Short range: 5[n] Long range: 15[n] resistance against magic: 5[n] evasion: 0[n]
zts329e	Eye bandage of abyss B
zts330e	Eye bandage of abyss C
zts331e	Words are not necessary
zts332e	Silence mask A
zts333e	When receiving the critical blow, damage decreases 5%. The resistance for all elements increase 1.[n]Short range: 5[n] Long range: 5[n] resistance against magic: 15[n] evasion: 0[n]
zts334e	Silence mask B
zts335e	Silence mask C
zts336e	Brown punk hair
zts337e	For safety of upgrading a card
zts338e	Lower card protection scroll
zts339e	You can upgrade specialist card from 1st grade to 10th grade.[n] Even if upgrading ends in fail, shining green soul and shining red soul don¡¯t disappear and ¡°Destroying soul¡± doesn¡¯t happen. [n] [Usage][n]You fall into the effect by double-clicking.[n]If you double-click again, the effect disappears. [n](In this case, Item is not exhausted.)[n] When the card is upgraded under the effect of protection scroll, the 1 scroll is exhausted. [n]
zts340e	Upper card protection scroll
zts341e	You can upgrade specialist card from 11th grade to 15th grade.[n] Even if upgrading ends in fail, shining green soul and shining red soul don¡¯t disappear and ¡°Destroying soul¡± doesn¡¯t happen. [n] [Usage][n]You fall into the effect by double-clicking.[n]If you double-click again, the effect disappears. [n](In this case, Item is not exhausted.)[n] When the card is upgraded under the effect of protection scroll, the 1 scroll is exhausted. [n]
zts342e	Call back destroyed soul!
zts343e	Soul revival stone
zts344e	Revive the destroyed specialist soul[n] by clicking the destroyed card after you had double clicked the scroll.[n]Increase basic SP points by 1000 additionally.[n]
zts345e	A new start!!
zts346e	Point initialization potion
zts347e	Get back all status points which are expended on special list card.[n] You can use it by pressing ¡°Initialization button¡± in status window. [n]
zts348e	1 Lower card protection scroll
zts349e	5 Lower card protection scroll
zts350e	1 Upper card protection scroll
zts351e	5 Upper card protection scroll
zts352e	10 Charm of double reward
zts353e	Mysterious box set
zts354e	You can obtain 1 Mysterious box A , 1 Mysterious box B and 1 Mysterious box C. If you open the Riddle box, you can obtain one of various cash items, bead of bush tail and new mask. [n]
zts357e	I have a hunch that I will meet a big hit from the New Year!
zts358e	1 Handsel envelope
zts359e	You can get one of Lower card protection scroll, Medium Special Recharger, Blessing of Ancelloan, Scroll to release fixed-Lv., Equipment protection scroll, Specialist Medal, Very Big Entire Potion, Adventurer's knapsack, Springwater of Cylloan, Large Special Recharger, Helmet of a black knight, Mask of a black knight, Bead of Bushtail with a cold, Bead of lucky pig, and Bead of lucky rat. [n]
zts360e	10 Handsel envelope
zts361e	5 Handsel envelope
zts362e	1st anniversary medal
zts363e	It is valid for 15 days.[n][Main effect][n] Each volume of equipment, major and minor inventory volume will be increased by 4, total by 12.[n] The acquisition volume of experience will increase up to 10%.[n][Additional Effect][n] Experience points of the pet and partner will be increased by 10%. Attack/defense powers are increased up to 10%[n][n][Caution][n]You can¡¯t use it with Adventurer's knapsack.[n]You can¡¯t store it in the warehouse.[n]
zts364e	Lovely rat with a lucky bag~
zts365e	Bead of lucky rat
zts366e	You can have a lucky rat as your pet.[n][n] When the lucky rat attacks, it casts pest on an enemy at a certain probability. The enemy under the spell always receives a fatal blow for 6 seconds.[n]
zts367e	Sweet pink pig, which gives a blessing!
zts368e	Bead of lucky pig
zts369e	You can have a lucky pig as your pet.[n][n]Your attack/defense powers are increased up to 10% when it is companied with you.[n]
zts370e	Troublemaker, which gives a cold to the others!
zts371e	Bead of Bushtail with a cold
zts372e	You can have Bushtail with a cold as your pet.[n][n]When it attacks, it gives a cold to an enemy at a certain probability. Moving speed and defense level of the enemy gets cold are decreased. [n]
zts373e	My sweet Santa Claus!
zts374e	Bead of Santa Bushtail
zts375e	You can have Bushtail with a cold as your pet.[n]When it attacks, it gives a cold to an enemy at a certain probability. Moving speed and defense level of the enemy gets cold are decreased. [n]
zts376e	Impressed sharp eyes!
zts377e	Brown bear hat
zts378e	All attack powers increase up to 5%.[n]Maximum MP increases up to 200.[n]Swordsman, Archer, Sorcerer only.[n]Unisex. [n]Time is spent from equipping it first.[n]You can¡¯t transfer it after equipping.[n]
zts379e	Brown bear hat (7days)
zts380e	Brown bear hat (30days)
zts381e	Brown bear hat (Permanent)
zts382e	Nice V on the chest!
zts383e	Brown bear fancy dress
zts384e	All defense powers increase up to 5%. [n]Maximum HP increases up to 200. [n]Swordsman, Archer, Sorcerer only. [n]Unisex. [n] Time is spent from equipping it first. [n]You can¡¯t transfer it after equipping. [n]
zts385e	Brown bear fancy dress (7days)
zts386e	Brown bear fancy dress (30days)
zts387e	Brown bear fancy dress (Permanent)
zts388e	Captivating darkcircle!
zts389e	Panda hat
zts390e	Panda hat (7days)
zts391e	Panda hat (30days)
zts392e	Panda hat (Permanent)
zts393e	Fascinating white love handles!
zts394e	Panda fancy dress
zts395e	Panda fancy dress (7days)
zts396e	Panda fancy dress (30days)
zts397e	Panda fancy dress (Permanent)
zts398e	Seductive soft white fur!
zts399e	Ice bear hat
zts400e	Ice bear hat (7days)
zts401e	Ice bear hat (30days)
zts402e	Ice bear hat (Permanent)
zts403e	Soft white fur garment!
zts404e	Ice bear fancy dress
zts405e	Ice bear fancy dress (7days)
zts406e	Ice bear fancy dress (30days)
zts407e	Ice bear fancy dress (Permanent)
zts408e	So lovely sweet face!
zts409e	Teddy bear hat
zts410e	Teddy bear hat (7days)
zts411e	Teddy bear hat (30days)
zts412e	Teddy bear hat (Permanent)
zts413e	So lovely sweet figure!
zts414e	Teddy bear fancy dress
zts415e	Teddy bear fancy dress (7days)
zts416e	Teddy bear fancy dress (30days)
zts417e	Teddy bear fancy dress (Permanent)
zts418e	For you, Hip-Hop guy!
zts419e	Hip-hop Sportswear
zts420e	All defense powers increase up to 5%. [n]Maximum HP increases up to 200. [n]Swordsman, Archer, Sorcerer only. [n]Male only. [n] Time is spent from equipping it first. [n]You can¡¯t transfer it after equipping. [n]
zts421e	Hip-hop Sportswear (7days)
zts422e	Hip-hop Sportswear (30days)
zts423e	Hip-hop Sportswear (Permanent)
zts424e	The simple is the best~!
zts425e	Black & White
