zts1e	New Item
zts392e	A mask of a Kovolt. [n] Even if you attack a Kovolt miner, other Kovolts will not attack you [n][n]
zts393e	Antler Hat
zts394e	A hat to increase HP [n] Protects you from Mandragora's scream, at a certain probability [n][n]
zts395e	Plunger Hat
zts396e	Head Gear
zts397e	A gear to prevent bleeding, with a high probability [n][n]
zts398e	Stutter
zts399e	Headband for Oracle
zts400e	Pooh Pooh Hat
zts401e	Beanie Hat
zts402e	Water Buffalo Horn
zts403e	Rectangular-shaped glasses
zts404e	Winking Mask
zts405e	Bat Mask
zts406e	Single Eye Glasses
zts407e	X Mask
zts408e	Beard and Make-up
zts409e	Amulet for blocking All Hits
zts410e	Amulet for increasing Fire Energy
zts411e	Amulet for increasing Water Energy
zts412e	Amulet for increasing Light Energy
zts413e	Amulet for increasing Dark Energy
zts414e	Amulet for increasing Dark Energy
zts415e	First Chickie
zts417e	Second Chickie
zts418e	Third Chickie
zts419e	Amulet of Betting Protection (Weapon)
zts420e	Keep it in your inventory when betting. If betting fails, [n] this item will disappear instead of the weapon [n] (Can be used three times) [n][n]
zts421e	Amulet of Betting Protection (Equipment)
zts422e	Keep it in your inventory when betting. If betting fails, [n] this item will disappear instead of the equipment [n] (Can be used three times) [n][n]
zts423e	Amulet for Rare Rising
zts424e	Wear it when betting. +1 to current rare level[n] (No fail) [n][n]
zts425e	Amulet for reinforcing Level Fixed Weapon
zts426e	Keep it in your inventory to strengthen a weapon of fixed Level [n] Reinforcing will be done at the original rate. [n] But, you can get the level to be fixed again [n] If you succeed in reinforcing, the level will be released. [n] If you fail the item can disappear [n] You've been warned! [n] (Can be used twice) [n][n]
zts427e	Amulet for reinforcing Level Fixed Equipment
zts428e	Keep it in your inventory to strengthen equipment of fixed Level [n] Reinforcing will be done at the original rate. [n] But, you can get the level to be fixed again [n] If you succeed in reinforcing, the level will be released. [n] If you fail the item can disappear [n] You've been warned! [n] (Can be used twice) [n][n]
zts429e	[Elvin Knight]
zts430e	A sword with holy blessing energy [n][n]
zts431e	Glorious
zts432e	A sword with spiritual power [n] and equipped with all elemental energy and resistance ability [n][n]
zts433e	Balmung Hand
zts434e	A sword to attack cut down the opponent's resistance [n] and reduces the damage of critical hits [n][n]
zts435e	Red Finger
zts436e	A bow with the absorption of the opponent's vital power [n] Increases melee attack power and strong muscle power. [n][n]
zts437e	Green Peace
zts438e	A bow with energy from nature to generate strong power [n][n]
zts439e	Decent Hawk
zts440e	A bow with all kinds of energy [n] Helps owner to receive less magic damage [n][n]
zts441e	Red Sage
zts442e	A stick with fire energy [n] can steal opponent's spirits [n][n]
zts443e	Ghost Whisper
zts444e	A stick with deteriorated spirit. increase owner's elemental energy and decrease enemies' resistance
zts445e	Majester
zts446e	A wand used for wise men. They usually carry this to protect themselves [n][n]
zts447e	Blue Wise Robe
zts448e	Trial Robe
zts449e	Darling
zts450e	Doesn't grow, but contains 30 light energy [n]Blesses the character when it's a good mood[n][n]
zts451e	Sellaim
zts452e	Spirit of Fire. Grows up to Lv.70 [n] Non-tradable among users [n][n]
zts453e	Undine
zts454e	Spirit of Water. Grows up to Lv.70 [n] Non-tradable among users [n][n]
zts455e	Eperial
zts456e	Spirit of Light. Grows up to Lv.70 [n] Non-tradable among users [n][n]
zts457e	Turiq
zts458e	Spirit of Darkness. Grows up to Lv.70 [n] Non-tradable among users [n][n]
zts459e	Grown Sellaim
zts460e	Grown Undine
zts461e	Grown Eperial
zts462e	Grown Turiq
zts463e	Amulet of God's blessing
zts465e	Amulet of God's protection
zts467e	Amulet of reinforcing Fixed Level
zts468e	Can reinforce fixed level equipment. [n] Commonly used for weapons and equipment [n] (Can be used three times ) [n][n]
zts469e	Bead for keeping the pet
zts470e	Can be used to store your pet [n] and keep it in the inventory or warehouse. Can be traded with other users. [n] [How to use] [n] Choose the pet that you want to store and double-click it. [n] The pet following you cannot be kept. [n] To take the pet out, double-click it. [n] [Notice] The record of the pet is saved but the pet's name will disappear. [n] If the pet's level is higher than yours, [n] you can leave it at home but you cannot bring it in Nosmate. [n][n]
zts471e	Bead for keeping Partner
zts472e	Can put your partner in the bead [n] and keep it in the inventory or warehouse. Can be traded with other users. [n] [How to use] [n] Choose the partner that you want to put and double-click it. [n] The partner following you cannot be kept. [n] To take the partner out, double-click it. [n] [Notice] The record of the partner is saved but the partner's name will disappear. [n] If the partner's level is higher than yours, [n] you can leave it at home but you cannot bring it in Nosmate. [n][n]
zts473e	Special Card Carrier
zts474e	Can carry one special card of yours [n] Can be traded with other users. [n] [How to use] First, put on the special card to carry. [n] Double-click the card, and it will be released from your body to carrier. [n] If you want to take it out, double-click it. [n] [Notice] you cannot keep cards that you cannot wear. [n][n]
zts475e	Amulet to celebrate Nosmall Opening
zts476e	Scramer
zts477e	Kriss
zts478e	Winslet Cross Bow
zts479e	Balenty Cross Bow
zts480e	Plaz Spellgun
zts481e	Ray Spellgun
zts482e	Sentinel Look
zts483e	Breeze Step
zts484e	Brave Defender
zts485e	Splendid Defender
zts486e	Crasher
zts487e	A sword with hidden strong power [n][n]
zts488e	Piercing Force
zts489e	A short bow with great power to special species [n][n]
zts490e	Kais Staff
zts491e	A wand carried by outstanding magicians [n][n]
zts492e	Raid Jewelry Box
zts493e	What is there inside?? [n] Find out by double-clicking it [n] (In case of equipment item, [n] it comes out with the same rare level to the box.) [n][n]
zts494e	Good Oriharcon Necklace
zts495e	Ancient Oriharcon Necklace
zts496e	Good Oriharcon Ring
zts497e	Ancient Oriharcon Ring
zts498e	Good Oriharcon Bracelet
zts499e	Ancient Oriharcon Bracelet
zts500e	Ancient Crystal Necklace
zts501e	Ancient Crystal Ring
zts502e	Ancient Crystal Bracelet
zts503e	Ancient Diamond Necklace
zts504e	Ancient Diamond Ring
zts505e	Ancient Diamond Bracelet
zts506e	Flame Glove
zts507e	Storm Glove
zts508e	Divine Glove
zts509e	Death Glove
zts510e	Fire Shoes
zts511e	Wave Shoes
zts512e	Shine Shoes
zts513e	Shadow Shoes
zts514e	Radal's Red Ring
zts515e	One of the rings Radal cherished when he was alive. [n] Will be used for important missions. [n][n]
zts516e	Radal's Blue Ring
zts517e	Insoluble Glove
zts518e	A glove highly resistant to acid, [n] rarely oxidized [n][n]
zts519e	Simple Gold Necklace
zts520e	Refined Gold Necklace
zts521e	White Gold Ring
zts522e	Fashion Bracelet
zts523e	Mano Necklace
zts524e	Mano Ring
zts525e	Mano Bracelet
zts526e	Good Mano Necklace
zts527e	Good Mano Ring
zts528e	Good Mano Bracelet
zts529e	Luxurious Mano Bracelet
zts530e	Cat's Eye Necklace
zts531e	Cat's Eye Ring
zts532e	Cat's Eye Bracelet
zts533e	Good Cat's Eye Necklace
zts534e	Good Cat's Eye Ring
zts535e	Good Cat's Eye Bracelet
zts536e	Luxurious Cat's Eye Necklace
zts537e	Luxurious Cat's Eye Bracelet
zts538e	Crystal Necklace
zts539e	Crystal Ring
zts540e	Crystal Bracelet
zts541e	Good Crystal Necklace
zts542e	Good Crystal Ring
zts543e	Good Crystal Bracelet
zts544e	Luxurious Crystal Ring
zts545e	Luxurious Crystal Bracelet
zts546e	Diamond Necklace
zts547e	Diamond Ring
zts548e	Diamond Bracelet
zts549e	Good Diamond Necklace
zts550e	Good Diamond Ring
zts551e	Good Diamond Bracelet
zts552e	Luxurious Diamond Necklace
zts553e	Luxurious Diamond Ring
zts554e	Luxurious Diamond Bracelet
zts555e	Light Gloves
zts556e	A light glove but durable [n] Slightly increases dodge [n][n]
zts557e	Silk Gloves
zts558e	A soft and luxurious gloves filled with Magic spirit [n] Increases Magic Attack Power [n][n]
zts559e	Magic Gloves
zts560e	A glove filled with magic spirit. Increases MP [n][n]
zts561e	Light Gauntlets
zts562e	A glove with higher melee defense power than others [n][n]
zts563e	Fast Gloves
zts564e	A glove with no resistance to air [n][n]
zts565e	Battle Gauntlets
zts566e	A glove with higher melee defense power than others [n][n]
zts567e	Chain Gauntlets
zts568e	A glove highly popular among swordsmen [n][n]
zts569e	Flash Gloves
zts570e	Light Boots
zts571e	Boots covers up to the ankles [n][n]
zts572e	Fast Shoes
zts573e	Boots to help Increases your movement speed but has no defense power
zts574e	Chain Boots
zts575e	Boots with decent defense power [n][n]
zts576e	Skin Boots
zts577e	Boots known to be made of the skin of ancient devils [n] Absorbs magic attacks [n][n]
zts578e	Steel Boots
zts579e	Boots of Protection
zts580e	Boots of Wind
zts581e	Boots of Heavy Metal
zts582e	Oven Mitts
zts583e	A glove that protects hands from hot objects [n][n]
zts584e	Shiny Gloves
zts585e	A glove with light spirit to protect [n][n]
zts586e	Gloves of Wind
zts587e	A glove to feel cool like a gentle breeze over your hand. [n] Has power of dodge [n][n]
zts588e	Gloves of Resistance
zts589e	Gloves of Darkness
zts590e	A glove filled with dark energy [n][n]
zts591e	Black Shoes
zts592e	Water Shoes
zts593e	A glove with additional water elemental resistance [n][n]
zts594e	Spot Boots
zts595e	Boots filled with light energy [n][n]
zts596e	Flame Boots
zts597e	Boots filled with fire energy [n][n]
zts598e	Boots of Deep Sea
zts599e	Boots filled with dark energy [n] Increases resistance to light [n][n]
zts600e	Fairy of Fire element
zts601e	[Element Ability of Fairy] The longer you keep the fairy in a battle, the more the fairy's powerful element ability increases [n] Elemental energy is additional attack power. [n] and adds % of elements ability to the player's attack power. [n] [Fairy's Feeling] In the beginning, it doesn't feel too good [n] and gives a little of its ability. [n] However, as time goes by, it feels better and shows its full power. [ Fairy's Appetite] After the Fairy feels good, it starts looking for food every 30 minutes [n] At that time, if you do not have any food in your inventory, [n] it will start feeling bad again. [n] So, to keep your fairy happy, [n] always have some food in your inventory. [n][n]
zts602e	Fairy of Water Element
zts603e	Fairy of Light Element
zts604e	Fairy of Dark Element
zts605e	[Pajama Card]
zts606e	Let's enjoy life! [n] Why so serious? Don't worry, be happy!! [n][n]
zts607e	Warrior Card
zts608e	Fire Element Specialist Card[n][n]We march only forward. [n] This strong fighter has a two-handed sword and [n] cleans up the battlefield [n][n]
zts609e	Blade Card
zts610e	Water Element Specialist Card[n][n]Look in the swordsman's eyes [n] They are filled with violence and rage. [n] Whatever stands in his path, [n] will fall under his sharpened sword. [n][n]
zts611e	Ranger Card
zts612e	Water Element Specialist Card[n][n]A storm of arrows rain down like thunder. [n] The world's best hunter with quick hands [n][n]
zts613e	Assassin Card
zts614e	Dark Element Specialist Card[n][n]A violent temper hidden behind the shadow of darkness. [n] This wounded beast never loses it's target. [n][n]
zts615e	Red Magician Card
zts616e	Fire Element Specialist Card[n][n]The symbol of destruction and downfall. [n] He sold his soul to get the burning flame. [n][n]
zts617e	Holy Mage Card
zts618e	Light Element Specialist Card[n][n]The protector of light, order and balance. [n] This wise magician respects Erenia's will. [n][n]
zts619e	Melee Weapon for Partner
zts620e	Ranged Weapon for Partner
zts621e	Magic Weapon for Partner
zts622e	Defense Equipment for Partner (Mental)
zts623e	Defense Equipment for Partner (Speed)
zts624e	Defense Equipment for Partner (Physical)
zts625e	Pulling Lever (Before)
zts626e	Old Box
zts627e	Small HP Potion
zts628e	Recovers HP of player and Nosmate [n][n]
zts629e	Medium HP Potion
zts630e	Big HP Potion
zts631e	Small MP Potion
zts632e	Medium MP Potion
zts633e	Big MP Potion
zts634e	Small Entire Potion
zts635e	Medium Entire Potion
zts636e	Big Entire Potion
zts637e	Very Big Entire Potion
zts638e	Seed of Chaos
zts639e	Can be used for situations like: [n] 1. To return to your current location after respawn: 10 seeds [n] 2. To enter TimeSpace : designated number [n] 3. To revive your pet and or partner after they die: 5 seeds [n] 4. To cancel current mission: 5 seeds [n][n]
zts640e	Gillion Stone
zts641e	Can be refined to obtain Soul Gem, Cellon and Crystal [n] To refine it, purchase a refiner and double-click it. [n][n]
