zts1e	Training for Rookie Adventurer
zts187e	Catch Skulletons, Golems and DustDeaths, and collect marbles of Darkness
zts188e	Give the blanket to Pajama !
zts189e	Collect wool to make a blanket
zts190e	Give a pillow to Pajama !
zts191e	Collect feathers of Super Chicken
zts192e	Talk with Pajama fairy
zts193e	Have collected all feathers. Talk with Pajama fairy again
zts194e	Give a bed to Pajama !
zts195e	Collect 40 tree sticks in low-quality
zts196e	Give a mat to Pajama !
zts197e	Catch soft Sling, and collect Latex Jelly
zts198e	Talk with Pajama fairy
zts199e	Made a mat. Talk with Pajama
zts200e	Clear the mission of TimeSpace delivered by Pajama fairy
zts201e	what adventure is awaiting?
zts202e	Talk with impertinent Pajama fairy
zts203e	Deadly Defeated by Pajama! Can not forgive it!!
zts204e	Find Dark Stalin's heart!
zts205e	Enter the Stone of TimeSpace and find heart of Dark Stalin
zts206e	Go back to Soul stone
zts207e	Found the heart. Go to Soul stone and talk
zts208e	Find the bone of Dark Stalin
zts209e	enter the Stone of TimeSpace and find the bone of Dark Stalin
zts210e	Go back to Soul stone
zts211e	Found the strange sword instead of bone, Go back to talk
zts212e	Knock down Dark Stalin !
zts213e	It's the last page of old grudge. Enter the Stone of TimeSpace.
zts214e	Talk with Soul Stone
zts215e	Knocked down Dark Stalin. Go back to talk
zts216e	Collect lilies
zts217e	Collect 100 lilies. Catch the Monster of similar level
zts218e	Collected all lilies. Go back to Soul Stone
zts219e	Holymage must be pleased
zts220e	Chase Assassin !
zts221e	Chase Assassin and enter the Stone of TimeSpace
zts222e	Save Blade
zts223e	Save the Blade after entering the TimeSpace through Soul stone
zts224e	Go back to Soul Stone
zts225e	Saved Blade. Go back
zts226e	Misunderstanding & Truth
zts227e	enter the Stone of TimeSpace
zts228e	Tell the truth to Blade
zts229e	Nosmall opening Event !
zts230e	Catch the monster of same level or above and collect balloons
zts231e	Secret of laboratory
zts232e	[Laboratory explore 1] Search for the secret material in Hidden Stone of TimeSpace
zts233e	[Laboratory explore 2] Search for the secret material in Hidden Stone of TimeSpace
zts234e	[Laboratory explore 3] Search for the secret material in Hidden Stone of TimeSpace
zts235e	Wait with Radal's will on the 3rd floor until guardian comes up
zts236e	Give rest to poor Radal !
zts238e	Preparation of beginner adventurer
zts240e	Let's convert a chicken into your pet, using capture skill
zts241e	Let's hunt Weak Seedle with your pet
zts242e	Let's ask about training and skill to Sellbig Beginner
zts244e	Let's go to Alchemy Association
zts245e	Let's go to the tool shop
zts246e	Let's go to the mart to buy groceries
zts247e	Adventure of Stone of TimeSpace
zts248e	Go to Stone of TimeSpace in upper town
zts249e	Instead of Sam, Let's go out to patrol on north prairie
zts250e	Preventive measures against Infectious disease
zts251e	Remove the cause of terrible infectious disease
zts252e	Remove the cause of terrible infectious disease
zts253e	Root out the terrible infectious disease
zts254e	Strong Undead
zts255e	Terminate Undead!
zts256e	Report to Sam, young Guard member
zts257e	Grant a favor to the Guard member
zts258e	Report to Jim, Guard member
zts260e	Follow the arrow. Let's check it out
zts261e	Feels like something is wrong. Let's have a talk with Eril
zts262e	Make refined gold necklace, using production tool
zts263e	Lets meet Ms.Celloin, the accessories expert
zts264e	Bring the lunch box to Sellbig
zts265e	Let's find out what Raul asks for
zts267e	Let's talk with Raul
zts268e	Vellochika calls urgently. Let's meet her
zts269e	Let's get Vellochika the material she wants
zts270e	Collected all the materials. Let's give them to Vellochika
zts271e	Ominous shadow on Milano
zts272e	Block the monsters on north prairie
zts273e	Remove dangerous beasts and plants on north prairie
zts274e	Now, it's all cleaned up. Let's go to NosCamp
zts275e	Complete all preparations and report to Eril.
zts276e	Get the things Eril asked for
zts277e	Let's terminate monsters in Western mine area
zts278e	Kovolt in mines
zts281e	Collected all hammers. Let's talk to Mudog again
zts282e	Let's get the hammer to BillSmith
zts283e	Let's drop by NosCamp
zts284e	Let's get the next mission from Mudog
zts285e	Enter the mine, and overhear Kovolts' conversation in Kovolt mask
zts286e	Inspect the area the miners pointed out
zts287e	Let's go back to the village and report to Eril
zts288e	Get the shoes of Adventurer and give it to Raul
zts289e	Save Raul's uncle in 1st mine
zts290e	Inspect Kovolt's plan in Kovolt mask
zts291e	Kovolt General-strike !
zts292e	Let's inform Mudog of Kovolt's strike
zts293e	Break Kovolts' strike!
zts294e	Let's talk with Mudog again
zts295e	Go to the strike place and see what is happening there
zts296e	Let's talk with Eril regarding Kovolts' requests
zts297e	Waiting for Sir.Lopello's response.
zts298e	Let's see what response comes
zts299e	New Meeting
zts301e	Let's check up the strange sounds in western mine area
zts302e	Let's look around
zts303e	Get a Guard's weapon from Bill
zts304e	Let's go the the place where the guard was dispatched
zts305e	Let's ask Sellbig to translate contents of dark slate
zts307e	Pull back slowly and terminate monsters
zts308e	Terminate monsters with Rhain
zts309e	Report to manager
zts310e	Terminate Kovolts in 2nd mine
zts311e	Report to manager
zts312e	Save Krispo!
zts313e	Let's terminate Kovolts' main troop, with guard members !
zts314e	Invincible enemy
zts316e	Let's talk to Vellochika about Fairies.
zts317e	Talk with Sam
zts319e	Let's find out how monsters are continuously coming out
zts320e	Let's talk to NosCamp about Devil King Dark
zts321e	Let's inform Guard of this news
zts322e	Suspicious guard
zts323e	Find Guard Captain on Morning Prairie
zts324e	Serve Guard Captain with breakfast
zts325e	Look around while Guard Captain has a meal
zts326e	Find the cigarette case which commander lost
zts328e	Ask to Guard about Kevin
zts329e	Ask to Sellbig
zts331e	Get Morgan what he wants
zts332e	Let's capture the animal Morgan wants
zts333e	Let's hear about gathering point from Morgan
zts334e	Let's go to the gathering point of guards
zts335e	rival
zts337e	Let's ask to Raul about.
zts338e	Let's get the leaves from fragrant grass on Northern prairie
zts340e	Let's get Mandra leaves from Herbi Mandra
zts341e	Let's Ask Raul to make Chasing perfume
zts342e	Let's deliver Chasing perfume to Morgan
zts345e	Let's trace Kevin
zts346e	Let's follow requests of Jerico
zts347e	Let's terminate monsters nearby
zts348e	Let's locate the guards
zts349e	Let's get the training from Jerico
zts350e	Let's show Jerico our patience
zts351e	Let's get through the first gate
zts352e	Let's report to Jerico about result
zts353e	Let's move to challenge place with Kevin
zts354e	Let's report to Jerico about challenge result of Kevin's
zts355e	Gray storm !!
zts356e	Let's go back to NosCamp
zts357e	Let's get some wheat on Morning prairie
zts358e	Get Mandragora to produce potion
zts359e	Get some Steel from Mudog
zts360e	Get some Steel ore in mine
zts362e	Let's report to Eril about result
zts363e	Let's go to Morning prairie as a front troop
zts364e	Let's join the battle against Kovolts
zts365e	Let's inform NosCamp of current situation
zts366e	Let's inform defense camp at temple gate of current situation
zts367e	Fight against Kovolt soldiers !
zts368e	Report to defense camp that mission is completed
zts370e	Whirl of wars
zts372e	Locate guard
zts373e	Remove log
zts374e	Let's move to the gathering place of guards
zts375e	Let's deliver the document to Baymen
zts376e	Let's spread magic powder on small red plate
zts377e	Koaren resumed attacking ! Let's fight against it
zts378e	Let's go to guard camp
zts379e	Impossible requests of Baymen
zts380e	Requests of Morgan
zts381e	Let's go to west mine area
zts383e	Let's go to west mine area again
zts384e	Report to Baymen about situation
zts385e	friend and enemy
zts386e	War outbreaks ! Join it !!!
zts388e	Let's find out if Morgan has a seal
zts389e	Let's deliver the sword to Baymen
zts390e	Inform the guard of news about Demon
zts391e	Secure a attack route of guard
zts392e	Return to guard camp
zts393e	Return to NosCamp
zts395e	Let's get the bribe for sir. Crescendo
zts396e	Get the Bloody-shiny Red Ruby
zts399e	Get the information after getting into the enemy's camp
zts400e	Deliver the information to NosCamp
zts401e	Deliver the information to guard camp
zts402e	Terminate enemies in the middle of their camp
zts403e	Report to guard camp
zts404e	Disunion and Betrayal
zts405e	Chase the Koaren !
zts406e	Move to Koaren through the pathway in roots
zts408e	Let's hunt Baby Dander
zts409e	Let's hunt Dander
zts410e	Get the second pet, Happy Woolly
zts411e	Let's collect Red Fruit in North prairie
zts412e	Let's meet Mudog at entrance of mine
zts413e	Let's get a wood hammer after entering Stone of TimeSpace
zts414e	Let's get an ore from Kovolt miner
zts415e	Let's get a pickaxe from Kovolt miner
zts416e	With guard, block the Devils attack
zts417e	Let's check Morning prairie
zts418e	Let's move to meet Kevin
zts419e	Let's ask to BillSmith
zts420e	Let's collect Sniffer at the entrance to Temple
zts421e	Let's follow an arrow
zts422e	Let's Talk with Sellbig
zts423e	Let's talk with Eril
zts424e	Let's consult Raul with collected material and documents
zts425e	Let's deliver the Ruby to Morgan
zts426e	Let's pass the second gate
zts427e	Let's pass the third gate
zts428e	Battle started in north mine ! Let's join together !!!
zts429e	Let's deliver the cigarette case
zts430e	Let's move to well in west mine area with the empty bottle
zts431e	Let's terminate Red Golem in a underground dead pit
zts432e	Let's ask to Morgan how to do it
zts433e	Get a small Bloody-shiny Red ruby in Stone of TimeSpace in 37th level
zts434e	Follow an arrow in north prairie
zts435e	Conversation with guard Jim
zts436e	Let's talk with BillSmith
zts437e	Let's talk with Vellochika
zts438e	Catch up with Koaren
zts439e	Get a clue in fighting against Kenko soldiers
zts440e	Let's ask Raul if he has something special
zts441e	Let's get a new clue again
zts442e	Let's ask Raul to translate mark on the black Slate
zts443e	Let's move a place of HellDog
zts444e	Let's get a necklace of HellDog
zts445e	Search the sculptor with open mouth in a underground dead pit
zts446e	Talk with servant of Demon
zts447e	Get a whiskers of blue mole
zts448e	Let's enter place where Koaren and Kenko meet each other
zts449e	In order to find treasure in mystery
zts450e	Let's deliver the magical material to Raul
zts451e	In order to find new treasure
zts452e	Let's deliver material for food to Vellochika
zts453e	Let's hear from Sam about treasure
zts458e	Let's deliver superset to Sam
zts460e	Let's deliver treasure to Eril
zts461e	Move to isolated room on 1st floor in temple
zts462e	Save arrested spy
zts463e	New alliance
zts465e	Report to spies what happened
zts466e	Let's catch Kenko and get a sample
zts468e	Save Koaren unit
zts469e	Ask for advice from Raul
zts470e	Absorb the energy of Kenko unit with funnel and get Mirage marble
zts471e	Go to the tower of Deserted tower of wizard which is next to the temple
zts472e	Let's deliver this to Raul
zts473e	Sneak to unit's base camp through the gate
zts477e	Report to spy
zts478e	Fernon's tree
zts479e	Sneak to Kenko's hangout
zts482e	Let's ask Raul about Evil Circle
zts483e	Get red-branches on the 1st floor of temple
zts485e	Move to whirlpool passage in East
zts487e	Cut off the first stream of energy
zts489e	Cut off the second vein of ground
zts491e	Cut off the third stream of energy
zts493e	Cut off the fourth vein of ground
zts494e	Move to the top floor of temple
zts495e	Fight against tied soul
zts497e	Let's rush to Fernon's Heart
zts498e	Let's rush to Fernon's Root
zts499e	Search for Blue More in a deserted mine
zts500e	Search for Koaren's trace down the street
zts502e	Let's find the treasure in temple Fernon B1
zts503e	Find the second treasure
zts504e	Find the third treasure
zts505e	Find the forth treasure
zts506e	Let's give the sample to spy
zts507e	Move to Rocking-rolling well in West mine area
zts508e	Investigate the area of Temple B1
zts509e	Move to North exit of Temple B1
zts510e	Move to East exit of Temple B1
zts511e	Move to West exit of Temple B1
zts512e	Go to the Holy altar (8th floor of Tower of Wizard)
zts513e	Let's go to Temple B 2 to follow Kung
zts514e	Let's ask how to seal Fernon from Kung
zts515e	Terminate Devils
zts516e	Let's go to the spy
zts517e	Let's go to Zigzag pathway on temple B 2
zts518e	Get the gem of light element on 2nd and 3rd floors of temple
zts519e	Get the gem of dark element on 4th and 5th floors of temple
zts520e	Get the gem of water element on 6th and 7th floors of temple
zts521e	Get the gem of fire element on 8th and 9th floors of temple
zts522e	Get the treasure back from Sellbig
zts523e	JajaMaru Quest
zts524e	Let's ask about that strange rock.
zts525e	Let's order Bill Smith to make a huge iron hammer.
zts526e	Deliver raw materials to Bill Smith.
zts527e	Hand this huge iron hammer to Kovolt worker.
zts528e	Let's help Kovolt worker to destroy meteorite.
zts529e	Hunt the wild monsters around meteorite
zts530e	Check the Tombstone quickly
zts531e	Check the stone which has relationship with the vision
zts532e	Check the stone in shape of peaked hat
zts533e	Trace down Namaju
zts534e	Let's ask Raul Endinel about the essence of spirit
zts535e	Let's go to Vellochika to get the fairy dung
zts536e	Let's give the spice for cooking to Vellochika
zts537e	Let's give the fairy dung to Raul Endinel
zts538e	Let's go back to Sellbig
zts539e	Search the hair pin of Princess Sakura
zts540e	Break the seal of Princess Sakura
zts541e	Return the request of Cellion
zts542e	Get the essence of spirit
zts543e	Give the essence of the spirit to Cellion
zts544e	Fulfill the request of Cellion
zts545e	Give the raw material to Bill Smith
zts546e	You have collected the essence of the spirit. Go back to Cellion.
zts547e	Hurry to check the tombstone
zts601e	Hunt monsters below
zts602e	Let's make the branch of Noscamp at Mt. Krem!
zts603e	Let's talk with the village chief of Koaren
zts604e	Sprinkle the pure juice of fruit at the left side of the statue in Mt. Krem
zts605e	Sprinkle the pure juice of fruit at the right side of the statue in Mt. Krem
zts606e	Ask about the broken statue
zts607e	Collect the clay to make a statue
zts608e	Make a statue
zts609e	Bring the completed statue
zts610e	Report how it has been done
zts611e	Deliver the message that NosCamp will be established
zts612e	Repair the damaged guard post
zts613e	Plant the lawn nearby
zts614e	Smooth out the rough ground
zts615e	Let's hand over the treasure map
zts616e	Let's go the point the treasure map marks and get the treasure!
zts617e	Let's hand over treasure
zts618e	Let's go to 'Quickie Collin'
zts619e	Let's go and find Dryad in vertical Cave
zts620e	Let's ask about Dryad's location
zts621e	Terminate all Dryads
zts622e	Let's report about Catsy
zts623e	Let's look for Catsy
zts624e	Let's get out of reach of devils' attack
zts625e	Let's ask about the location of Catsy
zts626e	Let's search the moving path of Catsy
zts627e	Kovolts and Catsy
zts628e	Let's go and meet the source of information
zts629e	Let's meet the source
zts630e	Let's destroy devils nearby desolate Cave
zts631e	Report to Demon's servant
zts632e	Ask how to make the hat Demon's servant requested
zts633e	Get the power of shining rocks
zts634e	Hand over the shining power
zts635e	Deliver the raw material to Sandra
zts636e	Go to get the information
zts637e	Go to the place Catsy comes often
zts638e	Show the clue and get the information
zts639e	Go to the end of 'Twilight cliff' of Mt. Krem
zts640e	Ask to make 'Red mask'
zts641e	Let's find Charlotte in 'Foggy valley'
zts642e	Terminate the devils in 'Foggy valley'
zts643e	Locate Charlotte
zts644e	Ask the location of Charlotte
zts645e	Ask the location of 'Underground prison'.
zts646e	Get the tooth of beast from 'Cave of training'
zts647e	hand the tooth of beast
zts648e	Rescue Charlotte from 'Underground prison'
zts649e	Resurrection of Kenko
zts650e	Let's find the precious treasure
zts651e	Let's bring the precious pot
zts652e	Let's go to find Cenil
zts653e	Ask for the solution
zts654e	Deliver the message of Koaren to Cenil
zts655e	Let's go back to Noscamp branch in Mt. Krem
zts656e	Let's go to find Kovolt magician
zts657e	Ask about Kenko
zts658e	Find the spy of Kenko at Mt. Cave No.6
zts659e	Find the spy of Kenko at Mt. Cave map No.6
zts660e	Shows the parts of the letter
zts661e	Block the plan of Kenko
zts662e	The death of Kenko
zts663e	Go to the entrance of Fernon temple and catch the bug 'Sniffer'.
zts664e	Ask about the perfume of Charlotte
zts665e	Trace down the smell and move to B1 of Shanera dungeon
zts666e	Terminate all devils around
zts667e	Search for Charlotte there
zts668e	Get separate from Princess Patrisha and trace down Charlotte
zts669e	Search for 'suspicious wall paper'
zts670e	Search for the secret place
zts671e	Pacify angry RoseBud knights
zts672e	Check the place RoseBud knight pointed out
zts673e	Trace down Kenko
zts674e	Search for the magic net of 'Hidden alter'
zts675e	Snatch the hammer from 'Human-head monster'
zts676e	Destroy 'Statue of crying'
zts677e	Destroy 'Labyrinth of pain'
zts678e	Get Black diamond
zts679e	Ask to repair the key
zts680e	Go to 'Hidden alter'
zts681e	Rescue Charlotte and protect seal of Fernon
zts682e	Get the catch net of 'Sniffer'
zts683e	Move to the designated location
zts685e	Challenge it ! TimeSpace Score!!
zts687e	Clear TimeSpace with higher score than required one (Set the mode to 'Record Challenge')
zts688e	Investigate the Fastone Lab
zts689e	Meet Sandra at Noscamp in Mt. Krem
zts690e	Meet the patron of Koaren
zts691e	Meet Sandra
zts692e	Move to the lab
zts693e	Complete the Stone of Time Warp at 76 lv.
zts694e	Explain Sandra what happened at the Lab
zts695e	Ask for guard to Alex Reef
zts696e	Complete the Stone of Time Warp at 67 lv.
zts697e	Find the Radal's testament
zts698e	Report Sandra about your investigation on the lab
zts699e	Everybody looks strange
zts700e	Find the best person who knows about accessories
zts701e	Locate Catsies to learn about Radal's ring
zts702e	Track down Catsy
zts703e	Find a person who knows about Pearl of the dusk.
zts704e	Go to the Stiff Cliff
zts705e	Get Cold Heart.
zts706e	Collect Pure Wildflower, and Passion Wildflower 10 each.
zts707e	Put collected elements into the mouth of Crab-statue.
zts708e	Complete the Stone of Time Warp at 68 level
zts709e	Tell Sharlottes about the location of the Pearl of the Dusk.
zts710e	Get water for vase.
zts711e	Bring the water bottle to Sharlotte
zts712e	Look around Milano town
zts713e	Hunt 99 Brown Lizard
zts714e	Check with Eril
zts715e	Hunt Racoony Bird, then get 99 the tail of racoony bird.
zts716e	Answer Sellbig's call.
zts717e	Hunt 99 each of Stone Hammer Stump and Stone Axe Stump
zts718e	Check with Sellbig
zts719e	Hunt 99 Wood Zombie
zts720e	Find out the root cause of water pollution
zts721e	Hunt down 99 leaches and 99 king leaches
zts722e	Get fresh water
zts723e	Hand over the fresh water to Sharlotte
zts724e	Check the status of Milano town
zts725e	Look out. Something is approaching
zts726e	Investigate the lab in detail
zts727e	Report about what you investigated on lab
zts728e	Collect Pure Wildflower, and Passion Wildflower
zts729e	Put collected elements into the mouth of Crab-statue.
zts730e	Get the Pearl of Dusk from Thousand-year-old-clam
zts731e	Report the location of the Pearl of Dusk
zts732e	Bring 'a little polluted' water to Sharlotte
zts733e	Bring 'polluted' water to Sharlotte
zts734e	Bring 'very polluted' water to Sharlotte
zts735e	Get Racoony tail from Racoony bird, as Eril asked.
zts736e	Hunt down Stump, as Sellbig asked.
zts737e	Hunt down Wood zombie, as Sellbig asked.
zts738e	Get rid of leaches, which erases tracks.
zts739e	Mysterious ore
zts740e	Find Jack's bee ranch
zts741e	Introduce each other with the young man
zts742e	Hear what Jack says
zts743e	Find out why deers doesn't come to Jack any more
zts744e	Hand the bell to Jack.
zts745e	Find the evil who made deers to monsters
zts746e	Get rid of the evil who made deers to monsters
zts747e	Explain Jack why deers become wild.
zts748e	Answer Rodie's call
zts749e	Need advice from a man knows about the Mysterious Ore
zts750e	Locate the Mysterious ore
zts751e	Find the Mysterious ore from Monsters
zts752e	Find the Mysterious ore from Monsters
zts753e	Go to where the sign comes from
zts754e	Is Peober hyper dangerous?
zts755e	Ask Sharlotte about Peober's mucus
zts756e	Ask people about Peober's mucus
zts757e	Find the person that Alex talked about
zts758e	Find the assistant of Sotty
zts759e	Hunt Warret and find the cast
zts760e	Bring the Peober's cast to Rect.
zts761e	Show the Peober's cast to Sotty
zts762e	Hunt Lizards as Eril asked
zts763e	Find the first element for the Sorcer
zts764e	Fetch the first sorcer element.
zts765e	Get help from Sharlotte
zts766e	Find the second sorcer element
zts767e	Fetch the second sorcer element
zts768e	Get help from Morgan
zts769e	Pay the price what Morgan asked and get the information
zts770e	Find the third sorcer element
zts771e	Fetch the third sorcer element
zts772e	Get help from Eril
zts773e	Find the fourth sorcer element
zts774e	Fetch the fourth sorcer element.
zts775e	Get help from Ur Koaren
zts776e	Find the fifth Sorcer element
zts777e	Fetch the fifth sorcer element
zts778e	Get help from Alex
zts779e	Find the sixth sorcer element
zts780e	Fetch the sixth sorcer element
zts781e	Find the hints for the seventh sorcer element
zts782e	Find the fake sorcer element
zts783e	Hand the fake element to Sotty
zts784e	Check out the real Rect.
zts785e	The Truth is..?
zts786e	Listen to what Rect says
zts787e	find the Old Wood
zts788e	investigate the inside of the Old Wood
zts789e	Get rid of the monster hindering Peober's trace.
zts790e	Someone is around. Check out.
zts791e	Go to Cellilusha
zts792e	Follow Erie's guidance
zts793e	Get rid of the monsters blocking the way to underground tunnel
zts794e	Get rid of the monsters blocking the way to underground tunnel gate
zts795e	Finally you have found the underground tunnel gate
zts796e	Check out Cellilusha
zts797e	Find out the truth
zts798e	Locate Koaren
zts799e	Ask how to get to Kr Koaren's place
zts800e	Find the first element for using the vision sorcer
zts801e	Find the second element for using the vision sorcer
zts802e	Find the third sorcer element for using the vision sorcer
zts803e	Hand over the vision sorcer elements
zts804e	Recover the Pearl of the Dusk
zts805e	The choice of Erie and Rect.
zts806e	Ask for help to Erie to prevent the resurrection of Latheore
zts807e	Ask for help to Rect to prevent the resurrection of Latheore
zts808e	Go to Cellilusha to prevent the resurrection of Latheore
zts809e	Fight against Angels blocking your way
zts810e	Go to where Peober's pupae is placed
zts811e	Fight against Angels blocking your way
zts812e	Move to the place where Peober's pupae is
zts813e	You must prevent the Angel King's recall
zts814e	Find Jack's logging field
zts815e	A hyper-dangerous creature arrives
zts816e	The guardian of light
zts817e	Look for Blue magician's articles
zts818e	Ask to craft the jewel
zts819e	Deliver Blue magician's articles
zts820e	Ask to recover the diary
zts821e	Find out Blue magician's past
zts822e	Say what you experienced in Time-space
zts823e	Seek for Destroyer's articles
zts824e	Collect materials of special bleach.
zts825e	Deliver special bleach
zts826e	Deliver Destroyer's articles.
zts827e	Pay an amount of money as much as she wants.
zts828e	Find out Destroyer's past
zts829e	Say what you experienced in Time-space
zts830e	Look for Crusader's articles
zts831e	Seek for holy water bottle
zts832e	Deliver holy water bottle
zts833e	Deliver Crusader's articles
zts834e	Search for the safe
zts835e	Search for the key
zts836e	Deliver the safe and the key.
zts837e	Find out Crusader's past
zts838e	Defeat Archtheridon
zts839e	Deliver the news that you defeated Archtheridon
