zts1e	Milano Tool Shop (Use)
zts104e	When I start the TimeSpace mission, how is 'Mission Start' different from 'Challenge Records'?
zts119e	Basically, there is not much difference. When the mission starts, the score is shown and recorded depending on the performance of each adventurer.
zts120e	When you select 'Challenge Records', you can challenge the highest record using the score that you have earned.
zts121e	What's the big deal then? I don't see any benefits from doing the record challenge.
zts122e	No, it isn't like that. Once you break the record, your name will be recorded on the Stone of TimeSpace. Hence, you will gain the respect of every player! Isn't that awesome?
zts123e	According to rumors, Sir Lopello will reward the players with the highest score sometime in the future. Above all, if you are truly an adventurer, your reputation is most important, right?
zts124e	Then, don't you think that everyone would go for the record challenge instead? Why do the normal mission at all?
zts125e	Haha! Of course not. The problem is that the record challenge costs money! And if they aren't confident enough, it would just be a waste of money.
zts126e	So remember, you should be careful when you challenge the record.
zts127e	Well, if we're not so ambitious then we don't have to do it.
zts128e	Yes, of course! But why are you behaving like a coward? If you are an adventurer, then take the challenge! Show some adventurer spirit!!
zts129e	Grr. I understand. I'll think about it.
zts130e	Yes. I am Eril, the counselor. May you have a great adventure!
zts131e	What kind of job would you like?
zts132e	I want to slay evil and defeat villains with my shining blade! I want to be a swordsman.
zts133e	I want to knock down villains before they even see me! I want to be an archer.
zts134e	I want to be a sorcerer. I'll stun the forces of evil with my powerful magic!
zts135e	If you change your occupation, you can no longer use the adventurer equipment that you currently have. You can only use equipment meant for your job.
zts136e	Instead, we will give you equipment that you can use at your level. Is that alright with you?
zts137e	How's the condition of the equipment?
zts138e	Well, it is okay to use.
zts139e	----------------------------------------------
zts140e	Well.. money doesn't grow on trees and Sir Lopello no longer supports us like he used to, so.. blah blah..
zts141e	Anyway, are you going to change your job?
zts142e	Well, yeah sure. I will change it!
zts143e	No, I will do something else. Like wander in the woods a little more.
zts156e	Starting a family means managing a household with the people you meet in Nostale.
zts157e	Help each other out and share their joys and sorrows! That is what family is all about! Enjoy the great world of Nostale with your nostale family.
zts158e	I want to start a family.
zts159e	I want to dismiss the family.
zts160e	What must be done to start a family?
zts161e	What are the commands & orders for managing a family?
zts162e	Thanks a ton for your help. See ya later!
zts163e	To start a family, you will need three adventurers who have successfully changed their jobs and cleared Act 1-1.
zts164e	These three players form a party and one of them has to submit an application to me. It comes at a cost though.. 200,000 Gold!!
zts165e	After that, he has to submit the family name. That's it. The person who submits the application becomes the Head of the family and the other two become the family's supporters.
zts166e	And I apologize, since the family system is not completely developed yet. So, some functions cannot be used currently.
zts167e	So, please be patient. We are doing our best to support you as quickly as possible.
zts168e	Ok, I understand.
zts169e	For Guild chat, you have to type the [: Your Message]
zts170e	You can use the command order in the Chat Window. When you use it, use % instead.
zts171e	If you want someone to join your family, type [%invite [character name]]. Only the Head of the family and manager can do this.
zts172e	Removing someone from the family can be done in two ways. If a family member decides to leave the family he can type [%leave [Character name]]. If the Head of the family decided to remove a family member he can type [%Kick [character name]]
zts173e	The Head of the family and family supporters cannot be removed. Anyone who has been removed has to wait for three days to start a new family or join a different family.
zts174e	Also remember that there should always be two supporters in a family. To change the family supporters, type [%current supporter new supporter]
zts175e	When you inherit the position of Head of the family, type [%inherit new character name]. This new Head of the family must be selected from the family supporters.
zts176e	If you want to leave a message for all the family members who log on, type [%message [your message]]
zts177e	Even though it's not perfect yet, I hope you enjoy the family experience!
zts178e	I, Eril, will add more useful functions as soon as possible.
zts179e	Milano Skill Registration Office (Use)
zts191e	What would you like to know?
zts192e	Tell me about the training in brief.
zts193e	Tell me about Base Skills.
zts194e	What is Plus Skill?
zts195e	How can I delete skills?
zts196e	Training directly influences your ability and once you learn it, it will have a permanent impact on your character.
zts197e	There is a fee for education. You have to be at the corresponding combat level to get the training.
zts198e	Are you talking about the number on the left in the 0/0 level sign? Is that the combat level?
zts199e	Yes, it is! Training can be divided into three sections : Basic, Intermediate and Advanced. You can jump directly to intermediate training without going through basic training.
zts200e	Really? Are there any difficulties in doing this?
zts201e	No. There isn't much of a difference when you go directly to the second level, instead of doing it in order.
zts202e	But it will be easier for you to do it in order.
zts203e	Base Skills are those skills which you will use later.
zts204e	To learn a Base Skill, a certain amount of Gold and CP are required. Also, you have to be at the corresponding job level to get a chance to learn.
zts205e	Are you talking about the number on the right in the 0/0 level sign? Is that the job level?
zts206e	Yes. Base Skill requires CP. If you don't have enough CP, you cannot learn it.
zts207e	CP will increase as your Job Level rises. But CP is not enough to learn all skills. So, you need to take care while selecting appropriate skills.
zts208e	Plus Skill is a special skill that adds a new power to the Base Skill.
zts209e	For example, once you learn how to do the 'Sudden Attack' and also learn 'Stern' in addition; Stern will be added to your Sudden Attack.
zts210e	So, the same skill can have different effects, depending on the Plus Skill.
zts211e	Yes, one Base Skill can connect a maximum of 4 types of Plus Skills.
zts212e	There's one thing you need to be careful about: when you see the bottom right part of the Plus Skill icon, there are circle and square icons. These signs show that you cannot learn Plus Skills of the same shape at the same time.
zts213e	What do those shapes mean?
zts214e	When you check the skill box, there are identical signs in the Plus Skill slot. These signs represents what kind of slot the skill has to go into.
zts215e	Oh, I see. The same shapes go into the same slot. So, I cannot learn them at the same time.
zts216e	If you go ahead and learn a Plus Skill in the same shape, it means that the old skill will be overwritten. Don't worry though. In this case, you will get a warning message.
zts217e	If you don't like an existing skill or need CP to learn another skill, you can delete the existing skill.
zts218e	To delete an existing skill, double-click the skill in the skill purchasing window.
zts219e	When a skill is deleted, the CP that you spent for that skill will be refunded. But to delete the skill, you will have to pay the same amount that you paid to get the skill.
zts220e	Base Skills can be deleted only after all the Plus Skills are deleted.
zts221e	Training cannot be deleted. Since you haven't spent any CP on it, you won't lose anything, right?
zts222e	Milano Alchemy Association
zts233e	Milano Mart (Use)
zts257e	Milano Fashion Accessories (Use)
zts266e	Ok, tell me.
zts267e	Tell me about accessories.
zts268e	Accessories are fashionable and indicate the social status of the wearer.
zts269e	But, I see that you are looking at something functional. Hmmm..
zts270e	Accessories have surprising magical powers. It could be said that magic is melted and molded into the accessories.
zts271e	There is also a slot option to add new powers.
zts272e	What? Can you explain it in more detail?
zts273e	I knew you would be interested in this part. I will surely tell you.
zts274e	In accessories there are 'Option Slots' and 'Option Levels'.
zts275e	Option Slot tells you the number of options that you can put in and Option Level tells you up to which level you can put. Do you follow?
zts276e	Yes! But how can you put the options in?
zts277e	You will need a Cellon for this. Cellons are shiny gems.
zts278e	Cellon level decides the option level. So, the higher the level of the Cellon, the better it is.
zts279e	Ah, but you cannot choose which options to put in. So, everything is decided by fate and your luck.
zts280e	Where can I get a Cellon?
zts281e	Cellon can be obtained by refining Gillion stone. You will need the Cellon Refinery to refine it.
zts282e	The Refinery can be purchased at the Alchemy Association.
zts283e	TimeCircle (Milano)
zts285e	Join the private infinite arena.
zts286e	Join the family infinite arena.
zts287e	See the TimeCircle list.
zts290e	Select the town you wish to travel to.
zts291e	Koaren town in Mt. Krem (1,000 Gold)
zts292e	Manysales (Kovolt town)
zts294e	Mary's Luxury Shop
zts297e	Clang Clang Construction Office
zts299e	Pick-up Store (Kovolt town)
zts301e	TimeCircle (Koaren)
zts304e	Center Field Milano Village (Free)
zts305e	Go to TimeCircle.
zts306e	Join the Arena and the TimeCircle directly!
zts307e	Act 1. Intro
zts308e	Act 1. The Tree of Fernon
zts309e	Attention amateur adventurers! I will give you your first mission.
zts310e	End the strike in Kovolt Town.
zts311e	But the situation worsens and escalates into war.
zts312e	In the ensuing chaos, the heroes make an appearance.
zts313e	The enemies who will stop you.
zts314e	The resurrection of the Fernon Tree that might throw the whole world into chaos.
zts315e	Do you have what it takes to undertake this adventure?
zts316e	Now.. this is only the first level.
zts317e	Nevertheless, pay heed to me. This will be the great story of a low level adventurer.
zts318e	Act 2 Intro.
zts319e	Everyone helped each other to overcome the crisis.
zts320e	It is not over yet. No one knows when the Fernon Tree will be awakened.
zts321e	Catsy, a mysterious tribe had the key that could seal the Fernon Tree.
zts322e	However, Kovolt and Catsy have been enemies for centuries.
zts323e	If they start fighting, it will lead to war.
zts324e	The crisis is not over yet.
zts325e	Another crisis arises, bringing with it a new adventure!
zts326e	Act 2: The Resurrection of the Devils
zts327e	Wait! My white sheep is crying..
zts328e	Milano Village NPC Conversation
zts329e	You are just a rookie, aren't ya?
zts330e	Yes. However, I will do my best!
zts331e	You have courage, but be warned that things will not go as planned.
zts332e	What do you mean? Are the Kovolts on strike?
zts333e	Well, it's because the working conditions are horrible. Everything is bad.. and also..
zts334e	Bah! You might not have treated them properly. Should I give them a lesson in good manners?
zts335e	Haha! Yes, but we have to gather some more information.
zts336e	Information? What information? It's obvious. The lazy bastards will start complaining again!
zts337e	The Kovolts are protesting more severely than we thought, right?
zts338e	Well, the world seems to be in chaos. It is a big problem.
zts339e	But it looks like there are reasons behind that.
zts340e	Reasons? What reasons? That stupid creature has a bad habit of complaining!
zts341e	Will the war ever end?
zts342e	Who will be victorious in the war between the humans and the Kovolts?
zts343e	How did the situation get resolved so easily? I didn't think the Kovolts were so incompetent.
zts344e	I never expected the war to end so easily. Who would have thought that the Kovolt would have internal troubles?
zts345e	What will happen now? I worry so much that I cannot sleep.
zts346e	We cannot give up now. We will do our best till the end.
zts347e	No! There is nothing that we can do now. They are much stronger than we are.
zts348e	Look at me! Why did I have to go through all this? Why did I have to suffer like this?
zts349e	Glad to see ya! How have you been?
zts350e	Hello. You may not be familiar with everything. All the best.
zts351e	Please! I beg you! Fight on behalf of our village.
zts352e	Strike? Oh my God! I hope nothing bad happens.
zts353e	There is a growing feeling of worry. Let's keep our spirits high though.
zts354e	What a horrible situation!
zts355e	Thank you for your hard work.
zts356e	This makes me depressed. I don't want to talk about this!
zts357e	Excellent! You are my hero!
zts358e	You remind me of my childhood days.
zts359e	How was I back then? Was I stupid like you? Haha..
zts360e	Do you want to hear a funny story? *snicker*
zts361e	It is..
zts362e	Puha~.
zts363e	It's so funny that I cannot tell you about it now.
zts364e	Welcome back. Do you remember what I was going to tell you the other day?
zts365e	I can tell you now. I can hold back my laughter.
zts366e	It is..
zts367e	A long time ago, there was a thorny mouse.
zts368e	..
zts369e	Pffff.
zts370e	Pfff. Haha.. How come the thorny mouse was there?.. That's hilarious.. Haha..
zts371e	Well, I'll continue the story later. Haha..
zts372e	Let's not lose heart as difficult times loom ahead.
zts373e	To keep our spirits high, let me tell you a really funny story.
zts374e	Hey! Where are you going? Why don't you listen to my story?
zts375e	Hey..
zts376e	A funny story, eh? Do you really want to tell me that story now?
zts377e	Thank you for being so nice to me. To return your kindness, I will tell you a funny.. Hey! Where are you going?
zts378e	And for today, this is a special story about Lanetan from the Tree of Fernon.
zts379e	If they blow themselves up, they become potato chips! Haha..
zts380e	Haha!
zts381e	Gosh! It's not funny! Should I die here?
zts382e	Hello, this reminds me of a funny story that just popped into my head.
zts383e	What would happen if the Lanetan blows up?
zts384e	Don't know? The answer is..
zts385e	Potato Chips!! Wasn't that hilarious?
zts386e	This is my funniest joke ever!
zts387e	Hey, if you are just a rookie, you need to behave yourself. And be quick!
zts388e	Hey, why are you dawdling? Run! Quickly!
zts389e	Filthy Kovolts! Noisy Kovolts!
zts390e	What a day!
zts391e	What will happen to Milano Village now?
zts392e	We're all going to die! This is the end! We're finished!
zts393e	Come in! No one trusts me when I say that I'm a good friend of yours. Give me your autograph as proof.
zts394e	The weather is beautiful and I don't have to do any work. Ah, this is the life!
zts395e	Why did you join NosCamp? It's not too late. Come back to Sir Lopello's Guard!
zts396e	Stop whining now. Go away! I have to find out if the Watch is coming in now.
zts397e	I am so annoyed! Why on earth are the Kovolts on strike now?
zts398e	Do something! Isn't this your duty?
zts399e	Kovolts! Noisy creatures!
zts400e	Good job, you losers!
zts401e	To make matters worse, there might be a war!
zts402e	See? How dare they start fighting against the humans? Haha!!
zts403e	Don't say anything. My life is over!
zts404e	Salute! Everything is A-ok!
zts405e	Milano Conversation with Jack
zts406e	I heard that some people didn't make it back after the adventure. They are still missing. Anyway, good luck!
zts407e	Oh you're still safe? Well, I reckon it's because there hasn't been anything dangerous yet. Anyway, all the best!
zts408e	I heard that you are better than the other adventurers. However, you shouldn't become arrogant. Okay?
zts409e	What? You shouldn't be making a big fuss about it, right? Well, anyway..
zts410e	The serial number of the Adventurer Sword is NTR40U-10X. It has excellent power.. for its price. This is why the Smith has stopped making it now.
zts411e	While polishing your sword, we suggest you use a rag made of polyester. Polyester rags have been known to have a cooling effect on the blade.
zts412e	When you find yourself facing an enemy in leather armor, lift your sword and bring it down at an angle of 36.5 degrees. We have found that the Collagen in leather can be easily cut off at that particular angle.
zts413e	There are two types of Bow strings. The first type is made out of three strings and is twisted twenty times. The second type is made of five strings and is twisted fourteen times. According to our research, the second type decreases the stress on the fingers by 0.2%, but nobody really feels the difference.
zts414e	That equipment? Man, if you had purchased this when you bought the other tools, you would have got something free.
zts415e	Milano Conversation with the Manager of the Mines.
zts416e	The mines owned by Sir Lopello produces the largest amount of Gillion stone in Eastmile. The people of Eastmile benefit from this.
zts417e	Sometimes, a dog will bite its master.
zts418e	The Kovolt bastards! I may not enjoy a long life because of that.
zts419e	What kind of a world do we live in nowadays? A war with the Kovolts? Haha..
zts420e	Is this the time to relax? I knew the Kovolt would do something like this.
zts421e	I got drunk to drown my sorrows. (Hic) There is no joy in my life. The dead roots of the Fernon tree isn't going to kill us, is it? (Hic)
zts422e	The Kovolts worked hard too. A few days ago, Sir Lopello awarded a good Kovolt miner. The misunderstandings have been cleared. Isn't that great!
zts423e	Manager at Mine entrance
zts424e	Adventurer? I know this sounds ridiculous. But I was thrown out by the Kovolts from the Mines.
zts425e	Why are they acting like this?
zts426e	Isn't it your job to handle this, adventurer? DO something!
zts427e	What? Strike? What the heck are they talking about?
zts428e	They did nothing. Why are they responding this way? I hate living with the Kovolts!!
zts429e	What? A war? Hahahahah. Muhahahahaha!!
zts430e	See? I knew this was going to happen. War? Don't even dream about it!!
zts431e	What a big problem!! Who's going to solve this?
zts432e	I have been treating my Kovolt friend very badly these days. I will approach them more generously.
zts433e	Koaren Guard 1
zts434e	* Bark* Why do you human beings come here?
zts435e	Come, you human! You are our friend!
zts436e	Koaren Guard 2
zts437e	This is the beginning! I give thanks to you.
zts438e	Koaren Guard 3
zts439e	Koaren is very angry! You are dead, Kenko!
zts440e	Koaren Guard 4
zts441e	Humans! But the war is over~ *Bark* *Bark*
zts442e	Koaren miners head
zts443e	I've heard about you many times from the other miners. Thank you for your help.
zts444e	Koaren miners head
zts445e	Let's work hard! Work! *Bark*
zts446e	Private shop pop-up.
zts447e	Use the shop!
zts604e	Training of amateur adventurer
zts605e	To develop a taste for adventure, train & train some more! It's the only way!
zts606e	We will support you when you accomplish your goal quickly.
zts607e	none~
zts608e	Good job! Hope you will grow further~
zts609e	Milano Town Protect 1 (Use)
zts610e	There are so many animals and plants with venom near the town. No one will visit the town in this condition.
zts611e	For the good of the town, NosCamp must be more active! We need brave men to rescue this town!
zts612e	Milano Town Protect 1 (Completed)
zts614e	Milano Town Protect 1 (Start)
zts615e	People have many problems with the Kovolts, but at the same time, the surrounding area of the town is becoming more dangerous.
zts616e	Only the adventurers in NosCamp can do this. Please, help the people in Milano. They need your support!
zts617e	Milano Town Protect 2 (Completed)
zts618e	It's such a great help to us. We will continue to expect more from you.
zts619e	Temple Mission 1 (Start)
zts620e	We can no longer go into the Fernon Temple because it is too dangerous. We need the help of you adventurers!
zts621e	Temple Mission 1 (Completed)
zts622e	Temple Mission 2 (Start)
zts623e	Stronger Demons are appearing near the Temple. Adventurer, you can do it!!
zts624e	Temple Mission 2 (Completed)
zts625e	Was it tough fighting the Demons? You did a great job!!
zts626e	Protect the mine (Start)
zts627e	Hey, somebody help me! Push all the Kovolt miners away now!
zts628e	Thank you! You were a real help.
zts629e	Kovolt Combat 1 (Start)
zts630e	It's Sellbig! NosCamp will give you awards if you capture Koaren soldiers!
zts631e	All interested adventurers should take notice.
zts632e	Kovolt Combat 1 (Completed)
zts633e	Thank you. You did a good job!!
zts634e	Kovolt Combat 2 (Start)
zts635e	It's Sellbig! NosCamp will give you awards if you capture Kenko soldiers!
zts636e	Kovolt Combat 2 (Completed)
zts637e	Part-time job at the Alchemy Association 1 (Start)
zts638e	Hello, I would like someone to bring me something I really need now.
zts639e	Part-time job at the Alchemy Association 1 (Start)
zts640e	Thank you. But, why are you giving this to me?
zts641e	Oh, yeah! Thank you.
zts642e	Part-time job at the Alchemy Association 1 (Start)
zts643e	Part-time job at the Alchemy Association 2 (Start)
zts644e	Part-time job at the Alchemy Association 3 (Start)
zts645e	Part-time job at the Alchemy Association 3 (Finish)
zts646e	Part-time job at the Alchemy Association 4 (Start)
zts647e	Part-time job at the Alchemy Association 4 (Finish)
zts648e	Part-time job at the Alchemy Association 5 (Start)
zts649e	Part-time job at the Alchemy Association 5 (Finish)
zts650e	Part-time job at the Alchemy Association 6 (Start)
zts651e	Part-time job at the Alchemy Association 6 (Finish)
zts652e	Part-time job at the Alchemy Association 7 (Start)
zts653e	Part-time job at the Alchemy Association 7 (Finish)
zts654e	Part-time job at the Alchemy Association 8 (Start)
zts655e	Part-time job at the Alchemy Association 8 (Finish)
zts656e	Secret Order 1 (Start)
zts657e	Don't do anything else! Just bring me the pet I wanted, ok?
zts658e	Secret Order 1 (Completed)
zts659e	Thank you. You can go now!
zts660e	Don't do anything else! Just bring me the pet I wanted, ok?
zts661e	Mt. Krem Protect Mission 1 (Start)
zts662e	Everything is screwed up in Mt.Krem.
zts663e	We need the help of adventurers to save the miserable Koaren family.
zts664e	Mt. Krem Protect Mission 1 (Start)
zts665e	Koarens are grateful to you. Thank you for your help.
zts666e	Mt. Krem Protect Mission 2 (Start)
zts667e	There are many scary monsters on Mt. Krem. Help us!
zts668e	Mt. Krem Protect Mission 2 (Start)
zts669e	Mt. Krem is getting less dangerous. <pname>, thanks for this!!
zts670e	Catsy Combat (Start)
zts671e	Darksy, as one of tribes of Catsy, is helping Kenel.
zts672e	To protect Mt. Krem, we have no choice but to fight it.
zts673e	Please, kill the Darksy who dominates Shanera Dungeon!
zts674e	Catsy Combat (Completed)
zts675e	You must have had a hard time with Darksy's magic. Thank you for your effort!
zts676e	I hate a lot of things in the world. The Undead is one of them!!
zts677e	They are ugly and unfashionable.. They are disgusting!
zts678e	I will reward whoever destroys the Undead.
zts679e	Thank you <pname>. You did all of these. By the way, are you in any financial need right now?
zts680e	Scenario of TimeSpace
zts681e	Moisture Air
zts682e	Absolutely no wind. A heavy and sticky feeling.
zts683e	What is happening now?
zts684e	Are you insane?
zts685e	There are traps everywhere!
zts686e	This is not a place for rookies like you!
zts687e	You again?! You have some gut!!
zts688e	You want out?
zts689e	If so, pull down the lever.
zts690e	Then the door will open.
zts691e	You are still alive!? You are pretty lucky.
zts692e	If you go to the next room, there is a lever.
zts693e	Escape from here now!
zts694e	Lights! And I see the lever as well!!
zts695e	Lights! And I see the lever as well!!
zts696e	Scenario 2
zts697e	I don't hear a thing.
zts698e	It's deadly quiet. Where is this strange feeling coming from?
zts699e	I don't feel too good. Let's get out of here.
zts700e	No exit! What happened?
zts701e	Can we ever get out of here?
zts702e	There is a lever.
zts703e	The place is shaking! Looks like it's gonna collapse soon!
zts704e	Let's get out of here.
zts705e	No exit! Have to go back! Hurry up!
zts706e	There is an exit!!
zts707e	Let's get out of here.
zts708e	Scenario of TimeSpace 3
zts709e	Two ways to go! One must be a trap.
zts710e	A choice of two ways.
zts711e	It seems like they are laughing at someone.
zts712e	Two levers. One must be a trap.
zts713e	But, if you do not choose, the closed door will never be opened.
zts714e	Gentle sunlight and a sweet scent. And.
zts715e	Scenario of TimeSpace 4
zts716e	A large number of the Devil minions are coming towards me! Help!!
zts717e	Be careful! The minions are coming.
zts718e	It's not over yet.
zts719e	It has been settled. almost. Follow me!
zts720e	We have to block the pathway that the Devil minions are coming out of.
zts721e	Pull down the lever! It will seal the door!
zts722e	Hurry up!! Pull it down!!
zts723e	Scenario of TimeSpace 5
zts724e	The wind whispers.
zts725e	The Devil minions are coming.
zts726e	They are not just escaping from TimeSpace.
zts727e	They are being chased by something. Something made them scared and violent.
zts728e	I can see the injured adventurers from here.
zts729e	A strange scent in here. This might be a clue.
zts730e	The scary monster is coming!!
zts731e	Run away!!
zts732e	He just passed out! I don't think he's coming around.
zts733e	You little thing!!
zts734e	Ahhhh!! I cannot beat him!!
zts735e	Guard 1: Rescue the adventurer!!
zts736e	Guard 2: Attack the monster!!
zts737e	Guard 3: Get the enemies!
zts738e	Guard 1: Win!!
zts739e	Guard 2: We made him fall down!
zts740e	Guards 3: The Demons are dead!!
zts741e	This isn't right, something weird is going on. We haven't encountered a monster this strong of late. Something must be happening to TimeSpace. But what?
zts742e	Scenario of TimeSpace 6
zts743e	All roads are open and not a single clue.
zts744e	The continuum of TimeSpace is being destroyed. It seems like it will collapse soon.
zts745e	We need to hurry up!
zts746e	A suspicious lever is there.
zts747e	It might be a hint to find the exit.
zts748e	After the fierce battle.. the hidden exit slowly appears.
zts749e	That exit is the only way to escape.
zts750e	Scenario of TimeSpace 7
zts751e	A strong wind blows. I can hardly stand still.
zts752e	It has never been unstable like this before.
zts753e	We have to do something now!!
zts754e	There is a small pathway. It is emitting a mysterious energy of some sort.
zts755e	Is this an exit?
zts756e	But it is blocked.
zts757e	There must be a button to open it.
zts758e	I see a large stone sculpture. I should be able to move it.
zts759e	The wind stops blowing and is replaced by a gentle breeze.
zts760e	Some of the seals seem to be open.
zts761e	A warm breeze brushes my cheek.
zts762e	The breeze stops. The seal must have been opened.
zts763e	Let's find the exit!
zts764e	The pathway is wide open.
zts765e	Someone created the magic sculpture and twisted TimeSpace. He is messing around with the lives of this world.
zts766e	I need to find him and stop him!!
zts767e	Scenario of TimeSpace 8
zts768e	TimeSpace and Imp.
zts769e	We have to find it!
zts770e	Catch it! Do not let it go!
zts771e	Gosh, we missed it!
zts772e	We failed!!
zts773e	Uhhh~ How did we!!
zts774e	I missed it!
zts775e	Man!! Almost!!
zts776e	Please, rescue me!
zts777e	Where?
zts778e	South?
zts779e	Gosh.. Next time.. We won't miss it again!!
zts780e	Just wait!
zts781e	The Imp disappears into thin air.
zts782e	Thank you. You saved my life.
zts783e	Are you okay?
zts784e	I am alright.. but it will be dangerous if we do not finish that baby monster.
zts785e	I will go after him.
zts786e	I will give you a hand!
zts787e	Imp 1: I've been waiting.
zts788e	Imp 2: The enemy of my friend!
zts789e	Let's kill them one by one.
zts790e	Wow. That was close. We barely made it alive.
zts791e	It's not over yet. Look to the East.
zts792e	The hidden exit in the East is slowly emerging!!
zts793e	That is their base camp.
zts794e	Time is running out, let's hurry!
zts795e	We are not going to meet these trouble makers for a while.
zts796e	Scenario of TimeSpace 10
zts797e	Noise. the echoes of destruction!
zts798e	We have to find the reason and fix it, or the World will be in danger!
zts799e	You came here because of that noise? Then help me!
zts800e	If you don't seal it, the Devil minions will pour into town.
zts801e	Then, what can I do for you?
zts802e	I will stay here and hold off the minions. You have to go and seal the 5 pathways.
zts803e	This chaos broke out because someone broke the seal.
zts804e	The noise becomes lesser and lesser.
zts805e	But TimeSpace is still shaking!!
zts806e	The shaking is still too much.
zts807e	The noise becomes weaker and weaker.
zts808e	The noise becomes weaker and weaker.
zts809e	Almost finished.
zts810e	The breaking noise disappears.
zts811e	All pathways were sealed.
zts812e	The exit becomes visible. Let's get out of here.
zts813e	Great!! You made it!
zts814e	Your name.. What's your name?
zts815e	My name is Rhain. I am training martial arts in Milano town.
zts816e	This chaotic world has brought me here.
zts817e	Wait! Watch out!
zts818e	Thank you! Thank you for saving me. I think we've solved the problem here.
zts819e	I think I should go back. So good bye.
zts820e	Well, we just might see each other again.
zts821e	Rhain has left. He is a brave man. That isn't something easy to find nowadays.
zts822e	I feel something great is coming.
zts823e	Scenario of TimeSpace 11
zts824e	The guards are on duty, with grim expressions on their faces.
zts825e	It seems as if they dislike their mission.
zts826e	Let's have a talk with them.
zts827e	Guard 1: The Kovolts are protesting relentlessly!
zts828e	Guard 2: I don't like this mission. We're always falling for the traps that the Kovolts set for us.
zts829e	Guard 3: I wish I could go home and sleep.
zts830e	Guard 4: I'm quitting this job when this mission is over.
zts831e	The defense line was broken!
zts832e	Let's go up to the floor and arrest senior miners!
zts833e	Senior Miner 1: You.. Lopello's dogs!!
zts834e	Senior Miner 2: I will never forgive you!
zts835e	Senior Miner 1: Why are you attacking us?
zts836e	Senior Miner 2: We did nothing wrong!
zts837e	Senior Miner 3: Lopello is to be blamed! Lopello!
zts838e	The miners look very exhausted!
zts839e	Are these miners to blame?
zts840e	Scenario of TimeSpace 12
zts841e	News - The Demons' attack has begun.
zts842e	No one can guarantee your safety.
zts843e	If you are worried, you may leave right now.
zts844e	What we need now are not amateur adventurers, but true fighters!
zts845e	From the Captain of the Milano guards
zts846e	We must retreat! More battle is meaningless!
zts847e	The Milano guards were badly defeated!
zts848e	Milano and Elstern will be more chaotic and dangerous than ever before.
zts849e	What should be done from now on?
zts850e	All the adventurers are burdened with this difficult task.
zts851e	Scenario of TimeSpace 13
zts852e	The marks of fierce fighting! Rhain didn't leave any trace!
