zts1e	Effetto Generale
zts115e	Tempo d'attesa della missione
zts116e	Potrai effettuare la missione nuovamente non appena terminerà il tempo d'attesa.
zts117e	E' arrivato il momento di utilizzare un Oggetto Magico
zts118e	Ti dà info riguardo gli oggetti magici in uso. Non appena finirà il loro effetto, gli oggetti scompariranno.
zts119e	Stagni
zts120e	[Probabilità: 80%]: ferma il sanguinamento in caso di -Lv4.
zts121e	Scottatura
zts122e	Rende più deboli agli Attacchi di Fuoco e gli HP diminuiscono costantemente.
zts123e	Bruciatura mortale
zts124e	Blackout Mortale
zts125e	Rimani immobilizzato e non sei in grado di utilizzare qualsiasi tipo di oggetti.
zts126e	Benedizione del Fuoco
zts127e	Rafforza il Fuoco ed aumenta la Resistenza Fuoco.
zts128e	Indebolimento della difesa
zts129e	Diminuisce la Difesa ed il suo Livello.
zts130e	Barriera
zts131e	Perde completamente la Difesa per diversi secondi.
zts132e	Shock
zts133e	Shocka il nemico impedendo di sferrare attacchi.
zts134e	Pelle d'Acciaio
zts135e	Aumenta la Difesa ma diminuisce l'Attacco.
zts136e	Aumento Morale
zts137e	Aumenta il morale
zts138e	Fuga !!!
zts139e	Fuga!!!!!
zts140e	Occhio di falco
zts141e	Permette di non mancare il bersaglio con un'elevata probabilità.
zts142e	Viandante
zts143e	Aumenta la velocità.
zts144e	Colpo luminoso
zts145e	Arresta l'attacco per un po' di tempo
zts146e	Rapidità
zts147e	Diminuisce il Tempo di Ricarica delle Abilità.
zts148e	Permetti Illuminazione
zts149e	Rallenta il tempo di lancio delle abilità e la velocità.
zts150e	Assorbi l'Attacco
zts151e	Assorbe gli attacchi nemici ricaricandosi.
zts152e	Lama Affilata
zts153e	Affila la lama dell'arma!!
zts154e	Incisione
zts155e	Diminuisce gli MP e dimezza la Difesa.
zts156e	Sanguinamento Mortale
zts157e	Diminuisce gli HP ed impedisce i Colpi Critici
zts158e	Smog
zts159e	Riduce l'HitRate.
zts160e	Veleno mentale
zts161e	Causa gli stessi danni del consumo di MP.
zts162e	Ti sei smascherato
zts163e	Ti permette di essere invisibile
zts164e	Veleno rinforzato
zts165e	Diminuisce tutte le resistenze e ricevi tutti Colpi Critici
zts166e	Luce Magica
zts167e	Riduce l'HitRate e gli HP dell'elemento ombra.
zts168e	Scudo della Mana
zts169e	Gli MP sostituiscono parte del danno ricevuto.
zts170e	Arma Sacra
zts171e	Aumenta la Resistenza Oscura e il potere della Luce.
zts172e	Elimina l'Oscurità.
zts173e	Elimina il Potere dell'Oscurità.
zts174e	Benedizione
zts175e	Evita i Colpi Critici aumentando il Livello della Difesa
zts176e	Cri-up
zts177e	Grazie alla concentrazione i Colpi Critici aumentano.
zts178e	Sprint
zts179e	Aumenta per pochi secondi la velocità.
zts180e	Benedizione dell'Amore
zts181e	Diminuisce il consumo degli MP.
zts182e	Aumenta esperienza
zts183e	Aumenta l'esperienza ricevuta per un breve periodo.
zts184e	Aumenta Attacco
zts185e	Aumenta l'Attacco per un breve periodo.
zts186e	Protezione Perfetta
zts187e	Non puo attaccare ne essere attaccato per un breve periodo.
zts188e	Disperazione
zts189e	Combatti nella disperazione
zts190e	Cattura
zts191e	Davvero sorpreso di essere catturato
zts192e	Blackout breve
zts193e	Rimani paralizzato per un breve periodo.
zts194e	Esposizione del Punto Debole
zts195e	Il punto debole è esposto per cui ogni attacco ricevuto sarà un Critico.
zts196e	Confusione
zts197e	Paralizza il corpo
zts198e	Ossidazione
zts199e	Brucia i vestiti e le armi immergendoli in un acido molto forte.
zts200e	Infezione Zombie
zts201e	Ti permette di diventare come uno Zombie, emettendo strani versi e rumori.
zts202e	Immunità agli Zombie
zts203e	Rende immuni all'infezione Zombie
zts204e	Canto Paradisiaco
zts205e	Un magnifico canto attrae i nemici facendo perdere loro la voglia di combattere.
zts206e	Benedizione del maiale fortunato
zts207e	Aumenta l'esperienza del 10%
zts208e	Benedizione dell'anno nuovo
zts209e	Aumenta l'Attacco e la Difesa del 10%
zts210e	Benedizione di San Valentino
zts211e	Triste e piangente
zts212e	Intristisce con delle lacrime....
zts213e	Benedizione del Giorno Bianco
zts214e	Non reca alcun disturbo
zts215e	Usa la Pergamena Protettiva
zts216e	Il miglioramento dell'Equip. protegge l'oggetto ed il suo attuale Livello Raro.
zts217e	Veleno-Nebbia
zts218e	La nebbia blocca qualsiasi movimento.
zts219e	Dolce tasca
zts220e	Per l'evento stagionale. L'esperienza aumenta del 30%.
zts221e	Energia Arcobaleno
zts222e	La forza della vittoria: gli SP non diminuiranno!
zts223e	Energia Arcobaleno
zts224e	Rafforzamento Armatura
zts225e	Rafforzamento dell'Energia
zts226e	Aumenta gli HP/MP per un breve periodo.
zts227e	Aumenta l'Esperienza del 20%.
zts228e	Benedizione di Altair e di Vega
zts229e	Benedizione di Ancelloan
zts230e	Aumenta l'esperienza del 100%.
zts231e	Benedizione dell'Angelo Guardiano
zts232e	Incrementa del 50% i punti esperienza del NosMate.
zts233e	Scossa elettrica
zts234e	Sei stato stordito da una scossa elettrica e non puoi muoverti.
zts235e	Scossa elettrica intensa
zts236e	Sei stato stordito da una scossa elettrica intensa e non puoi muoverti.
zts237e	Fossilizzazione
zts238e	Sei stato fossilizzato.
zts239e	Veleno della Falena
zts240e	La tua velocita è diminuita a casua del veleno del lepidottere e stai subendo degli attacchi critici.
zts241e	La peste
zts242e	Le piante sono seriamente danneggiate dalla peste, che può essere evitata con l'immunizzazione anti zombie
zts243e	Vampirismo
zts244e	Concede la possibilità di assorbire gli HP dell'avversario e di causare danni.
zts245e	Controllo mentale
zts246e	La tua mente è sotto il controllo di un altro e sta causando seri danni.
zts247e	Il faschino del tesoro
zts248e	I Punti produzione diminuiscono del 20%
zts249e	Le piante vengono danneggiate gravemente dalla peste.
zts250e	Lucido amplificatore delle fate
zts251e	L'elemento della fata è aumentato ulteriormente di 30
zts253e	Aumenta tutte le abilità degli elementi e la velocità di movimento per 10 minuti.
zts254e	Brivido di freddo
zts255e	diminuisce la velocità dei movimenti a causa dell'intorpidimento del corpo dovuto al freddo.
zts256e	Benedizione dell'acqua.
zts257e	Aggiungi elemento d'acqua e aumenta la resistenza d'acqua.
zts258e	Congelamento
zts259e	Non puoi attaccare e sei schiacciato al suolo a causa dell'intorpidimento del tuo corpo per il freddo.
zts260e	Amplificatore attivato
zts261e	Ti sposti molto velocemente grazie all'amplificatore
zts262e	Pozione gas
zts263e	Diminuisce la Difesa ed impedisce di usare Abilità.
zts264e	Preghiera di Difesa
zts265e	Aumenta il Livello della Difesa e gli HP/MP dei compagni.
zts266e	Preghiera di Attacco
zts267e	Aumenta il livello di attacco è migliora il Morale
zts268e	Primo, caricarsi Triplo
zts269e	Aumenta la potenza d'attacco per un po' di tempo grazie ad un elemento sacro.
zts270e	La seconda carica tripla
zts271e	La terza carica tripla
zts272e	Il secondo Gas Velenoso
zts273e	Non è possibile lanciare le abilità
zts274e	Scudo congelante
zts275e	Proteggi qualcuno e lancia ''Freeze'' sul nemico
zts276e	Respiro Sacro
zts277e	Diminuisce la potenza di tutti i nemici che non hanno un elemento di luce.
zts278e	Aumenta il potere difensivo per un tempo limitato.
zts279e	Protegge completamente dai danni.
zts280e	Airwaves
zts281e	Benedizione della pietra dell'anima
zts282e	Quando un giocatore trasforma la lista speciale, il volume di acquisizione della lista dei lavori speciali aumenta del 50%
zts283e	Utilizza Pergamena dello specialista per livelli bassi.
zts284e	Quando un giocatore la usa, può migliorare da 0~9 il grado della lista delle special card.
zts285e	Utilizza Pergamena dello specialista per livelli alti.
zts286e	quando un giocatore la usa, puo incrementare da 10 a 14 la lista delle special card.
zts287e	Violento
zts288e	Aumenta la Velocità e l'Attacco diminuendo la Difesa.
zts289e	Rottura dell'armatura
zts290e	Diminuisce la Difesa del nemico distruggendo l'Equipaggiamento difensivo.
zts291e	Spirito dell'aquila
zts292e	Ispira l'anima dell'acquila in qualcuno
zts293e	Splendore Elementale
zts294e	Aumenta la resistenza alla luce dallo spirito della foresta.
zts295e	Spirito del lupo
zts296e	Ispiri L'Anima del Lupo della Luna Piena in qualcuno
zts297e	Calo essenziale
zts298e	Causa effetti negativi e mallattie alla foresta
zts299e	Spirito dell'orso
zts300e	Introduci l'anima dell'orso in te stesso
zts301e	Guardia fantasma
zts302e	Il Falso Dio ti protegge per un po'
zts303e	Forza oscura
zts304e	L'elemento oscuro è aumentato da un falso Dio.
zts305e	Posseduto
zts306e	Un falso Dio controlla lo spirito dell'avversario.
zts307e	Pozione del Diavolo
zts308e	Un falso Dio entra nel corpo dell'avversario.
zts309e	Requiem
zts310e	La canzone del falso Dio fa tremare gli avversari per la paura.
zts311e	La vita e la morte
zts312e	Aumenta del 10% l'Attacco e la Difesa per qualche minuto.
zts313e	Benedizione di un felice anno nuovo
zts314e	Aumenta il profitto dell'esperienza di battaglia/di lavoro del 10% per un certo periodo di tempo.
zts315e	La loro salute incrementa il costo del combattimento significativo
zts316e	Raffreddore
zts317e	Possiedi un gelo cattivo e perdi il controllo di tutto il corpo per questo.
zts318e	Flagello
zts319e	Non puoi evitare gli attachci nemici perche sei impaurito
zts320e	1 Contenitore Regalo del Nuovo Anno
zts321e	Per un'ora, i tuoi HP e MP vengono aumentati del 10%.
zts322e	Rinascita
zts323e	Non è sotto l'effetto di indebolimento della rinascita.
zts324e	Denedizione del Giorno Bianco
zts325e	Insuperabile nel PvP
zts326e	Gli HP non diminuiranno per 5 secondi, anche se sei attaccato dai mostri.
zts327e	Diminuisce l'abilità del nemico con grazie alla Luce Sacra
zts328e	Aumenta la potenza d'attacco nel PvP
zts329e	Quando il giocatore è in PvP nella Corona di Ghiaccio, la potenza d'attacco aumenta del 50%.
zts330e	Aumenta la Difesa nei PvP
zts331e	Se il giocatore si trova nella Corona di Ghiaccio, la Difesa aumenta del 50% per un'ora.
zts332e	Aumenta la Resistenza in PvP
zts333e	Quando il giocatore è in PvP nella Corona di Ghiaccio, la Resistenza aumenta del 20% per un'ora.
zts334e	Dopo il blocco, l'attaccante viene congelato.
zts335e	Lv./%d del Giocatore
zts336e	Lv.*%d del Giocatore
zts337e	Livello/%d
zts338e	Livello*%d
zts339e	Conservazione della natura
zts340e	Rafforza il tuo attributo di resistenza
zts341e	Incrementa il tuo attributo di resistenza
zts342e	Spina Tossica Lieve
zts343e	Spina Tossica Seria
zts344e	Pozione Mortale Diluita
zts345e	Pozione Mortale Seria
zts346e	Gas Nervino Lieve
zts347e	Gas Nervino
zts348e	Gas Nervino Forte
zts349e	Gas Nervino Fatale
zts350e	Freddo Lieve
zts351e	Freddo Forte
zts352e	Freddo Fatale
zts353e	Fuoco Lieve
zts354e	Fuoco Forte
zts355e	Black Out Lieve
zts356e	Black Out Fatale
zts357e	Arma di Difesa Dannosa
zts358e	Arma di Difesa della Rottura
zts359e	Arma d'Indebolimento
zts360e	Arma Dannosa
zts361e	Arma della Rottura
zts362e	Arma Distruggente
zts363e	Interruzione movimento leggero
zts364e	Interruzione movimento leggero
zts365e	Interruzione movimento energico
zts366e	Interruzione movimento estremo
zts367e	Disperazione Lieve
zts368e	Disperazione Seria
zts369e	Disperazione Fatale
zts370e	Paura Lieve
zts371e	Paura Seria
zts372e	Paura Fatale
zts373e	Orrore Lieve
zts374e	Orrore
zts375e	Orrore Serio
zts376e	Orrore Fatale
zts377e	Incapacità Lieve
zts378e	Incapacità Forte
zts379e	Incapacità Seria
zts380e	Indebolimento resistenza lieve
zts381e	Indebolimento resistenza lieve
zts382e	Indebolimento resistenza energica
zts383e	Indebolimento resistenza seria
zts384e	Indebolimento dell'attacco
zts385e	Indebolimento attributo-attacco
zts386e	Indebolimento attributo-attacco energico
zts387e	Indebolimento attributo-attacco serio
zts388e	Gelo Lieve
zts389e	Gelo Forte
zts390e	Gelo Serio
zts391e	Fossilizzazione Lieve
zts392e	Fossilizzazione Forte
zts393e	Fossilizzazione Seria
zts394e	Rigidità
zts395e	Non sono in grado di controllare il mio corpo
zts396e	Barriera Magica
zts397e	Vertigine Tossica Lieve
zts398e	Vertigine Tossica Forte
zts399e	Vertigine Tossica Fatale
zts400e	Attaccando con la luce sacra, la resistenza della luce diminuisce
zts401e	Non attaccabile
zts402e	Bastone choc Oscuro
zts403e	Per 30 minuti la potenza di attacco aumenta del 10%
zts404e	Bastone choc Bianco
zts405e	Per 30 minuti la potenza di difesa aumenta del 10%
zts406e	Stella
zts407e	Per 50 minuti il tasso di acquisizione esperienza incrementa del 10%
zts408e	Indebolimento dell'attributo attacco forte
zts409e	Indebolimento dell'attributo attacco serio
zts410e	Rabbia dell'Opossum Toro
zts411e	L'Opossum Toro si è arrabbiato ed il suo attacco è aumentato.
zts412e	Aumenta la difesa
zts413e	Aumenta la difesa per un certo lasso di tempo.
zts414e	Aumenta la probabilità di colpo critico
zts415e	Aumenta la probabilità di colpo critico per un certo lasso di tempo.
zts416e	Massimizza gli attacchi magici
zts417e	Massimizza gli attacchi magici per un certo lasso di tempo.
zts418e	Ombra elettrica
zts419e	Aumenta la forza di difesa.
zts420e	Aumenta la difesa corpo a corpo.
zts421e	Aumenta i danni di un colpo critico per un certo lasso di tempo.
zts422e	Medaglia Premium (10 giorni)
zts423e	Puoi utilizzare l'effetto per tutta la sua durata.
zts424e	Medaglia Premium (30 giorni)
zts425e	Medaglia Premium (1 giorno)
zts426e	Respiro del Perdente
zts427e	Il livello di attacco e di difesa diventa 0.
zts428e	Il livello di attacco e di difesa diventa 0 e la velocità di corsa diminuisce di 2.
zts429e	Il livello di attacco e di difesa diventa 0 e l'HitRate diminuisce di 20.
zts430e	Catena di ghiaccio
zts431e	La velocità di corsa diminuisce di 3.
zts432e	Trasferimento del Mana
zts433e	Aumenta la tua forza di difesa e allo stesso tempo riduce del 30% il danno subito, consumando una certa quantità del tuo Mana.
zts434e	Per tutta la durata della benedizione i punti esperienza del livello di battaglia e di lavoro aumentano del 30% per 10 minuti.
zts437e	Otterrai esperienza doppia con il tuo amico. Se questo si disconnetterà, anche il buff sparirà.
zts439e	Maledizione di Calvinas
zts440e	Sei stato colpito dalla maledizione di Calvinas. La tua velocità è stata diminuita.
zts441e	Assorbi Mana
zts442e	Ruba Mana al tuo avversario.
zts443e	Scopri punti deboli
zts444e	L'avversario può vedere il tuo punto più debole.
zts445e	Non riesci a muovere il tuo corpo in quanto sei stato colpito da una scarica elettrica.
zts446e	Il sacrificio della tua Vitalità verrà usata per aumentare il tuo Attacco.
zts447e	La Maledizione del Comandante
zts448e	La Maledizione del Comandante. I tuoi valori d'attacco e di difesa diminuiscono per 60 secondi.
zts449e	Shock da esplosione
zts450e	La velocità di movimento diminuisce e diventa impossibile schivare gli attacchi.
zts451e	La Maledizione del Comandante d'élite
zts452e	La Maledizione del Comandante d'élite. I tuoi valori d'attacco e di difesa diminuiscono per 120 secondi.
zts453e	I punti esperienza ottenuti aumentano del 100%. Nel frattempo puoi utilizzare la Benedizione di Ancelloan.
zts454e	I punti esperienza ottenuti aumentano del 50%. Nel frattempo puoi utilizzare la Benedizione di Ancelloan.
zts455e	I punti esperienza ottenuti aumentano del 20%. Nel frattempo puoi utilizzare la Benedizione di Ancelloan.
zts456e	La Collera del Comandante
zts457e	Il Comandante è adirato.
zts458e	Benedizione protettiva
zts459e	La Benedizione protettiva aumenta la forza di difesa del Comandante.
zts460e	La Maledizione del Gran Comandante. I tuoi valori d'attacco e di difesa diminuiscono per 90 secondi.
zts462e	Incrementa del 10% gli HP/MP per 3.200.
zts463e	Annulla l'attacco nemico con uno scudo ghiacciato
zts464e	Piccolo Augurio di San Valentino
zts465e	Aumenta l'Attacco e la Difesa del 5%.
zts466e	Augurio di San Valentino
zts467e	Grande augurio di San Valentino
zts468e	Aumenta l'Attacco e la Difesa del 20%.
zts469e	Piccolo Augurio del Giorno Bianco
zts470e	Grande Augurio del Giorno Bianco
zts475e	Nozze
zts476e	L'Esperienza del Combattimento aumenta del 5%.
zts477e	Benedizione del Fantasma
zts478e	Aumento della forza d'attacco. Tutte le forze d'attacco +100%
zts479e	Maledizione del Fantasma
zts480e	Diminuzione della forza d'attacco maggiore. Tutte le forze d'attacco -50%
zts481e	Mugolio del Cane da Guardia
zts482e	Urla del Cane da Guardia
zts483e	Ira del Fantasma
zts484e	Maledizione della zucca
zts485e	Se subirai altri attacchi dell'oscurità, per un po' di tempo non potrai attaccare.
zts486e	Fuga delle truppe di scorta
zts487e	In seguito alla fuga delle truppe di scorta perdi HP.
zts495e	La tua difesa e la tua precisione aumentano. Il 30% dei danni subiti influiranno sui tuoi MP anziché sui tuoi HP.
zts496e	Guarigione delle ferite
zts497e	Tempra il corpo aumentando la difesa.
zts501e	Benedizione dell'anno nuovo
zts502e	Buon anno
zts503e	Quest'anno avrai un sacco di fortuna.
zts506e	Sconvolto
zts507e	Il tuo NosMate ha subito uno shock, quindi rimarrà sconvolto per 30 minuti.
zts508e	Molto sconvolto
zts509e	Il tuo NosMate ha subito uno shock e rimarrà sconvolto per 50 minuti.
zts512e	Speedbooster
zts513e	La tua velocità di movimento viene aumentata al massimo per un momento.
zts514e	Dopo aver vinto la Battaglia Arcobaleno ricevi questa forza che ti sarà molto utile a Glacernon.
zts515e	Ferita da sparo
zts516e	Hai una ferita profonda in seguito a uno sparo.
zts517e	nasconditi nel barile di rum
zts518e	Cerchi riparo dall'attacco dell'avversario.
zts519e	Calore della Spada infuocata
zts520e	Gli HP diminuiscono costantemente a causa del calore.
zts521e	Olio di Fiore del Ghiaccio
zts522e	L'Olio di Fiore del Ghiaccio consente di sopportare l'eccessivo calore.
zts523e	Benedizione di Kertos
zts524e	La forza di attacco aumenta grazie alla benedizione di Kertos.
zts525e	Brucia
zts526e	Se subisci i danni di un attacco ravvicinato sei davvero in grosso pericolo.
zts527e	Ragnatela
zts528e	Rimani intrappolato nella ragnatela e diventi una facile preda per il tuo nemico.
zts529e	Lesione della Vista
zts530e	Perdita temporanea della vista in seguito a irraggiamento.
zts531e	Scudo del calore splendente
zts532e	La tua resistenza aumenta grazie allo Scudo del Calore Splendente.
zts533e	Eruzione Lavica
zts534e	Il calore soffocante della lava provoca ingenti danni all'avversario.
zts535e	Grande Eruzione Lavica
zts536e	Il calore soffocante della lava provoca ingenti danni all'avversario.
zts537e	Veleno Fiammante
zts538e	In seguito all'avvelenamento da Veleno Fiammante inizi a perdere HP:
zts539e	Respiro infuocato della Fenice
zts540e	A causa del Respiro infuocato della Fenice perdi il tuo spirito di combattimento.
zts541e	Marchio di Fuoco Splendente
zts542e	Il Marchio di Fuoco Splendente ti impedisce di muoverti e di sferrare attacchi.
zts543e	La Maledizione della Fiamma Rossa
zts544e	La Maledizione della Fiamma Rossa indebolisce la tua resistenza all'aura della fiamma. La probabilità di subire un colpo critico aumenta.
zts546e	Ricevi un blackout momentaneo causato da una scossa di assestamento.
zts547e	Ferita in un punto sensibile
zts548e	Ferito gravemente a causa di una ferita in un punto sensibile.
zts549e	Opossum Rudolf Imbestialito
zts550e	Il tuo Opossum Rudolf si imbestialisce e la sua forza di attacco aumenta.
zts551e	Grido di battaglia del centurione
zts552e	Il grido di battaglia del Centurione provoca sempre all'avversario un colpo critico.
zts553e	Cattura
zts554e	Disgregazione intensa
zts555e	Danneggia armi e armature per mezzo di un potente acido.
zts556e	Durante la Cattura non ti puoi muovere.
zts565e	Possibilità di attacco avversario
zts566e	Possibilità di un unico e fatale contrattacco.
zts567e	Knock down
zts568e	Non appena il tuo avversario sarà in blackout o verrà attaccato, il knock down sarà sospeso. In combinazione con l'abilità "Esecuzione", l'avversario riceverà un ulteriore danno del 30%.
zts569e	Enorme stato di rabbia
zts570e	L'Enorme stato di rabbia comincia dal perdere la pazienza a causa delle estreme provocazioni dell'avversario, e porta a danni maggiori.
zts571e	Riflessione magica
zts572e	La Riflessione magica rispecchia tutti i cattivi effetti dell'avversario con una certa probabilità. Le abilità che producono solo un debuff non possono essere riflesse.
zts573e	Stato di rabbia
zts574e	Lo Stato di rabbia comincia dal perdere la pazienza a causa delle estreme provocazioni dell'avversario.
zts575e	Ribollire del sangue
zts576e	La forza d'attacco e la velocità di movimento sono potenziate dalla Brama di sangue.
zts577e	Sospiro del perdente
zts578e	Il Sospiro del perdente ti scoraggia attraverso una sconfitta. In combinazione con l'abilità "Esecuzione" ottieni un danno ulteriore del 70%.
zts579e	Tripudio della folla
zts580e	Usando il Tripudio della folla si rinforza lo spirito combattivo attraverso la gioia per la sconfitta del nemico.
zts581e	Potenziamento dell'esplosione
zts582e	Il Potenziamento dell'esplosione aumenta l'HitRate e la distanza di attacco.
zts583e	Urlo della vittoria
zts584e	L'Urlo della vittoria dimostra la partecipazione alla battaglia con un forte desiderio di trionfo.
zts585e	Prima onda shock
zts586e	L'avversario cade in uno stato di shock a causa di un violento fulmine.
zts587e	Scudo magma
zts588e	Lo Scudo magma assorbe la Forza d'attacco avversaria e riempie gli MP.
zts589e	Gas vulcanico velenoso
zts590e	Il Gas vulcanico velenoso causa danni all'avversario.
zts591e	Potenza del vulcano
zts592e	La Potenza del vulcano aumenta tutte le abilità di Vulcano.
zts593e	Palude di lava
zts594e	La Palude di lava diminuisce la capacità di attaccare.
zts595e	Colata di lava
zts596e	La Colata di lava opera in questo modo: l'avversario ha una minima possibilità di pietrificarsi attraverso la lava che si solidifica.
zts597e	Colata di lava imponente
zts598e	La Colata di lava imponente opera in questo modo: l'avversario ha una certa possibilità di pietrificarsi attraverso la lava che si solidifica.
zts599e	Colata di lava spumeggiante
zts600e	La Colata di lava spumeggiante opera in questo modo: l'avversario ha una grossa possibilità di pietrificarsi attraverso la lava che si solidifica.
zts601e	Colata di lava ardente
zts602e	La Colata di lava ardente opera in questo modo: l'avversario si pietrifica rapidamente.
zts603e	Rigidità della lava
zts604e	L'avversario non può fare nulla per contrastare la Rigidità della lava.
zts605e	Capitombolo
zts606e	L'avversario fa un capitombolo a causa dell'Esplosione dell'onda shock.
zts607e	Esplosione dell'onda shock grandiosa
zts608e	La grandiosa esplosione dell'onda shock trascina con sé tutto ciò che si trova nelle vicinanze.
zts609e	Turbocompressore
zts610e	Il Turbocompressore rinforza il rendimento dei cannoni attraverso il potenziamento.
zts611e	Inceppamento di armi
zts612e	Il rendimento dei cannoni viene intralciato da un cambiamento improprio.
zts613e	Corazza di magma
zts614e	La Corazza di magma si indossa sopra l'armatura e garantisce un'enorme protezione.
zts615e	Seconda onda shock
zts616e	Terza onda shock
zts617e	Paura del drago
zts618e	Si irrigidisce a causa della enorme paura del drago.
zts619e	Shock causato da un brutto atterraggio
zts620e	Mette in uno stato di shock a causa di un brutto atterraggio.
zts621e	Onda shock permanente
zts622e	Mette in uno stato di shock permanente.
zts623e	Non appena il tuo avversario sarà in blackout o verrà attaccato, il knock down sarà sospeso. In combinazione con l'abilità "Esecuzione", l'avversario riceverà un ulteriore danno del 20%.
zts624e	Il rendimento del corpo è aumentato dalla Brama di sangue.
zts625e	Il Sospiro del perdente ti scoraggia attraverso una sconfitta. In combinazione con l'abilità "Esecuzione" ottieni un danno ulteriore del 40%.
zts626e	La Colata di lava ardente opera in questo modo: l'avversario ha un'altissima possibilità di pietrificarsi.
zts627e	Difesa con arma
zts628e	Difendersi con i cannoni dagli attacchi dell'avversario.
zts629e	Ardente fuoco infernale
zts630e	L'avversario si debilita attraverso l'Ardente fuoco infernale e gli HP scendono ininterrottamente.
zts631e	Punto sanguinante fatale
zts632e	Benedizione della civetta
